type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP012 - Asphalt Placement,,,,,,ITP012 - Asphalt Placement,,,,,,
section,1 Preliminary,,,,,,,,,,,,
checkpoint,1.01 - Supply of proprietary tack coat for use in asphalt placement works.,,,,,,,,,,,,
label,Frequency: Prior to the commencement of asphalt placement works.,,,,,,,,,,,,
label,"Acceptance Criteria: Submission of the properties, specifications and test requirements for proprietary tack coats.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5107(g),,,,,,,,,,,,
label,• HP5107-1,,,,,,,,,,,,
label,Inspection/ Test Method: Document,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,HOLDPOINT AUTHORITY,,,,,,,,,,,,
checkpoint,1.02 - Supply of asphalt to a nominated mix design.,,,,,,,,,,,,
label,Frequency: Not less than twenty (20) working days prior to the scheduled commencement of asphalt production. ,,,,,,,,,,,,
label,Acceptance Criteria: Submission of the proposed mix design for each nominal size asphalt mix including results of the mix design tests.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5109(d),,,,,,,,,,,,
label,• HP5109-1,,,,,,,,,,,,
label,Inspection/ Test Method: Document,,,,,,,,,,,,
label,"Record of conformity: NATA accredited test certificates, mix design report",,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,HOLDPOINT AUTHORITY,,,,,,,,,,,,
checkpoint,1.03 - Calibration of straight edge.,,,,,,,,,,,,
label,Frequency: Prior to the commencement of asphalt placement works.,,,,,,,,,,,,
label,Acceptance Criteria: Mobile straight edge equipment to be used in the asphalt laying works has been calibrated.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5113(o),,,,,,,,,,,,
label,• HP5113-2,,,,,,,,,,,,
label,Inspection/ Test Method: Calibration,,,,,,,,,,,,
label,Record of conformity: Calibration report,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,HOLDPOINT AUTHORITY,,,,,,,,,,,,
section,2 Asphalt Placement,,,,,,,,,,,,
checkpoint,2.01 - Design of temporary ramps,,,,,,,,,,,,
label,Frequency: Prior to the commencement of a shift.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,• Ramps are planned for all discontinuities greater than 25 mm in height. ,,,,,,,,,,,,
label,"• The maximum gradient is between 0.5% and 1.0% for discontinuities ≤50 mm in height, and ≤0.5% for discontinuities >50 mm in height.",,,,,,,,,,,,
label,• The distance between successive transverse ramps is not less than 60 m. ,,,,,,,,,,,,
label,• Planned ramps on taxiways are no shorter than 4 m and have slope not exceeding 1.5% relative to the current slope. ,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5123(b),,,,,,,,,,,,
label,• HP5123-1,,,,,,,,,,,,
label,Inspection/ Test Method: Document,,,,,,,,,,,,
label,Record of conformity: Temperary ramp design,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Site Engineer,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,HOLDPOINT AUTHORITY,,,,,,,,,,,,
checkpoint,2.02 - Commencement of asphalt placement processes.,,,,,,,,,,,,
label,Frequency: Prior to the commencement of asphalt placement works in each work period.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• All paving plant, tools and equipment, including standby plant and equipment, are in working condition and are free from leaks of oil, water, hydraulic fluid and fuel.",,,,,,,,,,,,
label,• Tyres and tracks of all equipment are clean and any build-up of bitumen or other material has been removed.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5113(a),,,,,,,,,,,,
