"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d87e8bfd-90fd-41fd-84bd-d9352e59ccf5","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"39d22343-37ee-4c3d-9215-6c39ba9455f0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site"
"6a53eab7-1267-47f1-8c5e-7080e245e3f1","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","02.01 - Traffic Management"
"69f0e15f-f470-4ce8-811b-979ea0085c27","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","03.41 - Rock Protection"
"f1527ce3-b46a-4ac5-a61a-6836285d7666","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","03.49 - Soil Nails"
"2ed2b5cc-6795-483b-bcfa-7e6f22f373eb","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","3.HD - Horizontal Drains"
"fa470964-c120-489a-9eda-dfb20cbf0399","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","3.MM - Mac Mat R"
"c9c730ec-94e3-4895-b307-fe9a1621243c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.01 - Clearing & Grubbing"
"e8ac5eb1-9bd9-4bb5-a9ff-b9fc17c49a53","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.04 - Ground Surface Treatment"
"e565d0ba-b45b-456c-b6be-a3aa461b5e12","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.05 - Embankment"
"0598befb-4f8c-445d-96ab-98476fb0c15c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.06 - General Excavation"
"1cdd2c39-1c8c-4ac0-b4e1-8f8840b43c4a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.08 - Stripping of Topsoil"
"9ac68627-a01a-49bd-b061-2a85c90ff9e4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.09 - Subgrade"
"84e6c2da-c24f-49e4-a5e5-38ec1cbd96e0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.10 - Backfill"
"b034ec32-fa4d-424e-97f0-1bd487eaa843","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.11 - Fencing and Gates"
"c3a3d459-42bf-4de3-99ed-67bd18d5d967","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","04.18 - Subgrade Testing"
"049462a5-32d3-497a-a965-ee757dca7f41","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","05.01 - Placement of Unbound Pavement"
"8d8813a3-468e-42be-acb0-d9508ae68ba7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","05.02 - Supply of Unbound Material"
"15a3f305-0bd5-456b-ab62-4a1cbbafd512","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements"
"10649b65-17fd-47e6-8125-b87a5a7a2bf9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","14.01 - Supply and Installation of Road Signs"
"5a17aaf7-ab27-480a-9cf4-eeefb0b4e7f6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","14.08 - Demolition of Road Furniture"
"73cfb48d-1ba9-49eb-8c64-1c0899f2eda7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","16.01 - Landscape and Revegetation Works"
"db993430-6b10-4a27-9f3d-2e6dbbd26243","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","16.02 - Installation of Turfed Areas"
"e619c5bb-6d91-4190-87a0-ae8fb4f15be7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","27.01 - Geotextile"
"b7811acf-0430-4c2a-84ef-529206667af7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","28.01 - Contractor's Camp and Site Facilities"
"f6c0b716-2c0d-4c63-b57f-70cd4632338f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","51.00 - Environmental Management Systems"
"c2fbf5b5-0712-4817-be20-a1861e1ac09a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","52.01 - Erosion and Sediment Control"
"65b0bb8d-99b3-48a7-8940-42bd3c6ff40b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","70.01 - Placement of Concrete"
"4039116a-2e83-47e9-ab97-c401e8ce5092","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","70.03 - Supply of Concrete"
"4b92b1b6-8037-4f0d-a5de-8d3f6669660d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site","71.01 - Reinforcing Steel"
"0715e9bc-6d52-43fc-a24a-d6f35d2fba05","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A"
"137e95a8-6cfa-4ac8-ae42-333a3e9f2e0b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","02.01 - Traffic Management"
"c74cf238-2595-4086-a96b-b849a89b030f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","03.41 - Rock Protection"
"ccfbf751-6964-47d0-a775-1b4e53d0b1ef","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","03.49 - Soil Nails"
"132b49be-010a-4d72-9a1d-4c3b6dce0e8b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","04.01 - Clearing & Grubbing"
