"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ee2d1a87-5029-57cd-b79b-36b33c1abd7d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building A"
"9173777d-2f26-5536-ad82-6db060a31654","","folder-normal","pass","","step","TRUE","FALSE","Building A","Foundations"
"3f3d9f08-fbb4-5bf6-b254-4c979c9ec28e","","folder-normal","pass","","step","TRUE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing"
"57937ae8-dbcf-514e-9f5f-32f99561b62e","Child Concrete - Pre Pour(482ce240-5f0a-5b5b-8e0b-2288a3283565) -- Reinforcing checked and correct(fa961180-cfd9-5057-b146-e8137ec1950e): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checklist-sectioned","pass","f691c14580ed2eacb1c89be9d572fdd4af587cba9139f74d6d7569ec2b31fcd5","checklist","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit"
"482ce240-5f0a-5b5b-8e0b-2288a3283565","Child Reinforcing checked and correct(fa961180-cfd9-5057-b146-e8137ec1950e): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour"
"ffeed084-1415-5662-bdaf-f51b33988190","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour","Area Accessible & Approval to start"
"f0ea991a-60ad-52ed-af27-c8a63420a17e","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour","Formwork - Correct Dimensions & Heights"
"6ee0f31c-47c9-554f-b4d0-541438b43fe3","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour","Formwork cleaned, oiled and braced sufficiently"
"24818ee5-3543-520b-934d-6fd9bb951abf","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour","Any/All cast in items checked / correct (location and size)"
"27455396-e2f7-5d3a-9ee2-ae07ac8a41e0","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour","Penetrations correctly formed/located, checked and accurate"
"fa961180-cfd9-5057-b146-e8137ec1950e","DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour","Reinforcing checked and correct"
"163dda5b-ff7a-5fc1-a276-94394859ee8c","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour","Waterproofing (checked and correct)"
"cf66f885-3ab8-5f0d-9034-d4c9b3c1ff50","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour","Bottom of concrete pour is clean and free of debris/roughened"
"dac65423-a248-5f61-a05d-268416da209e","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour","Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)"
"d8d9a53d-d577-5978-82fc-d78150748160","","holdpoint","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour","Request Signoff"
"e959c411-d778-55c4-af68-187dfaf96f71","","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pour /Post Pour"
"c849cd10-fe38-5fe5-9291-f1db522d01a2","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pour /Post Pour","Concrete checked on arrival & correct (slump, MPa etc)"
"8fa23c8e-8009-540c-a1d9-ec12b85ecded","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pour /Post Pour","General photos/comments/observations during placement"
"fcc717a0-9fbb-56b0-83e0-65117935d3de","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pour /Post Pour","Concrete surface finish to specifications"
"1b3f9c77-d8ae-5aef-a84d-a0f9bcae7e4d","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pour /Post Pour","Concrete Pour completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)"
"ffab5231-2dcd-589e-906c-ca5809b13274","Child Concrete - Pre Pour(309080f3-40a8-5d05-90a6-04de43d2ea48) -- Reinforcing checked and correct(8489d9c0-37d8-5a22-ba98-35d86e951fbf): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checklist-sectioned","pass","f691c14580ed2eacb1c89be9d572fdd4af587cba9139f74d6d7569ec2b31fcd5","checklist","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA"
"309080f3-40a8-5d05-90a6-04de43d2ea48","Child Reinforcing checked and correct(8489d9c0-37d8-5a22-ba98-35d86e951fbf): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pre Pour"
"27c9285d-25c4-5de3-90b2-1c3507e4dd3f","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pre Pour","Area Accessible & Approval to start"
