"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"28062c4c-357a-494e-a704-4868522d2224","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"9e5183dd-d548-56e1-afbc-7b9dfaa541fd","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"86dd241c-d1ee-43cb-9bf9-704e1ba68964","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA"
"ba4b7a60-5de9-49fd-ae8f-181986639bed","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA","Panels"
"457c6233-507f-42dd-baa1-5536373201ab","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","P-01"
"0a6c9eeb-0540-5dc6-8ff8-39920cb2d8e0","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-01","Precast Element Details"
"94c2cacc-3f98-57f3-a585-45ebd60f2559","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Precast Element Details","Concrete Details Complete"
"608b14ac-e640-54e4-b89b-62a0d7dacbae","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-01","Formwork Set Up Checks"
"99cc6a19-d372-51b0-a2df-eb75f0b9b00f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"7611dec3-4d33-5d11-8c2a-9dcda0963495","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Formwork Set Up Checks","Edge Details & Rebates"
"625252a7-d47c-50e1-819d-f90d8074effd","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"713d55e0-70af-5cba-ae3f-7f53b5734025","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Formwork Set Up Checks","MF roughening's"
"5526ba8a-e875-595a-b5d7-fab5fd302168","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"9a86b7f6-8549-5ee9-98c4-cf5ac229fc6f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Formwork Set Up Checks","Mould Face Clean"
"001cc293-56b7-5d75-853f-e5ebff176aa5","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-01","Prepour Checks"
"5df0aff4-c42b-59c4-8991-efad2739295f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Prepour Checks","Mould Cleaned & Oiled"
"9470835a-fa10-56ca-a14c-8b21595ffa38","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"7d1def29-bb0f-528e-b5d6-1b656ae2efed","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Prepour Checks","Check covers on all sides, MF and TF"
"91ca41e0-8332-5991-8677-d221b8d53e28","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"2748d922-15fa-5078-971e-5ed64c3b9fbe","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"7695ccfe-64b3-5a9e-adf0-444db66f4060","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"acd2df7d-c965-5429-ba37-ef9f618ada87","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Prepour Checks","Lifters"
"47e9edfb-45e2-5621-82c7-8436897f7d3a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Prepour Checks","Tie wire Trimmed"
"3c2d0bde-fdf6-5a1d-a1d9-43f4c127062d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Prepour Checks","Panel fully clean"
"805fa0f2-731d-5a37-b3b6-69068db4c6b6","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Prepour Checks","General Photos Attached"
"385e1e93-6f5c-568f-ab61-ecabf1a8ab67","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"be2accc2-0e8d-5aa0-9a00-8d4960b68d98","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-01","Demould Inspection"
"ca0f8888-5f42-5061-adce-ba9b6081b6d4","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Demould Inspection","Demould Inspection complete"
"52d4f65f-3513-5df5-acd7-90db73786516","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-01","Loading Out"
"4d349dd1-72be-54f2-99f9-000a91a5fd84","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Loading Out","Photo take of Panel on Truck"
"68df0cbd-96e0-5f0a-a400-2e54b631d46c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Loading Out","No remedial work required on site"
"63d06141-3d07-5290-948e-595356543120","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-01","Test Results, Certificates and Documentation"
"8a51cf1b-f3ff-5a63-acf5-7bcbbd656dc7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"c7ef4cd9-3b17-580a-9859-c04a1dafc864","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Test Results, Certificates and Documentation","Concrete Docket Attached"
"e65544fb-e8cc-5dab-95ea-fbbd40a86ef8","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Test Results, Certificates and Documentation","Upload Concrete test results"
"cbe53273-5eb3-5841-ae05-5dddcfdf6866","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"f2def153-ac0f-5146-91e7-1e68d4643fb3","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-01","Test Results, Certificates and Documentation","Upload Lift Designs"
"b268f929-5d6e-4089-9343-27c018a38e3e","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","P-02"
"2538fbdd-a405-50cc-84c6-03e0bb93ff5b","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-02","Precast Element Details"
"f95e3dd0-4dd2-56ea-bf65-d1285ba7f5e5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Precast Element Details","Concrete Details Complete"
