type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Install QA,,,,,,,
section,Pre start,,,,,,,
checkpoint,Openings as per SD,,,,,,,
checkpoint,Area Tidy,,,,,,,
section,Install,,,,,,,
checkpoint,Correct packing and positioned,,,,,,,
checkpoint,Sill flashing installed,,,,,,,
checkpoint,Frame installed correctly,,,,,,,
checkpoint,Fixings as per SD’s / over seal complete,,,,,,,
checkpoint,Outer frame rubbered,,,,,,,
checkpoint,Head & external flashings installed,,,,,,,
checkpoint,Hardware installed and operational,,,,,,,
checkpoint,Seals and PEF rod,,,,,,,
checkpoint,Sealant width 6mm – 20mm,,,,,,,
checkpoint,Sealant: roller test,,,,,,,
section,Glazing,,,,,,,
checkpoint,Glass defect,,,,,,,
checkpoint,Glass type,,,,,,,
checkpoint,Glass orientation,,,,,,,
checkpoint,Glazing wedge / sealant,,,,,,,
section,Handover,,,,,,,
checkpoint,Defect list complete,,,,,,,
checkpoint,Sash functional,,,,,,,
checkpoint,Doors operational,,,,,,,
checkpoint,Handover keys,,,,,,,
