type,name,values,prefix,postfix,usage count,user addable,template name,,,
checklist,03.02 - Supply and Installation of Precast Concrete Pipe,itp,,,,,03.02 - Supply and Installation of Precast Concrete Pipe,,,
section,Details,,,,,,,,,
checkpoint,Contractor shall set out installation as shown on the drawings. The Administrator will determine the design appropriateness of the set out with regard to the actual site conditions.,,,,,,,,,
label,Acceptance Criteria and Frequency (Project Specific) - Visual,,,,,,,,,
label,Check Item - Hold Point 1,,,,,,,,,
label,Reference - MRTS01 Cl. 8,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,"Concrete Pipe culvert components comply with MRTS25/26, Box Culverts Comply with MRTS24",,,,,,,,,
label,Acceptance Criteria and Frequency (Project Specific) - Manufacture and Test Certificates,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,
label,"Reference - MRTS03 Cl10.2, MRTS25, MRTS26, MRTS24",,,,,,,,,
checkpoint,"Component size, wall thickness and class is as specified in the drawings",,,,,,,,,
label,Acceptance Criteria and Frequency (Project Specific) - Visual,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,
label,Reference - MRTS03 Cl11.2,,,,,,,,,
checkpoint,"Bandage Covers are a Proprietary Product, either: Synthetic or Rubber Band, samples inspected by administrator",,,,,,,,,
label,Acceptance Criteria and Frequency (Project Specific) - Visual,,,,,,,,,
label,Check Item - Hold Point 1,,,,,,,,,
label,Reference - MRTS03 Cl11.2,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,"Procedure for excavation, installation and backfill submitted 14 days prior to works.",,,,,,,,,
label,Acceptance Criteria and Frequency (Project Specific) - Written,,,,,,,,,
label,Check Item - Milestone,,,,,,,,,
label,Reference - MRTS03 Cl11.3.1,,,,,,,,,
checkpoint,Culvert Construction Procedures accepted prior to commencement of Installation,,,,,,,,,
label,Acceptance Criteria and Frequency (Project Specific) - Written,,,,,,,,,
label,Check Item - Hold Point 2,,,,,,,,,
label,Reference - MRTS03 Cl11.3.1,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
