Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,,,
H&S - Daily Prestart,,,,,,,,,,,,,,,
,Scope,,,Pre-Start,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,
,,March 2023,dynamic,March 2023,Pre-Start,Health and Safety,,,,,,,,,
,,April 2023,dynamic,April 2023,Pre-Start,Health and Safety,,,,,,,,,
,,May 2023,dynamic,May 2023,Pre-Start,Health and Safety,,,,,,,,,
,,June 2023,dynamic,June 2023,Pre-Start,Health and Safety,,,,,,,,,
,,July 2023,dynamic,July 2023,Pre-Start,Health and Safety,,,,,,,,,
,,August 2023,dynamic,August 2023,Pre-Start,Health and Safety,,,,,,,,,
,,September 2023,dynamic,September 2023,Pre-Start,Health and Safety,,,,,,,,,
,,October 2023,dynamic,October 2023,Pre-Start,Health and Safety,,,,,,,,,
,,November 2023,dynamic,November 2023,Pre-Start,Health and Safety,,,,,,,,,
,,December 2023,dynamic,December 2023,Pre-Start,Health and Safety,,,,,,,,,
,Columns,,,,,,,,,,,,,,
,,Person/s in charge of site operations,,Person/s in charge of site operations,,,,,,,,,,,
,,Weather conditions,,Weather conditions,,,,,,,,,,,
,,Conditions,Conditions,Weather conditions,,,,,,,,,,,
,,Wind Conditions,,Wind Conditions,,,,,,,,,,,
,,Conditions,Conditions,Wind Conditions,,,,,,,,,,,
,,Meeting minutes,,Meeting minutes,,,,,,,,,,,
,,Safety minutes,,Safety minutes,,,,,,,,,,,
,,Main contractor supplied minutes,,Main contractor supplied minutes,,,,,,,,,,,
,,Signatures of all attendees,,Signatures of all attendees,,,,,,,,,,,
,,,,,,,,,,,,,,,
H&S - Toolbox Meeting Minutes,,,,,,,,,,,,,,,
,Scope,,,Toolbox,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,
,,March 2023,dynamic,March 2023,Toolbox,Health and Safety,,,,,,,,,
,,April 2023,dynamic,April 2023,Toolbox,Health and Safety,,,,,,,,,
,,May 2023,dynamic,May 2023,Toolbox,Health and Safety,,,,,,,,,
,,June 2023,dynamic,June 2023,Toolbox,Health and Safety,,,,,,,,,
,,July 2023,dynamic,July 2023,Toolbox,Health and Safety,,,,,,,,,
,,August 2023,dynamic,August 2023,Toolbox,Health and Safety,,,,,,,,,
,,September 2023,dynamic,September 2023,Toolbox,Health and Safety,,,,,,,,,
,,October 2023,dynamic,October 2023,Toolbox,Health and Safety,,,,,,,,,
,,November 2023,dynamic,November 2023,Toolbox,Health and Safety,,,,,,,,,
,,December 2023,dynamic,December 2023,Toolbox,Health and Safety,,,,,,,,,
,Columns,,,,,,,,,,,,,,
,,Details,,Details,,,,,,,,,,,
,,Health & safety issues,,Health and safety issues,,,,,,,,,,,
,,Job plans reviewed,,Job plans reviewed,,,,,,,,,,,
,,Operational issues,,Operational issues,,,,,,,,,,,
,,Other business,,Other business,,,,,,,,,,,
,,Attendees,,Attendees,,,,,,,,,,,
,,Review by management,,Review by management,,,,,,,,,,,
,,,,,,,,,,,,,,,
QA - Rough In,,,,,,,,,,,,,,,
,Scope,,,Rough In,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,
,,Ground level,dynamic,Ground level,Rough In,,,,,,,,,,
,,Level 1,dynamic,Level 1,Rough In,,,,,,,,,,
,,Level 2,dynamic,Level 2,Rough In,,,,,,,,,,
,,Level 3,dynamic,Level 3,Rough In,,,,,,,,,,
,,Level 4,dynamic,Level 4,Rough In,,,,,,,,,,
,,Level 5,dynamic,Level 5,Rough In,,,,,,,,,,
,,Level 6,dynamic,Level 6,Rough In,,,,,,,,,,
,,Level 7,dynamic,Level 7,Rough In,,,,,,,,,,
,,Level 8,dynamic,Level 8,Rough In,,,,,,,,,,
,,Level 9,dynamic,Level 9,Rough In,,,,,,,,,,
,,Level 10,dynamic,Level 10,Rough In,,,,,,,,,,
,Columns,,,,,,,,,,,,,,
,,Area ready to start work,,Area ready to start work,,,,,,,,,,,
,,Ducted AC unit installed,,Ducted AC unit installed c/w isolation mounts & filters,,,,,,,,,,,
,,Living & Bedroom cushion boxes,,Living & Bedroom cushion boxes & flex duct installed,,,,,,,,,,,
,,Access panels marked on floor,,Access panels marked on floor,,,,,,,,,,,
,,Refrigeration pipes roughed in,,Refrigeration pipes roughed in and installed to common riser,,,,,,,,,,,
,,Drain pipes roughed in,,Drain pipes roughed in and Terminated internal tundish,,,,,,,,,,,
,,Wall pen. Fire caulking completed,,Wall penetration Fire caulking completed and fire penetration labelled / documented.,,,,,,,,,,,
,,Refrigeration pipework pressure testing,,Pressure testing of Refrigeration pipework complete,,,,,,,,,,,
,,,,,,,,,,,,,,,
QA - Fitoff,,,,,,,,,,,,,,,
,Scope,,,Fitoff,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,
,,Ground level,dynamic,Ground level,Fitoff,,,,,,,,,,
,,Level 1,dynamic,Level 1,Fitoff,,,,,,,,,,
,,Level 2,dynamic,Level 2,Fitoff,,,,,,,,,,
,,Level 3,dynamic,Level 3,Fitoff,,,,,,,,,,
,,Level 4,dynamic,Level 4,Fitoff,,,,,,,,,,
,,Level 5,dynamic,Level 5,Fitoff,,,,,,,,,,
,,Level 6,dynamic,Level 6,Fitoff,,,,,,,,,,
,,Level 7,dynamic,Level 7,Fitoff,,,,,,,,,,
,,Level 8,dynamic,Level 8,Fitoff,,,,,,,,,,
,,Level 9,dynamic,Level 9,Fitoff,,,,,,,,,,
,,Level 10,dynamic,Level 10,Fitoff,,,,,,,,,,
,Columns,,,,,,,,,,,,,,
,,Area ready to start work,,Area ready to start work,,,,,,,,,,,
,,Indoor unit fit off,,Indoor unit fit off and installed correctly,,,,,,,,,,,
,,Grilles cut out completed,,Grilles cut out completed,,,,,,,,,,,
,,Grilles fit off,,Grilles fit off and installed correctly & B/fly dampers left open,,,,,,,,,,,
,,Access panels installed,,Access panels installed,,,,,,,,,,,
,,All drains fit off & tested,,All drains fit off and tested,,,,,,,,,,,
,,Condenser unit fit off,,"Condenser unit fit off, pipes and wires sealed and capped where required",,,,,,,,,,,
,,Condenser labels Installed,,Condenser labels Installed,,,,,,,,,,,
,,Builders works complete,,Builders works complete,,,,,,,,,,,
,,Ensure room is clean,,Ensure all rubbish and materials have been picked up and room is clean,,,,,,,,,,,
,,,,,,,,,,,,,,,
QA - Commissioning,,,,,,,,,,,,,,,
,Scope,,,Commissioning,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,
,,Ground level,dynamic,Ground level,Commissioning,,,,,,,,,,
,,Level 1,dynamic,Level 1,Commissioning,,,,,,,,,,
,,Level 2,dynamic,Level 2,Commissioning,,,,,,,,,,
,,Level 3,dynamic,Level 3,Commissioning,,,,,,,,,,
,,Level 4,dynamic,Level 4,Commissioning,,,,,,,,,,
,,Level 5,dynamic,Level 5,Commissioning,,,,,,,,,,
,,Level 6,dynamic,Level 6,Commissioning,,,,,,,,,,
,,Level 7,dynamic,Level 7,Commissioning,,,,,,,,,,
,,Level 8,dynamic,Level 8,Commissioning,,,,,,,,,,
,,Level 9,dynamic,Level 9,Commissioning,,,,,,,,,,
,,Level 10,dynamic,Level 10,Commissioning,,,,,,,,,,
,Columns,,,,,,,,,,,,,,
,,Electrical Complete,,Electrical Complete,Completion Status,,,,,,,,,,
,,Plumbing Complete,,Plumbing Complete,Completion Status,,,,,,,,,,
,,System Ready for Commissioning,,System Ready for Commissioning,Completion Status,,,,,,,,,,
,,System identification,,System identification,System ID,,,,,,,,,,
,,Wall controller installed,,Wall controller installed correctly,System ID,,,,,,,,,,
,,Wall controller time & date set,,Wall controller time and date set,System ID,,,,,,,,,,
,,Wall controller operating,,Wall controller operating correctly,System ID,,,,,,,,,,
,,Tundish Installed,,Tundish Installed (photo),Drain,,,,,,,,,,
