"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"72edf4d9-3354-5f33-a7e2-7859277ed6d1","","folder-normal","fail","","step","TRUE","FALSE","Health and Safety"
"c6a48486-ca27-5106-b77d-53be215bdaf0","","folder-normal","fail","","step","TRUE","FALSE","Health and Safety","Pre-Start"
"40e304a8-1579-5493-bd43-d3da53f9e0d8","","folder-normal","fail","","step","TRUE","FALSE","Health and Safety","Pre-Start","March 2023"
"a4285834-2a4a-5c0c-82af-cb08908f2f1c","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 1/3/2023"
"5b16aa87-7ebe-5655-95f7-283e4671982d","","checklist-flat","fail","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 2/03/2023"
"126617c9-066d-5e4b-be16-0ab0a3128d4a","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 3/3/2023"
"7a129359-1f83-558d-b300-9b6027a1880e","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 4/3/2023"
"bcf2524d-f16c-552b-a13a-28283d8c44d2","","checklist-flat","fail","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 5/03/2023"
"f393115c-540a-5018-95f0-63294ffeb157","","checklist-flat","fail","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 8/03/2023"
"662baa2d-a9d1-5c0d-8dd1-d92adcc2750f","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 9/3/2023"
"0a81e4d7-b199-5370-984c-835f6750631f","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","March 2023","Date: 10/3/2023"
"defc4dfb-bb08-5fe4-bd2a-d229f2af925f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","April 2023"
"abff19d4-02b7-5919-aa6f-c89d6c4d6cf9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","May 2023"
"4f269972-d36c-51d9-981c-50917996a7b4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","June 2023"
"a5655c2b-f97c-5fad-8ed0-ce40eeb738a6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","July 2023"
"142c806d-87b5-5e84-8a80-edfee2fb778c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","August 2023"
"def20313-8b00-5a9e-afd4-794a442b5ac6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","September 2023"
"337d70b2-d202-5771-9081-d72e434785b3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","October 2023"
"d8307875-1370-5e03-868b-fff53b1583ce","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","November 2023"
