checklist-flat,,,checklist,,,,checklist-flat,2 Pre-close-up checklist - Ceilings,,,,,,2 Pre-close-up checklist - Ceilings v2 (27-06-22)
checkpoint-status,,,checkpoint,Attach Drawing,,,checkpoint,Attach Drawing,,,,,,
text,,,text,Date for sheeting to commence,,,text,Date for sheeting to commence,,,,,,
checkpoint-status,,,checkpoint,"Power & lighting installed as per drawings; 
fire stopping and acoustic treatment complete; 
Seismic bracing installed as per engineered design
",,,checkpoint,"Power & lighting installed as per drawings; 
fire stopping and acoustic treatment complete; 
Seismic bracing installed as per engineered design
",,,,,,
checkpoint-status,,,checkpoint,"Comms cabling installed as per drawings; fire stopping and acoustic treatment complete  
Seismic bracing installed as per engineered design.  
",,,checkpoint,"Comms cabling installed as per drawings; fire stopping and acoustic treatment complete 
Seismic bracing installed as per engineered design. 
",,,,,,
checkpoint-status,,,checkpoint,AV installed as per drawings,,,checkpoint,AV installed as per drawings,,,,,,
checkpoint-status,,,checkpoint,"Security, BMCS & technology services installed as per drawings; fire stopping and acoustic treatment complete 
Seismic bracing installed as per engineered design.",,,checkpoint,"Security, BMCS & technology services installed as per drawings; fire stopping and acoustic treatment complete 
Seismic bracing installed as per engineered design.",,,,,,
checkpoint-status,,,checkpoint,"Dry fire services installed as per drawings; fire stopping and acoustic treatment complete 
Seismic bracing installed as per engineered design.",,,checkpoint,"Dry fire services installed as per drawings; fire stopping and acoustic treatment complete 
Seismic bracing installed as per engineered design.",,,,,,
checkpoint-status,,,checkpoint,"Wet fire pipework and droppers installed as per drawings; tested, fire stopping and acoustic treatment complete 
Seismic bracing installed as per engineered design.",,,checkpoint,"Wet fire pipework and droppers installed as per drawings; tested, fire stopping and acoustic treatment complete 
Seismic bracing installed as per engineered design.",,,,,,
checkpoint-status,,,checkpoint,"Hydraulic services installed as per drawings; tested, fire stopping and acoustic treatment complete 
Seismic bracing installed as per engineered design.",,,checkpoint,"Hydraulic services installed as per drawings; tested, fire stopping and acoustic treatment complete 
Seismic bracing installed as per engineered design.",,,,,,
checkpoint-status,,,checkpoint,"Mechanical services installed as per drawings; fire stopping and acoustic treatment complete 
Seismic bracing installed as per engineered design.",,,checkpoint,"Mechanical services installed as per drawings; fire stopping and acoustic treatment complete 
Seismic bracing installed as per engineered design.",,,,,,
checkpoint-status,,,checkpoint,"Fire treatment to steel members installed with coverage to achieve FRL in accordance with fire engineering report; 
Seismic bracing installed as per engineered design.",,,checkpoint,"Fire treatment to steel members installed with coverage to achieve FRL in accordance with fire engineering report; 
Seismic bracing installed as per engineered design.",,,,,,
checkpoint-status,,,checkpoint,"Acoustic Cladding to Mechanical equipment complete as per drawings, 
Cladding as per Acoustic Specification. 
Access hatches approved by Entire.",,,checkpoint,"Acoustic Cladding to Mechanical equipment complete as per drawings, 
Cladding as per Acoustic Specification. 
Access hatches approved by Entire.",,,,,,
checkpoint-status,,,checkpoint,Soffit Insulation as per drawings; Taped and plugged in accordance with manufacturers recommendations.,,,checkpoint,Soffit Insulation as per drawings; Taped and plugged in accordance with manufacturers recommendations.,,,,,,
checkpoint-status,,,checkpoint,Access hatches provided under maintainable items,,,checkpoint,Access hatches provided under maintainable items,,,,,,
checkpoint-status,,,checkpoint,Ceiling grid and fixings are as per design detail. Resilient mounts installed as per design (where required),,,checkpoint,"Ceiling grid and fixings are as per design detail
Resilient mounts installed as per design (where required)",,,,,,
checkpoint-status,,,checkpoint,"Noggins installed as per drawings for Joinery, Sanitaryware, FFE and the like",,,checkpoint,"Noggins installed as per drawings for Joinery, Sanitaryware, FFE and the like",,,,,,
,,,,,,,checkpoint,Installed as per Acoustic Specification; inspected acoustic insulation and treatment of penetrations is to the required standard.,,,,,,
checkpoint-status,,,checkpoint,"Acoustic Inspection – Consultant Hold Point; 
Installed as per Acoustic Specification; inspected acoustic insulation and treatment of penetrations is to the required standard.",,,holdpoint,Acoustic Inspection – Consultant Hold Point,,,,,,
,,,,,,,checkpoint,All services installed in accordance with design,,,,,,
checkpoint-status,,,checkpoint,"Services Consultant Inspection – Consultant Hold Point; 
All services installed in accordance with design;",,,holdpoint,Services Consultant Inspection – Consultant Hold Point,,,,,,
checkpoint-status,,,checkpoint,Pre sheet photo - Area completed signed off by Foreman (Please sign ) ,,,checkpoint,Pre sheet photo - Area completed signed off by Foreman (Please sign ),,,,,,
label,,,label,"With the exceptions of the exclusions detailed above, all in-wall service rough-ins have been completed & inspected, allowing ceiling closure to commence",,,label,"With the exceptions of the exclusions detailed above, all in-wall service rough-ins have been completed & inspected, allowing ceiling closure to commence",,,,,,
