"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6e936bb5-606b-41a3-82ff-7ee237f22eeb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour"
"1c801ddb-0943-4ac6-937c-c18fa3233f16","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Basement - Shotcrete"
"f65feec5-ac4c-5845-b7b9-48a0071ae242","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Shotcrete","Concrete Pre-Pour - Shotcrete 15/7/21"
"a059d1e1-ce19-5661-87df-27a8f9e1a33c","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Shotcrete","Concrete Pre-Pour - Shotcrete 19/7/21"
"ecfb82d2-0995-45ab-909d-1fc783def372","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Shotcrete","Concrete Pre-Pour - Shotcrete 16/9"
"1ccda40e-5b81-4d14-bcc5-5d8d4533f0b4","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Shotcrete","Concrete Pre-Pour - Shotcrete 25/10"
"54280d9a-e0b7-4949-af70-d7119df082d9","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Shotcrete","Basement outstanding shotcrete 11/5"
"da59a8cc-cfcd-46e0-ad35-2111e6fecafc","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Basement - Rafts"
"1caae00a-090f-4404-a5a2-e71f721f6257","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Rafts","Concrete Pre-Pour - Raft 1 "
"37ee7155-e772-4735-8bc8-bdfa995bf3ad","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Rafts","Concrete Pre-Pour - Raft 2"
"2d2b50dd-11a3-4edf-8a43-8cb1f02cb672","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Rafts","Concrete Pre-Pour - Raft 2 (Pour 2) "
"a0efe65f-1d1c-47dd-bf2d-ea04be507a95","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Rafts","Raft 3"
"e1cd7330-3157-5f1d-b3c9-b8589c37c759","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Rafts","Concrete Pre-Pour - Raft 4 "
"48da5368-1ade-4b3a-a1ee-1f74ce2be491","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Rafts","Concrete Pre-Pour - Raft 5"
"211cbb63-be0e-4f93-a3d3-598e43d8ee91","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Rafts","Concrete Pre-Pour - Raft 5 (pour 2)"
"c952ea15-b01d-47ec-89f1-846f79c912f6","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Basement - Slab "
"ad18389d-0da8-49ab-a909-e144bd2338a0","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Slab ","Pour 1"
"a0d440ce-c079-4c5f-8c0b-acb14f502896","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Slab ","Pour 2"
"26fe15d9-b091-4c37-aac8-30d4f7bbae28","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Slab ","Pour 3"
