"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b81f74e5-97a6-4f1d-bb47-d6cf30a45d81","","folder-normal","","","step","TRUE","FALSE","QA Plan"
"047a6082-88e8-4963-800d-6a091e6c910d","","checklist-flat","","88e8843258c71c465b6d60f20691bf8da6ce131a3205db107d7f1b77dd93351d","checklist-flat","FALSE","FALSE","QA Plan","Sewer BG"
"2f79c6ab-f579-43f0-b878-e33d43ee11b8","","checklist-sectioned","","f58a938bcea0f6781ce589dd49bcb38277e6388ca2f6b53f42f64c3a1cea4ade","checklist","FALSE","FALSE","QA Plan","Fix 1"
"c970c1c9-8d78-4e03-8241-ef74649edff3","","checklist-sectioned","","f30d2997cdba026003f2e93e2053bd3ae52c57ab1bfe63588a7207827ab7b009","checklist","FALSE","FALSE","QA Plan","Fix 2"
"dfdf3740-b720-4304-aafa-759aa84b133d","","checklist-sectioned","","d6490537a45f7d8394bcc9943cd5b26f637895aa4b49b866b3d14042d164a770","checklist","FALSE","FALSE","QA Plan","Corridor"
"862dfa4e-007b-4e0b-b87c-3220d1e48c07","","checklist-flat","","d86f8e1458789e5fd4368f00350f6b0005a1e6cc67d29c9c9cd3dc718b31041f","checklist-flat","FALSE","FALSE","QA Plan","Slab Penetration"
"0f96e7a1-5d90-4175-b535-e7e6c29dbd60","","folder-normal","","","step","TRUE","FALSE","QA"
"9f2112be-27bf-4033-8435-705290c6db92","","folder-normal","","","step","TRUE","FALSE","QA","Civil"
"9d2e2863-1865-47b8-97e2-8df2f5e69cd6","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)"
"8d8fb26d-ddd9-453d-8580-f433bb304f74","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Pipework"
"7b0aae01-7902-46c9-ba7d-64f3d091745e","","checklist-flat","","Stormwater BG","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Pipework","RCW Tank to 1 - Stormwater Pump Station (1)"
"c4219e7d-6996-48f3-a899-803d4a7f56d1","","checklist-flat","","Stormwater BG","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Pipework","Stormwater Pump Station (1) to Pit (2)"
"1be88dd0-c61c-4ba4-89bf-c09ffcac4c3e","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Pipework","Pit (2) to Pit (3)"
"c70ae507-d496-4f23-a660-ce0bf9e809dc","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Pipework","Pit (3) to North"
"e0ee2e48-b015-44af-af53-e44b0580e09d","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Pipework","Pit (3) to Pit (4)"
"8f7db23b-f7bf-4d7d-a445-ece45b558f1e","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Pipework","Pit (4) to Pit (5)"
"d3ae3ab9-c468-4d67-b48e-c29fa4346d25","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Pipework","Pit (5) to Pit (6)"
"b5940f6c-48c5-49f3-ad9c-8cdfed498a5d","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Pipework","Pit (6) to North"
"6c89c3fd-694d-40ae-b52c-b3d68c2bfc1f","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Pipework","Pit (6) to Pit (7)"
"24d95726-1f0e-42fc-b9c8-15315a584e6c","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Pipework","Pit (7) to Pit (8)"
