resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
,step,,,Fitout,,,,,,,,,,
,step,,,,Basement,,,,,,,,,
,step,,,,,Stairwell,,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,Steel Stud Framing,,,,,,,
PRE - S - Nogs,checklist,,,,,,Nogs,,,,,,,
,step,,,,,Stair Loby,,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,Steel Stud Framing,,,,,,,
PRE - S - Nogs,checklist,,,,,,Nogs,,,,,,,
,step,,,,,Lift Loby,,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,Steel Stud Framing,,,,,,,
PRE - S - Nogs,checklist,,,,,,Nogs,,,,,,,
,step,,,,Ground Floor,,,,,,,,,
,step,,,,,Apartments ,,,,,,,,
,step,,,,,,G50,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,G51,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,G52,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,G53,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,G54,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
