type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist,ITP-020-A2-LOT-XXX - Desc,itp,,,,,ITP 0020 - Cycle Railing (Supply & Installation),,,,,,,,
section,1 - Preliminaries - Materials,,,,,,,,,,,,,,
checkpoint,1.1 - Railing Components,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,IFC Drawings,,,,,,,,,,,,,,
label,Manufacturer's Drawings & Installation Recommendations,,,,,,,,,,,,,,
label,AS5100.2,,,,,,,,,,,,,,
label,"AGRD, Part 6A, Clause 5.5.3",,,,,,,,,,,,,,
label,Fulton Hogan Quality Management Plan,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Where applicable, product to be selected based on the following criteria:",,,,,,,,,,,,,,
label,Mounted on SUPs and veloways:,,,,,,,,,,,,,,
label, i. height to rail between 1.2m & 1.4m,,,,,,,,,,,,,,
label,Mounted on bridges and culverts:,,,,,,,,,,,,,,
label, ii. able to withstand the load conditions,,,,,,,,,,,,,,
label, iii. height to rail 1.4m minimum (on bridges and culverts) ,,,,,,,,,,,,,,
label,Details of the nominated proprietary system to be submitted for review to the Superintendent.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Frequency: Each component,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: PE/SE/SPE,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
checkpoint,1.2 - Fixing Detail,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,IFC Drawings,,,,,,,,,,,,,,
label,"BTN 006, Clause 2.3",,,,,,,,,,,,,,
label,"BTN 008, Clauses 2.4.3 & 2.4.4",,,,,,,,,,,,,,
label,Manufacturer's Drawings & Installation Recommendations,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Acceptance Criteria: Fixing detail to be either positive connection via cast-in ferrules or similar.,,,,,,,,,,,,,,
label,Bonded anchors are subject to approval from the Superintendent on new structures.,,,,,,,,,,,,,,
label,Changes to the above shall be accompanied with a PE Certificate.,,,,,,,,,,,,,,
label,Note: Mechanical anchors shall not be used as they will be subject to tensile loads.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Approval number,,,,,,,,,,,,,,
label,or,,,,,,,,,,,,,,
label,Attach: PE Certificate of Compliance,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Frequency: Each component,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: PE/SE/SPE,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
checkpoint,1.3 - Base Plate Bedding (non-structural) Grout or Mortar,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,IFC Drawings,,,,,,,,,,,,,,
label,Manufacturer's Drawings & Installation Recommendations,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Where applicable, product to be selected based on the following criteria:",,,,,,,,,,,,,,
label, i. have a trowelable consistency,,,,,,,,,,,,,,
label, ii. have the characteristics capable of being applied to the minimum and maximum thickness as noted on the IFC drawings ,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Frequency: Once, for each product, prior to placement of product",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
section,2 - Preliminaries - Procedures,,,,,,,,,,,,,,
checkpoint,2.1 - Certification of Installers,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,"BTN 006, Clause 3",,,,,,,,,,,,,,
label,680.06,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Acceptance Criteria: Where applicable, all bonded anchor installation crews and direct supervisory personnel shall either be:",,,,,,,,,,,,,,
label," i. listed on the ""AEFAC Certified List of Installers""; or",,,,,,,,,,,,,,
label, ii. trained by the Supplier of the bonded anchor system.,,,,,,,,,,,,,,
label,Evidence of either is to be submitted to the Superintendent.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Approval number,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,"Frequency: Where applicable, once, prior to commencement of Works",,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Responsibility: Superintendent,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Verifying Documents: This ITP,,,,,,,,,,,,,,
section,3 - Pre-installation Activities,,,,,,,,,,,,,,
checkpoint,3.1 - IFC Drawings,,,,,,,,,,,,,,
label,Reference:,,,,,,,,,,,,,,
label,Fulton Hogan Quality Management Plan,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Acceptance Criteria: Check the revision of the IFC drawings are current as per the drawing register (on Teambinder),,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Method: Document Review,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,Frequency: Prior to starting Works and at regular intervals,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,,,
