"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1b92d63b-a88a-4669-853a-7c30880a9899","","not-started","Prestart Inspections","checklist","FALSE","FALSE","Prestart Inspections"
"f6ec5712-ea28-45c9-9282-0b461ae60610","","not-started","","folder","TRUE","FALSE","Amenities"
"dc3e48e0-eb3a-4a47-97d8-6dca55d903ff","","not-started","Wall/Floor Preparation","checklist","FALSE","FALSE","Amenities","Wall/Floor Preparation"
"2a080b20-6f27-41e2-a129-e5d244280213","","not-started","QA - Waterproofing","checklist","FALSE","FALSE","Amenities","QA - Waterproofing"
"977cf914-c7f5-492e-b21f-c69a4368fe7b","","not-started","Tiling to floors and walls","checklist","FALSE","FALSE","Amenities","Tiling to floors and walls"
"3892abfe-2ee9-46ab-bb36-3157949948f2","","not-started","Ω (DEPRECATED) Other Information (v0)","checklist","FALSE","FALSE","Amenities","Other Information"
"76ea39ac-3ae4-43bd-af95-66ee18e211b6","","not-started","Final Sign Off for Invoicing","checklist","FALSE","FALSE","Amenities","Final Sign Off for Invoicing"
"27d2a4bd-c351-4504-8915-9a26a381adb4","","not-started","","folder","TRUE","FALSE","Floors (excluding toilets)"
"2fc96ab5-64fb-44d3-94f0-13c15e9da132","","not-started","Floor Preparation","checklist","FALSE","FALSE","Floors (excluding toilets)","Floor Preparation"
"0b0d8333-38b6-46d3-9b6d-def74337a94d","","not-started","Tiling to floors/counter","checklist","FALSE","FALSE","Floors (excluding toilets)","Tiling to floors/counter"
"1b7d4d95-e9c9-4f0e-bb02-50ce13e09a05","","not-started","Ω (DEPRECATED) Other Information (v0)","checklist","FALSE","FALSE","Floors (excluding toilets)","Other Information"
"ac984c48-de90-4f1d-a030-35ccb43ec632","","not-started","Final Sign Off for Invoicing","checklist","FALSE","FALSE","Floors (excluding toilets)","Final Sign Off for Invoicing"
