"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5d383c43-15a4-4c09-9dd6-a365ec93a46f","","fail","Prestart Inspections","checklist","FALSE","FALSE","Prestart Inspections"
"52eaab87-1cfa-4a3c-be85-fb6d7d01736d","","fail","","folder","TRUE","FALSE","L28"
"46c48196-6961-4a62-830e-1ed00f2c9236","","fail","QA - Wall/Floor Preparation","checklist","FALSE","FALSE","L28","Wall/Floor Preparation"
"0dbc32ec-203a-4e87-838d-b54bfbb7b819","","pass","QA - Waterproofing","checklist","FALSE","FALSE","L28","Waterproofing"
"ef929072-faec-4797-ab52-5bf5b1e0dee9","","fail","QA - Tiling Installation L28","checklist","FALSE","FALSE","L28","Tiling Installation"
"1810c1f9-8f13-4406-b732-f97563722a76","","work-in-progress","Ω (DEPRECATED) QA - Other Information (v0)","checklist","FALSE","FALSE","L28","Other"
"6cd433a0-a76c-4897-b61f-0dabad33b9be","","not-started","QA - Final","checklist","FALSE","FALSE","L28","Final Sign Off for Invoicing"
"4787c796-308f-483c-bd44-4f4120b25eb4","","fail","","folder","TRUE","FALSE","L29"
"97f88329-47d7-4f3b-855a-dcaa8d60894a","","fail","QA - Wall/Floor Preparation","checklist","FALSE","FALSE","L29","Wall/Floor Preparation"
"00ad18d2-a4dc-4761-8899-5cfbaddac8a2","","pass","QA - Waterproofing","checklist","FALSE","FALSE","L29","Waterproofing"
"a59a2a74-6d59-4a8c-8e27-ef8d9ee257d8","","pass","QA - Tiling Installation L29","checklist","FALSE","FALSE","L29","Tiling Installation"
"63dd03fd-49e2-40ba-907d-96d8e6df7c2e","","work-in-progress","Ω (DEPRECATED) QA - Other Information (v0)","checklist","FALSE","FALSE","L29","Other"
"49abf087-45bd-4d6e-a8d6-0cfd42ea8f62","","not-started","QA - Final","checklist","FALSE","FALSE","L29","Final Sign Off for Invoicing"
