"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a2f74d1f-5a20-4ece-a92d-40e58bf5dc08","","pass","","folder","TRUE","FALSE","Residence 9"
"ecaefdc4-d8fd-4614-9e7c-a69b87e6470a","","pass","088bb7323438bd555c15c0659557a28b92424cef1e7885fefb4cbdb5f0f41973","checklist","FALSE","FALSE","Residence 9","Nuraply 3PTM Substrate Checksheet"
"5eeaab8d-46ae-47b1-86d7-b742c6e9fe4c","","pass","4c60d22a8e8be6614c3e498af111234acb5f8ba680ac0828b34b17b3f7da8a93","checklist","FALSE","FALSE","Residence 9","Nuraply 3PTM QA Footings"
"0306d1d2-c7c0-4e71-a24f-cf4bfefafe3a","","pass","c72ab53744d60a7038d78b96866fc1a6dedff4def4a569cfd934b7a64f074641","checklist","FALSE","FALSE","Residence 9","Nuraply 3PTM QA Underslab"
"8420eb45-4142-498a-ba4f-de42828cfb52","","pass","33c2ffffbeef43dc7dd10232167ad6858eab5623e34c36beb4a2eaf7da0ea36b","checklist","FALSE","FALSE","Residence 9","Nuraply 3PT QA"
"4aed8f0b-8f99-4d07-9636-edee1c181ca7","","work-in-progress","","folder","TRUE","FALSE","Residence 8"
"1f4f32cc-c2f4-497d-a071-8adc9abefe15","","pass","088bb7323438bd555c15c0659557a28b92424cef1e7885fefb4cbdb5f0f41973","checklist","FALSE","FALSE","Residence 8","Nuraply 3PTM Substrate Checksheet"
"c434fd2b-70f0-43f2-90c9-8f80f12e0fc4","","pass","4c60d22a8e8be6614c3e498af111234acb5f8ba680ac0828b34b17b3f7da8a93","checklist","FALSE","FALSE","Residence 8","Nuraply 3PTM QA Footings"
"e61c0adc-77cc-4863-bff2-e42aaf6774c5","","pass","c72ab53744d60a7038d78b96866fc1a6dedff4def4a569cfd934b7a64f074641","checklist","FALSE","FALSE","Residence 8","Nuraply 3PTM QA Underslab"
"5085d87d-35e8-439d-bccd-299bf39434f2","","pass","33c2ffffbeef43dc7dd10232167ad6858eab5623e34c36beb4a2eaf7da0ea36b","checklist","FALSE","FALSE","Residence 8","Nuraply 3PT QA"
"80cc85ec-3906-40f2-98b9-af0ac14ed342","","not-started","Nuraply 3PT Substrate Checksheet","checklist","FALSE","FALSE","Residence 8","Nuraply 3PT Substrate Checksheet"
"92876f47-09d1-4224-af87-de2207ccc529","","pass","","folder","TRUE","FALSE","Residence 7"
"8e93a7f7-9543-4971-8f7e-45745828c43a","","pass","088bb7323438bd555c15c0659557a28b92424cef1e7885fefb4cbdb5f0f41973","checklist","FALSE","FALSE","Residence 7","Nuraply 3PTM Substrate Checksheet"
"bc575552-1ca4-463a-a32a-656c8ab7edb7","","pass","4c60d22a8e8be6614c3e498af111234acb5f8ba680ac0828b34b17b3f7da8a93","checklist","FALSE","FALSE","Residence 7","Nuraply 3PTM QA Footings"
"14a746ba-b29f-4d37-a7af-c6bc8ee67f40","","pass","Nuraply 3PT Substrate Checksheet","checklist","FALSE","FALSE","Residence 7","Nuraply 3PT Inside Substrate Checksheet QA"
"032f172a-b33a-4b3d-8712-9ea4db8daddd","","pass","Nuraply 3PT QA","checklist","FALSE","FALSE","Residence 7","Nuraply 3PT Inside tanking QA"
"9ce419ec-90ff-4b29-abe3-1fe3c3bb7746","","pass","Nuraply 3PTM QA Underslab","checklist","FALSE","FALSE","Residence 7","Nuraply 3PTM QA Underslab"
"175b6c8e-cbe3-4a95-b9aa-cec1957e2440","","pass","","folder","TRUE","FALSE","Residence 6"
"b3a60809-112b-4072-ad6c-7f4ddfb26e5d","","pass","088bb7323438bd555c15c0659557a28b92424cef1e7885fefb4cbdb5f0f41973","checklist","FALSE","FALSE","Residence 6","Nuraply 3PTM Substrate Checksheet"
"f3403254-c396-48bf-b597-c55973887960","","pass","4c60d22a8e8be6614c3e498af111234acb5f8ba680ac0828b34b17b3f7da8a93","checklist","FALSE","FALSE","Residence 6","Nuraply 3PTM QA Footings"
"77c3f489-2faf-4c2f-a2ea-ec920e474cc2","","pass","Nuraply 3PT QA","checklist","FALSE","FALSE","Residence 6","Nuraply 3PT Inside Tanking"
"f39dacd6-83cf-4597-8e6a-78a6bafae546","","pass","Nuraply 3PT Substrate Checksheet","checklist","FALSE","FALSE","Residence 6","Nuraply 3PT Inside Substrate Checksheet"
"a2a5d8f6-7944-4f0a-89f6-f05c1ed74dca","","no-status-not-started","","folder","TRUE","FALSE","Residence 5"
"a6b544f7-fcf6-4d11-a6ac-d337eef7ed01","","pass","","folder","TRUE","FALSE","Residence Foyer 5-7"
"cd1418ab-2261-4694-a45a-9a91de7438a2","","pass","088bb7323438bd555c15c0659557a28b92424cef1e7885fefb4cbdb5f0f41973","checklist","FALSE","FALSE","Residence Foyer 5-7","Nuraply 3PTM Substrate Checksheet"
"cefd2521-ef06-4c52-b88d-3483d83bb3c0","","pass","4c60d22a8e8be6614c3e498af111234acb5f8ba680ac0828b34b17b3f7da8a93","checklist","FALSE","FALSE","Residence Foyer 5-7","Nuraply 3PTM QA Footings"
