"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0ce0c316-d1d1-4fe5-a05b-60dd5b06efa5","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"4c149d69-79d7-4149-9809-e4f5321f14c3","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"7bdbea9a-7ab9-4a15-9956-008b08711b87","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"94c45872-c0db-4f68-81d9-726b2c48a94b","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"822f1b9d-e38b-48d5-8c05-80cb3809318a","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"f40992dd-b53b-454e-addb-dcf5b62f137c","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"40888868-a2d0-48bc-b3db-b9491506159d","","folder-normal","pass","","step","TRUE","FALSE"," QA"
"76893853-be68-425f-a267-0ec0a230e14f","","folder-normal","pass","","step","TRUE","FALSE"," QA","BM1"
"40768b4e-e7c6-4846-a1de-5fc8dc2fb83d","","folder-normal","pass","","step","TRUE","FALSE"," QA","BM1","RoofSafe Cable Line 01"
"f75594d4-9bf6-4954-99b2-1425b91aa02c","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","BM1","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01"
"e274b782-25b8-447f-8376-b8b5298a6aba","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01","Confirm structure is in accordance to the details provided"
"5d78eec5-4bd3-4a07-a4e4-8ba4f2efd6a0","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01","EMAIL PM"
"bac45390-d1c7-4416-bd2c-cd9de8d255bb","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01","Plinths/ bases/post installed in accordance with details provided"
"3ad1f122-0a35-4bb0-9913-091de92d6571","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01","Photos taken"
"96665ff7-a5e4-4d2b-807e-16933793ab44","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","BM1","RoofSafe Cable Line 01","Fit Off Checklist - Line 01"
"8c1ab081-3eeb-4d10-b8bb-6a3eaee1201d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"937ac2ad-cc0b-4466-bfcd-5dbebbc6e8e6","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","EMAIL PM"
"74b5a814-c0d0-47c7-980f-9987f5ebcad8","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test and swages"
"7fbbde34-e0ae-4b68-a3fe-02ac9abffb5d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"04f07d91-ff55-4df4-8a4f-4222b04af85a","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Video taken of system"
