resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Basement and Podium,,,,,,,,,
,step,,,,Bathroom,,,,,,,,
,step,,,,,Retail Bathroom,,,,,,,
Enviro 200P Ultra - Internal Wet Areas,checklist,,,,,,Enviro Prime WB + Enviro 200P Ultra,,,,,,
,step,,,,,End of Trip Bathroom,,,,,,,
Enviro 200P Ultra - Internal Wet Areas,checklist,,,,,,Enviro Prime WB + Enviro 200P Ultra,,,,,,
,step,,,,,Cleaners Room,,,,,,,
Enviro 200P Ultra - Internal Wet Areas,checklist,,,,,,Enviro Prime WB + Enviro 200P Ultra,,,,,,
,step,,,,Wet Plant Rooms,,,,,,,,
,step,,,,,Basement B3 Recycled Water Tank Room,,,,,,,
,step,,,,,,Enviro Epoxy B-LV + Enviro 700X + Aggregate,,,,,,
,step,,,,,B2 Sprinkler Tank Room (Domestic Pump Room),,,,,,,
,step,,,,,,Enviro Epoxy B-LV + Enviro 700X + Aggregate,,,,,,
,step,,,,,Basement B1 Fire Booster Pump Room,,,,,,,
,step,,,,,,Enviro Epoxy B-LV + Enviro 700X + Aggregate,,,,,,
,step,,,,,Level 1  Fire Booster,,,,,,,
,step,,,,,,Enviro Epoxy B-LV + Enviro 700X + Aggregate,,,,,,
,step,,,,,Basement B1 Retail Condenser Water Pump Room,,,,,,,
,step,,,,,,Enviro Epoxy B-LV + Enviro 700X + Aggregate,,,,,,
,step,,,,,Basement B1 Hydraulic Plant Room,,,,,,,
,step,,,,,,Enviro Epoxy B-LV + Enviro 700X + Aggregate,,,,,,
,step,,,,,Level 1  Amenities Hydraulic Plant ,,,,,,,
,step,,,,,,Enviro Epoxy B-LV + Enviro 700X + Aggregate,,,,,,
,step,,,,,Basement B1 Hot Water Room,,,,,,,
,step,,,,,,Enviro Epoxy B-LV + Enviro 700X + Aggregate,,,,,,
,step,,,,,Level 1 Main Switch Room,,,,,,,
,step,,,,,,Enviro Epoxy B-LV + Enviro 700X + Aggregate,,,,,,
,step,,,,Tanks,,,,,,,,
,step,,,,,Basement 1 OSD 2 - Base,,,,,,,
,step,,,,,,Enviro HP1200 (Incl working in confined space),,,,,,
,step,,,,,Basement OSD 1 - Base,,,,,,,
,step,,,,,,Enviro HP1200 (Incl working in confined space),,,,,,
,step,,,,,Basement 2 - OSD Retention Tank / Sprinkler Tank - Base,,,,,,,
,step,,,,,,Enviro HP1200 (Incl working in confined space),,,,,,
,step,,,,Epoxy flooring rooms,,,,,,,,
,step,,,,,B1 waste and garabge rooms,,,,,,,
,step,,,,,,Enviro Epoxy RC,,,,,,
,step,,,,,Level 1 Waste & Garbage Rooms,,,,,,,
,step,,,,,B1 Grease arrestor rooms,,,,,,,
,step,,,,,,Enviro Epoxy RC,,,,,,
,step,,,,,Car Wash Bay,,,,,,,
,step,,,,,,Enviro Epoxy RC,,,,,,
,step,,,,,Dogwash,,,,,,,
,step,,,,,,Enviro Epoxy RC,,,,,,
,step,,,,Paved Paths Movement Joints,,,,,,,,
,step,,,,,Level 1,,,,,,,
,step,,,,,,Enviro Elastoflex,,,,,,
,step,,,,,Level 2,,,,,,,
,step,,,,,,Enviro Elastoflex,,,,,,
,step,,,,Level 1 Podium Paved Paths,,,,,,,,
,step,,,,,Enviro Epoxy B-LV + Enviro 700X,,,,,,,
,step,,,,Level 2 Podium Paved Paths,,,,,,,,
,step,,,,,Enviro Epoxy B-LV + Enviro 700X,,,,,,,
,step,,,,Level 1 Planter Boxes,,,,,,,,
,step,,,,,Enviro Epoxy B-LV + Enviro 700X,,,,,,,
,step,,,,Level 2 Planter Boxes,,,,,,,,
,step,,,,,Enviro Epoxy B-LV + Enviro 700X,,,,,,,
,step,,,,Capping Beam Joint Treatment,,,,,,,,
,step,,,,,Enviro Flex FC (up to 20mm joint) + Enviro 700X (ne 300mm coverage) incl coreflute,,,,,,,
,step,,,Building A,,,,,,,,,
,step,,,,Slab Edges,,,,,,,,
,step,,,,,Cantilever Slab Under GRC Planters,,,,,,,
,step,,,,,,Level 2,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,,,Level 3,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,,,Level 4,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,,,Level 5,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,,,Level 6,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,,,Level 7,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,,,Level 8,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,,,Level 9,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,,,Level 10,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,,Slab Edge - Roof under Pebbles,,,,,,,
,step,,,,,,Level 9,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,,,Level 11,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,,Slab Edge - Roof under GRC Planters,,,,,,,
,step,,,,,,Level 11,,,,,,
,step,,,,,,,Enviro 700X,,,,,
,step,,,,Façade Bandage for window wall install,,,,,,,,
,step,,,,,Level 2,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 3,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 4,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 5,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 6,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 7,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 8,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 9,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 10,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 11,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 12,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 13,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 14,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 15,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 16,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 17,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 18,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 19,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 20,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 21,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 22,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 23,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,,Level 24,,,,,,,
Enviro 700X - Balcony Set Downs & Window Reveals,checklist,,,,,,Enviro 700X,,,,,,
,step,,,,Façade Cladding (precast cladding),,,,,,,,
,step,,,,,Level 02,,,,,,,
,step,,,,,,Enviro Prime WB + EnviroClad,,,,,,
