"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7b9d3c2-ab87-4365-bc0c-fadb97ba2331","","folder-normal","fail","","step","TRUE","FALSE","Offsite QA (Factory)"
"ba30accb-239e-4a63-a28c-f7c24907ff2d","","folder-normal","fail","","step","TRUE","FALSE","Offsite QA (Factory)","N17"
"54ba204c-584a-47a2-b9a1-5089c33b7781","","folder-normal","fail","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments"
"6e02539a-59b0-4392-9206-620c10913a44","","folder-normal","fail","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor"
"39f12c3d-4261-46c0-aeb0-871575e3a217","","checklist-sectioned","fail","34ca00c0a4d3438902ed975bccbd88f090827dcf93f55350939a9523105cf91a","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-01-A-TB-R(N17-GF-01-R-M1B)"
"de2b41e4-27fc-450d-9098-1295aeb3a677","","checklist-sectioned","fail","34ca00c0a4d3438902ed975bccbd88f090827dcf93f55350939a9523105cf91a","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-02-M-TE1-L(N17-GF-02-L-M1E1, M2E1, M3E1)"
"1d152e04-f250-4b3e-b177-91669f034f2b","","checklist-sectioned","fail","34ca00c0a4d3438902ed975bccbd88f090827dcf93f55350939a9523105cf91a","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-03-M-TE1-L(N17-GF-03-L-M1E1, M2E1, M3E1)"
"03bd2756-1f71-41e2-b170-b3ebfb12e68c","","checklist-sectioned","fail","34ca00c0a4d3438902ed975bccbd88f090827dcf93f55350939a9523105cf91a","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-04-M-TE2-L(N17-GF-04-L-M1E2, M2E2, M3E2)"
"049014c4-8628-42bc-9592-93d6b34cb02b","","checklist-sectioned","fail","34ca00c0a4d3438902ed975bccbd88f090827dcf93f55350939a9523105cf91a","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-05-M-TE1-R(N17-GF-05-R-M1E1, M2E1, M3E1)"
"3b523b54-e12b-4744-b272-7cb8280e0cf1","","checklist-sectioned","pass","34ca00c0a4d3438902ed975bccbd88f090827dcf93f55350939a9523105cf91a","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-06-M-TE1-R(N17-GF-06-R-M1E1, M2E1, M3E1)"
"6f785993-0903-4a12-ad33-fcd755179acc","","checklist-sectioned","pass","34ca00c0a4d3438902ed975bccbd88f090827dcf93f55350939a9523105cf91a","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-07-M-TF-R(N17-GF-07-R-M1F, M2F, M3F)"
"3ed8a6bd-ba31-4fb6-b1cc-21341b3a0261","","checklist-sectioned","pass","34ca00c0a4d3438902ed975bccbd88f090827dcf93f55350939a9523105cf91a","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-08-M-TE1-L(N17-GF-08-L-M1E1, M2E1, M3E1)"
"47bcbf0d-8b97-4c02-bff7-c9e79b4572c5","","checklist-sectioned","pass","34ca00c0a4d3438902ed975bccbd88f090827dcf93f55350939a9523105cf91a","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-09-M-TE1-L(N17-GF-09-L-M1E1, M2E1, M3E1)"
"8d6621c4-51da-4b87-b404-d8a952dc9991","","checklist-sectioned","pass","34ca00c0a4d3438902ed975bccbd88f090827dcf93f55350939a9523105cf91a","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor","GRD-10-M-TE1-L(N17-GF-10-L-M1E1, M2E1, M3E1)"
