"Warnings","Id","Type","Name","Values","Prompting Name","Postfix","Usage Count","Resource Id"
"",,"checklist-flat","Add - Load Traceability and Testing Inspection ","","Inspection - ",,0,"4a5276ae-e318-437d-9d67-e5a97dae067f"
"",,"checkpoint","Inspection Details Complete",,,,,
"","529cd863-6213-42ae-a708-86cd010fb307","textbox","Delivery Docket Number",,,,,
"","33827933-41a4-4ce9-bdf3-6e95044416ee","textbox","Test Cylinder ID Number",,,,,
"","df92959e-609a-4cf3-ab70-22b1d7f5a4e0","textbox","Test Age",,,"Days",,
"","1b090feb-a209-4c4a-8c76-db078d55738b","textbox","Time Sampled",,,,,
"","29da3a69-ed58-463b-bc0a-102073f48478","note","Temperature",,,,,
"Hidden property width:50","5ba5415c-5bc0-406a-a66f-366f4977fb99","textbox","Air",,,"C",,
"Hidden property width:50","1e22045d-29a3-4da0-8463-1a4c4de07e51","textbox","Conc",,,"C",,
"","7eb107d6-adda-47ec-a505-c34a361bd231","note","Concrete Strength",,,,,
"Hidden property width:50","b894795d-dd5d-4725-b2dd-6885d39b058b","textbox","Required",,,"MPa",,
"Hidden property width:50","0b244b1d-7330-444e-979e-c5eb42daf87b","textbox","Actual",,,"MPa",,
"","a45ac7cd-09d2-4601-b2ab-52a286599bcd","note","Conformance",,,,,
"Hidden property width:50","cbd8bc74-2b6c-4349-99cc-8b98ac567e33","textbox","Rate of Evaporation",,,"(< 0.50Kg / m2 / hour)",,
"Hidden property width:50","61010e9e-f4e9-43ba-8db0-87ab05357f52","textbox","NCR",,,,,
"","af38e8b2-b234-40c9-a06c-cc9868b3b699","textbox","Checked By (FH)",,,,,

"",,"checklist","Add Absorb 350 Checklist","","Installation - ",,0,"dc505bca-61a0-4e9b-a47f-b180549fa596"
"",,"section","Installation Checklist 70 kph or Less",,,,,
"",,"checkpoint","Is the road operating speed 70 kph? NOTE: If the terminal is to be used for an 80 kph operating zone complete section B additionally",,,,,
"",,"checkpoint","Are the units positioned on level ground i.e. max across and approach slope of 1:10?",,,,,
"",,"checkpoint","Is the crash cushion set out as per the design instructions in the Product and Installation manual?",,,,,
"",,"checkpoint","Is the vehicle impact angle, with the crash cushion, limited to 25 degrees (1 lateral: 2.14 forward)?",,,,,
"",,"checkpoint","Ensure workers and equipment are not located in the safety or clear zone",,,,,
"",,"checkpoint","Are the correct number of elements for the sites peak and non-peak Operating speeds and are they in the correct order? Refer to the System Configuration Diagram (Page 6).",,,,,
"",,"checkpoint","Is the Transition anchored to concrete with 4 anchor nbolts and to steel with 2 pins?",,,,,
"",,"checkpoint","Are all the elements pinned together as per Installation Manual?",,,,,
"",,"checkpoint","Have the elements been configured as per the configuration chart?",,,,,
"",,"checkpoint","Have all the elements except the final element been filled with water?",,,,,
"",,"checkpoint","Are all elements aligned with the downstream barrier?",,,,,
"",,"checkpoint","Has Delineation been applied to nosing as per road controlling authority requirements?",,,,,
"",,"checkpoint","Have tools and equipment been removed from site on completion of the installation?",,,,,
"",,"checkpoint","Is there any debris under or between the elements?",,,,,
"",,"checkpoint","Have drive by inspections been scheduled? Minimum monthly",,,,,
"",,"section","Installation Checklist 80 kph",,,,,
"",,"checkpoint","Have all criteria in Section A of the checklist been met?",,,,,
"",,"checkpoint","Has the risk of high speed side impact been assessed?",,,,,
"",,"checkpoint","Has the risk of penetration behind or vaulting over the barrier been assessed?",,,,,
"",,"checkpoint","Has the use of re-directing impact attenuator been assessed not feasible for reasons other than cost or convenience?",,,,,
"",,"checkpoint","Is there a 30m clear run out area behind the barrier?",,,,,
"",,"checkpoint","Is the application to be used at 80kph for a short time?",,,,,
"",,"checkpoint","Have drive by inspections been scheduled to occur more frequently?",,,,,
"",,"checkpoint","Has the site specific risk assessment been carried out and approved by the site engineer?",,,,,
"",,"section","Sign Offs",,,,,
"",,"checkpoint","Sign Off Completed",,,,,
"","275963f0-2be5-4bba-b777-36784542f476","textbox","Installed By:",,,,,
"","7d2710e7-e40b-4028-aab7-5c3210c08b88","textbox","Inspected By:",,,,,

"",,"checklist-flat","Add Binder Prep","","checklist",,0,"cecaf133-16a4-47e4-ad4d-ac9d8c43ad5e"
"",,"checkpoint","container",,,,,
"",,"checkpoint","Determine viscosity of bitumen",,,,,

"",,"checklist-flat","Add Flange Assembly Installation Checklist","","Flange Assembly Installation ",,0,"53ec70c2-9a10-4123-a5f0-34537d3c17df"
"",,"checkpoint","Flange Installation Details Complete",,,,,
"","8c51c5cb-8ae7-4463-86c8-822c1b0ac4f2","textbox","ITP Number:",,,,,
"","3f3e4a9b-ee6d-4956-b4b7-ee77a7fbb9b9","textbox","Chainage of Flange Assembly, Valve or Pit:",,,,,
"","526c659e-0e61-4925-a3e1-0443c3bfb246","textbox","Source of required 100% torque values:",,,,,
"",,"checkpoint","Flange Connection",,,,,
"","134a381f-5fea-4ff2-9138-e10bd30f5d58","textbox","Flange Size",,,"DN",,
"","b5a2cf34-5ada-45b5-8825-400f137cfc0f","textbox","Number of Bolts",,,,,
"","ed87628e-19dd-464f-bcf2-25610f912b57","textbox","Bolt Type & Grade eg.M16/316/SS",,,,,
"",,"checkpoint","Bolts Well Lubricated (i.e Molybond / Anti-seize) ",,,,,
"",,"checkpoint","Bolt Insulation Washers Used ",,,,,
"","f9e62ac7-25f7-4fa1-a60c-8021a5c9a046","textbox","Gasket Type (EPDM or Fibre)",,,,,
"",,"checkpoint","All flange faces clean & not damaged? ",,,,,
"",,"checkpoint","Finger/Hand Tightened for initial bolt placement",,,,,
"",,"checkpoint","Star Pattern Tightening used",,,,,
"","da43bcdb-e34e-457b-853f-569a71c7baad","textbox","30% Torque ",,,"Nm",,
"","93f2c2a0-1361-480e-a3cf-592c0caa8c45","textbox","60% Torque",,,"Nm",,
"","7f82804d-7948-4165-8166-8c99a409dd06","textbox","100% Torque",,,"Nm",,
"","a59ce40c-29f2-48ee-9019-38377df15ac0","textbox","Torques Completed By:",,,,,

"",,"checklist-flat","Add Hold Point Release Form","","Hold Point Release Form - ",,0,"b4369c8a-8348-48d3-9a14-91fd503e6448"
"",,"checkpoint","Request for Release of Hold Point ",,,,,
"","9cc496c4-dfe5-4460-8f34-9b233aac068d","textbox","Date:",,,,,
"","b0d17e12-5afb-46ab-b91c-2ac379c569e5","textbox","Process:",,,,,
"","622d045e-a1c7-421e-a953-b2f8acb44589","tickbox","Not Applicable",,,,,
"","32eece2c-1b39-4e00-a5fe-27f50cee360f","textbox","",,,,,
"","5a0fee7c-c43a-4664-98df-9770193b645e","textbox","Description:",,,,,
"","0ecba3fd-d2a7-40ff-9e84-a03b4a0edaa6","textbox","Specification Reference:",,,,,
"",,"checkpoint","Hold Point Released",,,,,
"","1d19cffc-395c-4be8-9459-11d3bb8cae91","note","Response",,,,,
"","7ba4cf4a-dfbb-4b50-b073-a253ffd20786","textbox","Date:",,,,,
"",,"signoff","Request Hold Point Sign Off From Respondent ",,,,,

"",,"checklist","Add ITP 007","itp","ITP 007 - Lot - ",,0,"7c92f6d9-bead-4a1b-9a17-fc84132a62cc"
"",,"section","Fencing and Gates Construction",,,,,
"",,"checkpoint","1.1 Check for correct documentation",,,,,
"","05a643a1-6c8f-47ee-bb52-17ff39a1d1f8","note","Frequency: Prior to commencing any activity",,,,,
"","077d0bef-4b63-47d8-b433-083917a65f1b","note","Acceptance Criteria: Ensure that all employees and subcontractors are: - using the correct and complete set of drawings  -all drawings are the latest revision -Conflicting documents will be refernced to the heirarcy of documents listed in Section 175.03",,,,,
"","8d996e3e-c696-4823-9c1d-67097e148a2b","note","Reference Documents: Drawings and drawing registers 175.03",,,,,
"","36b974a4-1863-40c4-996e-da89921edb17","note","Inspection/Test Method: Visual inspection",,,,,
"","9ba3a99a-80f4-4edf-854e-aaeba86a1d4c","note","Record of conformity: This ITP signed",,,,,
"","76381226-a98b-497d-b48e-137edbd08205","note","HP*",,,,,
"","9bbb5238-279f-4a80-81a0-5071877280c9","note","Responsibility: Fulton Hogan Engineer",,,,,
"","af95cf83-8516-429d-90af-30950c0bf419","textbox","Date Completed:",,,,,
"",,"checkpoint","1.2 Implementation of all measures and controls",,,,,
"","89d6d94d-bf61-41c0-93f7-eb1ca42ede59","note","Frequency: Prior to commencing any activity",,,,,
"","a7d65fc7-5e9f-4f3f-a098-e3acff14ef4f","note","Acceptance Criteria: All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, SWMS & WP",,,,,
"","e3a14246-f044-4370-b8d1-5e677585f3f5","note","Reference Documents: OHSMP, EMP, TMS,  SWMS, WP",,,,,
"","58ffad53-e396-4e97-aa97-6062f0c755dc","note","Inspection/Test Method: Visual Inspection",,,,,
"","adb5a6b4-a5b6-498c-90e3-c9922f75e2f2","note","Record of Conformity :This ITP signed",,,,,
"","b11916fe-d884-402a-bd17-68e929b691e7","note","HP*",,,,,
"","a2944bf6-4b1f-48e2-88b8-b9b50bfd1352","note","Responsibility: Fulton Hogan Engineer",,,,,
"","d370086e-dec9-4a7d-a089-c1ebdafd2ae1","textbox","Date Completed:",,,,,
"",,"checkpoint","1.3 Accomodation Agreements with Property Owners",,,,,
"","954383cb-5759-4399-a942-7f2d5c2b7aac","note","Frequency: Prior to commencing any activity",,,,,
"","464fc2f3-3aa0-483a-91b1-3a8a7be08b63","note","Acceptance Criteria: All accomodation agreements with property owners have been agreed to, including the type and arrangement of fencing. Refer to Client if agreement cannot be made.",,,,,
"","f7c29448-b4ba-4366-90f0-0d8f553d2fe1","note","Reference Documents: Accomodation Agreements",,,,,
"","b2cce583-1265-45a0-b0f6-d1e6d66101b9","note","Inspection/Test Method: Verify",,,,,
"","3c2319f1-b1f0-488c-a7ea-2d913a0c6b5c","note","Record of conformity: This ITP signed",,,,,
"","fe122611-37fd-4459-b81e-c1e4f4b99e46","note","AP",,,,,
"","dc4070b9-c05b-42ba-b25c-d2bc3426ee3e","note","Responsibility: Fulton Hogan Engineer",,,,,
"","9aa6936c-dc97-47f9-b9b1-4eaa032515fb","textbox","Date Completed:",,,,,
"",,"checkpoint","1.4 Survey Setout",,,,,
"","a21a6a94-e39a-47f8-a95f-703af3df4699","note","Frequency: Prior to commencing any activity",,,,,
"","4ce43620-c861-4dc6-b1d7-f91df8d5ee84","note","Acceptance Criteria: All fencing to be setout using survey to required accuracy.",,,,,
"","a5675eb6-70d6-47b4-bc82-db94618ae3e8","note","Reference Documents: 707.04",,,,,
"","2a2243c9-2162-499a-87d0-fffdcf215b66","note","Inspection/Test Method: Verify",,,,,
"","c1a64e30-25ec-4b97-b8f0-b711748ea41b","note","Record of Conformity: This ITP signed",,,,,
"","6edb41c5-f39e-4e36-a6f2-ba44765d32f2","note","SCP",,,,,
"","8e2c9d31-5d43-4b0d-973f-18edc02c77e2","note","Responsibility: Fulton Hogan Engineer",,,,,
"","6f5d6310-7d73-4382-8763-aa53da7ab1e0","textbox","Date Completed:",,,,,
"",,"checkpoint","1.5 Clearing and Grubbing",,,,,
"","92bca64b-b8f4-4adc-a6f5-546792c6a66d","note","Frequency: Prior to commencing any activity",,,,,
"","a70c5734-cf68-4efd-883b-1d5afac2d2b5","note","Acceptance Criteria: Clearing and grubbing works must be completed prior to the commencement of fencing installation works to 1m clearance either side of the fencing.",,,,,
"","0e99cacc-b2e3-4c70-ad62-0bb00446b6bf","note","Reference Documents: Work Procedure",,,,,
"","9626d1f3-baf1-491f-b517-f91f88405cd8","note","Inspection/Test Method: Verify",,,,,
"","9ad49c8e-4b6b-499d-ad91-276d89e60499","note","Record of Conformity: This ITP signed",,,,,
"","0bc930ef-0f28-4115-9729-f7b17ef96300","note","HP*",,,,,
"","b0157798-fe4b-4424-8f53-2b498a396c3a","note","Responsibility: Fulton Hogan Engineer",,,,,
"","1e6a9ceb-1036-4877-8c2a-3042baa0e919","textbox","Date Completed:",,,,,
