Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Fit Out Progress,,,,,,,,
,Scope,,,Fit Out,,,,
,Rows,,,,,,,
,,Refurb - Phlembotomy,dynamic,Fit Out,Refurb,Phlembotomy,,
,,Refurb - Cardiology,grouping,Refurb - Cardiology,,,,
,,Pacing 2-H27,,Fit Out,Refurb,Cardiology,Pacing 2-H27,
,,Pacing 1-H28,,Fit Out,Refurb,Cardiology,Pacing 1-H28,
,,Treadmill room-H30,,Fit Out,Refurb,Cardiology,Treadmill room-H30,
,,ACC WC -H29,,Fit Out,Refurb,Cardiology,ACC WC -H29,
,,Weigh Bay H23,,Fit Out,Refurb,Cardiology,Weigh Bay H23,
,,Entry H01,,Fit Out,Refurb,Cardiology,Entry H01,
,,Linen Shelves -H21,,Fit Out,Refurb,Cardiology,Linen Shelves -H21,
,,DB-H36,,Fit Out,Refurb,Cardiology,DB-H36,
,,Stair-H37,,Fit Out,Refurb,Cardiology,Stair-H37,
,,Sub D/U- H38,,Fit Out,Refurb,Cardiology,Sub D/U- H38,
,,reception +nurse CO-ORD -H03,,Fit Out,Refurb,Cardiology,reception +nurse CO-ORD -H03,
,,Staff base -H04,,Fit Out,Refurb,Cardiology,Staff base -H04,
,,Bay-H34,,Fit Out,Refurb,Cardiology,Bay-H34,
,,Resus Bay-H06,,Fit Out,Refurb,Cardiology,Resus Bay-H06,
,,C/U/Store -H07,,Fit Out,Refurb,Cardiology,C/U/Store -H07,
,,Pat WC-H18,,Fit Out,Refurb,Cardiology,Pat WC-H18,
,,EQ trolley Bay -H10,,Fit Out,Refurb,Cardiology,EQ trolley Bay -H10,
,,St WC-H13,,Fit Out,Refurb,Cardiology,St WC-H13,
,,ST WC-H14,,Fit Out,Refurb,Cardiology,ST WC-H14,
,,Lockers-H12,,Fit Out,Refurb,Cardiology,Lockers-H12,
,,Refurb - Cardiology - CONS,dynamic,Fit Out,Refurb,Cardiology,CONS,
,,Refurb - Cardiology - CORRIDOR,dynamic,Fit Out,Refurb,Cardiology,CORRIDOR,
,,Refurb - Cardiology - ECHO,dynamic,Fit Out,Refurb,Cardiology,ECHO,
,,Refurb - Cardiology - ECG,dynamic,Fit Out,Refurb,Cardiology,ECG,
,,East Building - Internal: Ground Floor - Cons,dynamic,Fit Out,East Building,Internal: Ground Floor,Cons,
,,East Building - Internal: Ground Floor - VL,dynamic,Fit Out,East Building,Internal: Ground Floor,VL,
,,East Building - Internal: Ground Floor - OCT,dynamic,Fit Out,East Building,Internal: Ground Floor,OCT,
,,East Building - Internal: Ground Floor - Pascal LZR,dynamic,Fit Out,East Building,Internal: Ground Floor,Pascal LZR,
,,East Building - Internal: Ground Floor - Angio,dynamic,Fit Out,East Building,Internal: Ground Floor,Angio,
