Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
ITP-009 - Fire Service Installation & Commissioning - Lot Register,,,,,
,Scope,,,Site QA,ITP-009 - Fire Service Installation & Commissioning
,Rows,,,,
,,ITP-009 - Fire Service Installation & Commissioning,dynamic,ITP-009 - Fire Service Installation & Commissioning,Site QA
,Columns,,,,
,,Lot Status,Lot Status,lot conformance,lot conformance.
,,Lot Opened On,Lot opened date:,lot conformance,lot conformance.
,,Lot Opened By,Lot opened by:,lot conformance,lot conformance.
,,NCR Raised?,NCR raised?,lot conformance,lot conformance.
,,NCR Raised Date,NCR Raised Date:,lot conformance,lot conformance.
,,NCR Closed?,NCR closed?,lot conformance,lot conformance.
,,NCR Closed Date?,NCR Closed Date:,lot conformance,lot conformance.
,,NCR No,NCR Number:,lot conformance,lot conformance.
,,Comments,Comments,lot conformance,lot conformance.
