"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6aa6e359-a16c-457b-9e87-d1a59ff65e75","","folder-normal","not-started","","step","TRUE","FALSE","Project QA"
"bf75550f-602e-4239-b045-1dfd91e570a9","","checklist-flat","not-started","Underslab Checklist","checklist-flat","FALSE","FALSE","Project QA","Underslab"
"ed04fbe5-f3cc-51ae-aeae-a78b35c80531","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Pipework Material as specified/scheduled/drawn"
"fe82b198-6e7a-5717-ac45-bdfa635bed45","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Grid lines and fitting dimensions confirmed"
"b2699167-5109-534a-80e7-71b5000e6b78","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Drain invert checked"
"b54294fd-c8a8-5b8b-ab6f-9f45885dca54","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Gully position checked"
"d07e01f6-f8dd-5cfa-a83b-5914b51b094c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Floor levels established"
"8aeff24c-6f25-5cc8-bed7-761b131128d0","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Falls checked"
"7c6be5a1-fd50-51cc-9b53-81701ac92671","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Drainlayer/Plumber interface Points established"
"72610179-752b-51c3-81fe-5c778a24eab9","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Penetrations co-ordinated with main contractor"
"68daeda3-24cd-536d-8d49-ffd815bef6e1","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Pipework backfilled correctly"
"8571f999-2aa5-54ba-9b74-d33bafbdfb8c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Identification strip installed if required"
"4145ed49-dfe8-5202-b8bb-34ce15574ee9","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Open ends of pipework capped off to prevent dirt ingress"
"1fe7b5d4-68f8-58ec-8c8e-3b8710648171","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Work completed and photos attached"
"c0148957-e83e-57e0-b0b9-2c8cf22dc67b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Area left clean and tidy"
"c5bab25e-23ed-44b5-880a-9808c398f1df","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Preline"
"a2c38a24-de13-40f1-b2ad-980c8b07ccde","","checklist-sectioned","not-started","Preline Checklist","checklist","FALSE","FALSE","Project QA","Preline","Male bathroom"
"5a538f00-3d47-53d4-8a3d-aea6402ebffd","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Male bathroom","Preline QA"
"9533bcd9-fed9-5ec7-aabe-c4a6a532c0fb","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Preline QA","Area Accessible"
"845805b7-3424-513f-b914-5c18b840a9ac","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Preline QA","Service (please tick all applicable)"
"b07a69d1-51b6-5817-9a53-454bb1796f78","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Preline QA","Pipework securely clipped"
"d0258ad3-665f-5e1f-a88b-022e12ab64ab","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Preline QA","Lagging installed"
"ffd48e97-46e7-5d87-8866-9ea4cd73539f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Preline QA","Seismic restraints installed"
"10628448-628f-58dc-b991-ef952bdd5850","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Preline QA","Penetrations sealed through floors"
"27926da3-7095-536a-883a-f528e4e15971","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Preline QA","Outlet positions checked for"
"ad1e5fbf-a4cc-5bd4-a03f-d478ec1b3c7e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Preline QA","Heights – Finished floor height verified with Main Contractor"
"08d241d6-99aa-5063-9b38-3cb702def6d6","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Preline QA","Projection of valves, shower mixers and the like correct for second fix"
"aacc7993-b2f5-5ee6-aa5a-350343825489","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Preline QA","Nogs installed for second fix installation"
"0ed752de-6ff2-5ae9-8442-672729fffc01","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Preline QA","Pipework identification installed if required"
"2b25e4a4-8565-5330-acf3-c37796227e58","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Male bathroom","Testing"
"735c23f2-f493-58eb-9d2c-45dcec67bd0b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Testing","Hot & Cold Water"
"8c90cd46-8f1a-51e7-9891-64166c20bd8f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Testing","Soil/Waste Pipes"
"0c749b94-7afb-5e2e-b191-486b8a02e6b5","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Testing","Other"
"1964f0ac-5a78-50f7-b830-8d7fc8c2b1da","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Male bathroom","Handover"
