"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0a2ef68f-234f-4489-bf49-dbad693ac7dd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"0eed8881-9539-426c-ae07-54f99fd3fc01","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Documents for Reference"
"5a392417-1968-41f8-abb0-3ef9d1d26582","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Welder Certificates"
"10aded33-3c82-5163-80d4-c31281c16e56","","checkpoint-status","pass","Add Reference Document:ac683752-d805-4d0c-946f-7a5dfa54dcee","","TRUE","TRUE","Site QA","Documents for Reference","Welder Certificates","Please attach document here"
"146e238b-3017-4bf6-956c-4d5f0a72ff59","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Extruder Calibrations & Conformity"
"e5b52272-3964-5a06-8039-b9a81bc3178a","","checkpoint-status","pass","Add Reference Document:ac683752-d805-4d0c-946f-7a5dfa54dcee","","TRUE","TRUE","Site QA","Documents for Reference","Extruder Calibrations & Conformity","Please attach document here"
"00563a5c-4b02-4e95-9d5f-8cbd2c39a5bf","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Extruder Serial Numbers"
"36f526c9-4c51-587a-beca-717285bdd01f","","checkpoint-status","pass","Add Reference Document:ac683752-d805-4d0c-946f-7a5dfa54dcee","","TRUE","TRUE","Site QA","Documents for Reference","Extruder Serial Numbers","Please attach document here"
"d1532e47-1b04-43ad-8001-12fb6c49ddb8","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","LEISTER Tool Serial Numbers - Weldplast "
"7afb8a54-6a37-5ea0-a665-a777304edf49","","checkpoint-status","pass","Add Reference Document:ac683752-d805-4d0c-946f-7a5dfa54dcee","","TRUE","TRUE","Site QA","Documents for Reference","LEISTER Tool Serial Numbers - Weldplast ","Please attach document here"
"24eca42d-d299-4b34-903f-0909d118411c","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Goodburn Spark Tester"
"478d1a02-83ec-5a0c-9796-2d9fc6b36ec1","","checkpoint-status","pass","Add Reference Document:ac683752-d805-4d0c-946f-7a5dfa54dcee","","TRUE","TRUE","Site QA","Documents for Reference","Goodburn Spark Tester","Please attach document here"
"64829cba-c0ac-4a08-8bb7-80c892b7810c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings."
"c9a11949-58e8-42c9-811d-dfe8d22e3480","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500"
"9dbd897b-1d95-4bf5-8466-d8dbc9d6856c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25"
"e66be270-6253-4536-8210-c9836126231d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25","Prestart"
"106be72b-b004-44b8-a863-6a61813b1eeb","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"4b394cd0-7b53-5a6a-8a22-3a0c301155fe","","checkpoint-status","not-started","QA - Daily Prestart Checklist:b5a9a753-61bc-42fe-b0d6-ff4a0ccd84d1","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Prestart","Daily Prestart - Date: DD/MM/YYYY","Are all electrical tools and leads tagged and safe to use?"
"7aca60e1-1930-563d-96a7-97ed0f00ac88","","checkpoint-status","not-started","QA - Daily Prestart Checklist:2fc64f3c-d7ac-4920-82dd-8a1b710f87d3","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Prestart","Daily Prestart - Date: DD/MM/YYYY","Has the Daily Calibration of the electronic spark tester been completed?"
"250e517b-f228-5cc7-943e-4175c1759997","","checkpoint-status","not-started","QA - Daily Prestart Checklist:3ec57a31-9037-4421-bd0b-faec769fe45c","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Prestart","Daily Prestart - Date: DD/MM/YYYY","Are the Extruders calibration certs current?"
"059817c9-9e4c-5970-951f-84db937638bd","","checkpoint-status","not-started","QA - Daily Prestart Checklist:e17bf073-2d02-46c9-8a3b-418f00d7a739","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Prestart","Daily Prestart - Date: DD/MM/YYYY","Air temp"
"e652f397-de64-59e6-96e8-d5218efd93b9","","checkpoint-status","not-started","QA - Daily Prestart Checklist:27784ca0-5eb6-484e-a63a-b04e192b8ba4","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Prestart","Daily Prestart - Date: DD/MM/YYYY","Surface temp"
"1cb09883-b387-5689-9c11-ffee6044674a","","checkpoint-status","not-started","QA - Daily Prestart Checklist:82347384-c20f-4eb9-a369-ec1e1106375c","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Prestart","Daily Prestart - Date: DD/MM/YYYY","Dew point"
"593b1013-32c5-53f6-ac15-dd67b8fbc568","","checkpoint-status","not-started","QA - Daily Prestart Checklist:ce0ca008-93d1-42fc-b4c2-b41451486c2b","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Prestart","Daily Prestart - Date: DD/MM/YYYY","Trial weld completed sucessfully and numbered?"
"fdcb9f03-3767-4579-8d33-fa8f468fa3e8","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 1"
"c4b9a3ea-1b7e-5915-967b-daa13152c6d7","","checkpoint-status","not-started","QA - Welding Record:e6a6dc66-9fcd-4e2c-be20-c37655ebda69","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 1","Rings"
"4cf62ad6-0e0d-5482-9cd8-1e2c12cba9c9","","checkpoint-status","not-started","QA - Welding Record:e4c8f605-3ee2-42b4-8adf-32d54b4455a7","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 1","Material information"
"dee2c2a4-1baa-5e77-aec4-53df65007f10","","checkpoint-status","not-started","QA - Welding Record:423f5873-fbe5-4e1b-b327-dc533a9e98f2","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 1","Ambient conditions"
"dd1287a1-19e3-5fcc-a700-74a0d49204db","","checkpoint-status","not-started","QA - Welding Record:adfb5182-35af-47a8-b94c-769660946539","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 1","Panel"
"8dfb3644-505b-5c69-b68f-b3f14b0d29e6","","checkpoint-status","not-started","QA - Welding Record:8f61b87b-422a-4555-abd5-31402321b485","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 1","Welding parameters - Extrudate"
"f223b57f-b35b-5818-99fb-a8785ad5c554","","checkpoint-status","not-started","QA - Welding Record:01962c1b-4082-4fd0-81b7-716a30b77df9","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 1","Welding parameters - Hot air"
"629a923b-b1d0-59cf-8b15-17e0fed42bf0","","checkpoint-status","not-started","QA - Welding Record:a8ae7620-6f0a-4a8e-9840-1c23b707bd2b","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 1","Welding parameters - Speed"
"1f80a07e-66d8-592b-b460-793d846aff82","","checkpoint-status","not-started","QA - Welding Record:1d4bbbe4-7a6b-45ce-bbf4-32dee9b162a9","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 1","General Comments"
"ade30822-7239-40a8-8ca2-55c798d25e20","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 2"
"0cb23186-efc6-5f2d-96cd-ae97c799dd89","","checkpoint-status","not-started","QA - Welding Record:e6a6dc66-9fcd-4e2c-be20-c37655ebda69","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 2","Rings"
"ab6ba8b8-27c1-527a-b427-a1e33943d7cb","","checkpoint-status","not-started","QA - Welding Record:e4c8f605-3ee2-42b4-8adf-32d54b4455a7","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 2","Material information"
"b01ca70c-741f-5d81-b986-e11564e4b829","","checkpoint-status","not-started","QA - Welding Record:423f5873-fbe5-4e1b-b327-dc533a9e98f2","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 2","Ambient conditions"
"7f5b7530-d167-5034-ad7a-883a4306c16b","","checkpoint-status","not-started","QA - Welding Record:adfb5182-35af-47a8-b94c-769660946539","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 2","Panel"
"702f469c-c8e4-53f4-bd60-a97f2fbebbd0","","checkpoint-status","not-started","QA - Welding Record:8f61b87b-422a-4555-abd5-31402321b485","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 2","Welding parameters - Extrudate"
