type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,
checklist,DS2672-ITP-S121 - Earthworks - Section 1 - Inspection and Test Plan - Rev 1,itp,,,,,DS2672-ITP-S121 - Earthworks - Section 1 - Inspection and Test Plan - Rev 1,,,,,,,,,,
section,"5.03 Clearing, Stripping, and Excavation",,,,,,,,,,,,,,,,
checkpoint,5.03.05 - Tree and Bush Clearing,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - No trees or bush shall be cleared without approval from the Engineer.,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.7.2,,,,,,,,,,,,,,,,
label,Verifying Document - Hold Point Release,,,,,,,,,,,,,,,,
label,Frequency - Prior to Removal,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,5.03.03 - Organic Material Removal,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - All organic material shall be removed from the areas subject to excavation or filling. Turf, topsoil, and any scrub shall be removed to expose soil containing insignificant amounts of organic material.",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.7.1,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - When encountered,,,,,,,,,,,,,,,,
label,Activity - A,,,,,,,,,,,,,,,,
label,By - PE,,,,,,,,,,,,,,,,
checkpoint,5.03.01 - Excavation of Upper Dam Shoulder Inspection (Section 1),,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Excavation of upper dam shoulder at interface with spillway block and cut-off wall, placement of filter and drainage materials: full-time designer site presence must be inspected by the Engineer prior to further work being carried out in the area.",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.3 ,,,,,,,,,,,,,,,,
label,Verifying Document - Hold Point Release,,,,,,,,,,,,,,,,
label,Frequency - 48 Hours Notice Prior to Each Occurrence,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,5.03.04 - Topsoil Stockpiling,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - All significant volumes of topsoil shall be stockpiled for later re-use. Materials containing insufficient amounts of topsoil for practical separation shall be disposed of in dump areas to be designated by the Engineer.,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.7.1,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - When encountered,,,,,,,,,,,,,,,,
label,Activity - A,,,,,,,,,,,,,,,,
label,By - PE,,,,,,,,,,,,,,,,
checkpoint,5.03.06 - Surface Water Control,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - All earthworks shall be carried out in the dry. Both cut and fill areas shall be sloped adequately during construction so that they do not pond water and temporary drains shall be provided as necessary to ensure the effective removal of stormwater from the areas of operation into the site drainage system.,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.7.3,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - During Works,,,,,,,,,,,,,,,,
label,Activity - R,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint,5.03.08 - Water in Excavation,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - The excavation shall be free of water at all times,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.10,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - Daily,,,,,,,,,,,,,,,,
label,Activity - M,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint,5.03.09 - Dewatering Sump Backfilling,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Sumps formed for the purposes of dewatering shall be backfilled and compacted in layers with suitable fill to the approval of the Engineer.,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.10,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - Each Sump,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,5.03.07 - Unsuitable Material Removal,,,,,,,,,,,,,,,,
