Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,,,,,,,,,,
checklist-sectioned,,,checklist,DS2672-ITP-S110 - Earthworks Overarching and Diversion Test Plan - Rev 2,itp,,,,Yes,DS2672-ITP-S110 - Earthworks Overarching and Diversion Test Plan - Rev 2,29341e28-1c8c-48b4-97e5-9cebac59d606,,,,,,,,,,,,,,,,
checkpoint-group,,,section,3.01 Site Requirements,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.01.01 - Construction Pack,,,,,,,,,,,,,,,,,,,,,,,
label,cdebbe6e-7aac-5697-9d64-89fc94f4625e,,note,Acceptance / Conformance Criteria - Submit a Construction Pack including a Methodology and JESA to the Engineer before works,,,,,,,,,,,,,,,,,,,,,,,
label,d7deaf5b-4d42-5c51-ae79-151074072d0f,,note,Standard / Specification - Downer,,,,,,,,,,,,,,,,,,,,,,,
label,31d3051f-55f4-5b11-b733-1fc696a25d66,,note,Verifying Document - Construction Pack,,,,,,,,,,,,,,,,,,,,,,,
label,9652d532-da2c-5285-af75-01d264a8ebbf,,note,Frequency - Submit Prior to commencement of works,,,,,,,,,,,,,,,,,,,,,,,
label,855337ba-4e66-56af-8a5e-46946eeb7e59,,note,Activity - H,,,,,,,,,,,,,,,,,,,,,,,
label,37aa8135-96ac-5056-a319-9cd3112054e3,,note,By - PE,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.01.02 - Survey Setout,,,,,,,,,,,,,,,,,,,,,,,
label,c9ff5ee4-3b8a-5def-b3db-b6cb71f93326,,note,"Acceptance / Conformance Criteria - Survey Set out as per contract drawings and specification, capturing pre-construction levels where needed.",,,,,,,,,,,,,,,,,,,,,,,
label,28dfe9ff-b32a-5958-8fb3-f880c6de6a23,,note,Standard / Specification - Downer,,,,,,,,,,,,,,,,,,,,,,,
