type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,
checklist,561483-ITP-001.1 - Air Valves - Delivery & Installation,itp,,,,,561483-ITP-001.1 - DRAFT - Installation of Stoney Knowe Air Valve1 - HOLD POINT,,,
section,SECTION 3 – RECEIVING INSPECTIONS,,,,,,,,,
checkpoint,3.1 - Take delivery of air valve 1,,,,,,,,,
label,Inspection Point: Quality Control Activity - Check that Make/Model/Dimensions are correct,,,,,,,,,
label,Acceptance Criteria - Matches Design Drawings/Documents,,,,,,,,,
label,Verifying Document - Drawings & Specifications,,,,,,,,,
label,Frequency - Once,,,,,,,,,
label,"Inspection Type (Visual, other) - Visual + electronic",,,,,,,,,
label,Inspection: Key - H,,,,,,,,,
label,Inspection: By - IP/PM,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,
checkpoint,3.2 - Inspection of Air valves for any sign of transit damage,,,,,,,,,
label,Inspection Point: Quality Control Activity - Visual check for paint coating damage and or any mechanical damage,,,,,,,,,
label,Acceptance Criteria - No chips to protective coating or any mechanical damage,,,,,,,,,
label,Verifying Document - This ITP,,,,,,,,,
label,Frequency - Once,,,,,,,,,
label,"Inspection Type (Visual, other) - Visual + Inspection",,,,,,,,,
label,Inspection: Key - I,,,,,,,,,
label,Inspection: By - IP,,,,,,,,,
checkpoint,3.3 - Fitment - Spatial constraints,,,,,,,,,
label,Inspection Point: Quality Control Activity - Verify air valves will physically fit into existing locations,,,,,,,,,
label,Acceptance Criteria - Measure & Check,,,,,,,,,
label,Verifying Document - This ITP. Notify Engineer of any locations where this is not achievable,,,,,,,,,
label,Frequency - Once,,,,,,,,,
label,"Inspection Type (Visual, other) - Visual + Inspection + Photograph + Written (if applicable)",,,,,,,,,
label,Inspection: Key - I,,,,,,,,,
label,Inspection: By - CR,,,,,,,,,
checkpoint-no-status,Note:,,,,,,,,,
label,It was observed during our inspection that potentially there will be a spatial issue (height) with a least 1No air valve.,,,,,,,,,
label,Downer to notify Engineer once confirmed.,,,,,,,,,
section,SECTION 4 – IN-PROCESS INSPECTIONS,,,,,,,,,
checkpoint,4.1 - Remove redundant Air Valve & Isolating Valve - Valve 1,,,,,,,,,
label,Inspection Point: Quality Control Activity - Inspect condition of BSP50mm thread to accept new valve & air vent,,,,,,,,,
label,Acceptance Criteria - Thread is in good condition,,,,,,,,,
label,Verifying Document - Visual Assessment,,,,,,,,,
label,Frequency - once,,,,,,,,,
label,"Inspection Type (Visual, other) - Visual + Photographs + docket",,,,,,,,,
label,Inspection: Key - I,,,,,,,,,
label,Inspection: By - IP,,,,,,,,,
checkpoint,4.2 - Isolating Valve Installation - Valve 1,,,,,,,,,
label,Inspection Point: Quality Control Activity - Install new Stainless Steel 50mm BSP Nipple & Ball Valve 1,,,,,,,,,
label,Acceptance Criteria - Ensure valve is installed so that it can be isolated with out interference,,,,,,,,,
label,Verifying Document - As per drawings/Specifications & Best Practice,,,,,,,,,
label,Frequency - once,,,,,,,,,
label,"Inspection Type (Visual, other) - Visual + Photographs",,,,,,,,,
label,Inspection: Key - I,,,,,,,,,
label,Inspection: By - IP,,,,,,,,,
checkpoint,4.3 - Stainless Steel 50mm BSP Nipple & Air Valve 1,,,,,,,,,
label,Inspection Point: Quality Control Activity - Install new Stainless Steel 50mm BSP Nipple & Air Valve 1,,,,,,,,,
label,Acceptance Criteria - Ensure that Air Valve is installed free of obstruction and is not sitting proud of road surface and steel cover can be installed,,,,,,,,,
label,Verifying Document - Visual Assessment,,,,,,,,,
label,Frequency - once,,,,,,,,,
label,"Inspection Type (Visual, other) - Visual + Photographs",,,,,,,,,
