"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Package 1 Progress"
,"Scope",,
,"Rows"
,,"Byrrill Creek Road","dynamic","byrrill creek road","package 1","site completion report"
,,"Lone Pine Road","dynamic","package 1","site completion report","lone pine road"
,,"Doon Doon Road","dynamic","package 1","site completion report","doon doon road"
,,"Costellos Road","dynamic","package 1","site completion report","costellos road"
,,"Commissioners Creek Road","dynamic","package 1","commissioners creek road","site completion report"
,,"Cedar Creek Road","dynamic","package 1","cedar creek road","site completion report"
,,"Midginbil Road","dynamic","package 1","midginbil road","site completion report"
,,"Rowlands Creek Road","dynamic","package 1","site completion report","rowlands creek road"
,,"Manns Road","dynamic","package 1","manns road","site completion report"
,,"Chowan Creek Road","dynamic","chowan creek road","package 1","site completion report"
,"Columns"
,,"Possession of Site",,"possession of site"
,,"Date of possession:","Date of possession:","possession of site"
,,"Dial Before You Dig (DBYD) and Permit to Excavate completed and signed onto by personnel ...",,"dial before you dig (dbyd) and permit to excavate completed and signed onto by personnel - hold point required"
,,"TSC Scope Agreed:","TSC Scope Agreed:","dial before you dig (dbyd) and permit to excavate completed and signed onto by personnel - hold point required"
,,"Testing required for the scope:",,"testing required for the scope:"
,,"Concrete testing","Concrete testing","testing required for the scope:"
,,"Density Testing","Density Testing","testing required for the scope:"
,,"Gravel Testing Other","Gravel Testing Other","testing required for the scope:"
,,"Other","Other","testing required for the scope:"
,,"Traffic Control – TGS approved and appropriately selected for the works",,"traffic control – tgs approved and appropriately selected for the works"
,,"TGS No",,"traffic control – tgs approved and appropriately selected for the works"
,,"Erosion and Sediment Control:",,"erosion and sediment control:"
,,"Silt Boom Earth Bund","Silt Boom Earth Bund","erosion and sediment control:"
,,"Sediment Fence","Sediment Fence","erosion and sediment control:"
,,"Other","Other","erosion and sediment control:"
,,"Minor clearing of vegetation undertaken – where applicable.",,"minor clearing of vegetation undertaken – where applicable."
,,"Demolition works / Spoil Removal undertaken and spoil removed from site to Quirks Quarry -...",,"demolition works / spoil removal undertaken and spoil removed from site to quirks quarry - hold point required"
,,"Is subgrade or sub base suitable",,"is subgrade or sub base suitable"
