"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"In Ground Stormwater Checklist"
,"Scope",,,"in ground stormwater"
,"Rows"
,,"Basement 2","dynamic","in ground stormwater","basement 2"
,,"In Ground Stormwater - School/Parish Hall","grouping","in ground stormwater - school/parish hall"
,,"School",,"in ground stormwater","school","site qa"
,,"Parish Hall",,"in ground stormwater","parish hall","site qa"
,"Columns"
,,"The correct drawing has been used",,"the correct drawing has been used. is it issued for construction and which issue is it"
,,"All workers inducted & read appropriate SWMS for tasks",,"all workers been inducted and read appropriate swms for tasks and prestart signed"
,,"Appropriate materials used for application/sizing is correct",,"appropriate materials have been used for application, also sizing is correct"
,,"Invert levels checked/pipework correct fall as per drawing",,"invert levels been checked, pipework has correct fall as per drawing"
,,"Pipework is secured properly/penetrations through pits are correct",,"pipework is secured properly, penetrations through pits are correct (pits by others)"
,,"Q/A done to ensure all pipework is in place & in correct position",,"q/a been done to ensure all pipework is in place and in correct position (plan attached)"
,,"Pipework has been tested & are all open ends capped/taped off",,"pipework has been tested and are all open ends capped/taped off"

"In Ground Sewer Checklist"
,"Scope",,,"in ground sewer"
,"Rows"
,,"Basement 2","dynamic","basement 2","in ground sewer"
,,"Basement 2 - School/Parish Hall","grouping","basement 2 - school/parish hall"
,,"School",,"school","in ground sewer","site qa"
,,"Parish Hall",,"parish hall","in ground sewer","site qa"
,"Columns"
,,"The correct drawing used & it is issued for construction",,"the correct drawing has been used and it is issued for construction"
,,"All workers inducted & read appropriate SWMS for tasks",,"all workers been inducted and read appropriate swms for tasks and prestart signed"
,,"Appropriate materials used for application & sizing is as per drawings",,"appropriate materials have been used for application and sizing is as per drawings"
,,"Invert levels been checked/pipework has correct fall as per drawing",,"invert levels been checked, pipework has correct fall as per drawing"
,,"Pipework bedding is correct material & depth",,"pipework bedding is correct material and depth"
,,"Q/A done to ensure all pipework is in place & in correct position",,"q/a been done to ensure all pipework is in place and in correct position"
,,"All pipework is installed as per AS/NZS 3500",,"all pipework is installed as per as/nzs 3500"
,,"All floor wastes are charged by a fixture",,"all floor wastes are charged by a fixture"
,,"All open ends are capped off/taped off",,"all open ends are capped off/taped off"

"In Ground Pressure Services Checklist"
,"Scope",,,"in ground pressure services"
,"Rows"
,,"In Ground Pressure Services","dynamic","in ground pressure services","site qa"
,"Columns"
,,"The correct drawing used & it is issued for construction",,"the correct drawing has been used and it is issued for construction"
,,"All workers inducted & read appropriate SWMS for tasks",,"all workers been inducted and read appropriate swms for tasks and prestart signed"
,,"Appropriate materials used for application & sizing is as per drawings",,"appropriate materials have been used for application and sizing is as per drawings"
,,"Pipework bedding is correct material & depth",,"pipework bedding is correct material and depth"
,,"Q/A done to ensure all pipework is in place & in correct position",,"q/a been done to ensure all pipework is in place and in correct position"
,,"All pipework is installed as per AS/NZS 3500",,"all pipework is installed as per as/nzs 3500"
,,"Pipework has been pressure tested for 24 hours",,"pipework has been pressure tested for 24 hours - attach photo of pressure gauge"
,,"All open ends are capped off/taped off",,"all open ends are capped off/taped off"

"Deckwork"
,"Scope",,,"deckwork"
,"Rows"
,,"Basement 2","dynamic","deckwork","basement 2","site qa"
,,"Basement 1","dynamic","deckwork","basement 1","site qa"
,,"Lower Ground","dynamic","deckwork","lower ground","site qa"
,,"Upper Ground","dynamic","deckwork","upper ground","site qa"
,,"School - Level 1","dynamic","site qa","deckwork","level 1","school"
,,"School - Level 2","dynamic","site qa","deckwork","school","level 2"
,,"School - Level 3","dynamic","site qa","deckwork","school","level 3"
,,"School - Level 4","dynamic","level 4","site qa","deckwork","school"
,,"Parish Hall - Level 1","dynamic","parish hall","site qa","deckwork","level 1"
,,"Parish Hall - Level 2","dynamic","parish hall","site qa","deckwork","level 2"
,,"Parish Hall - Level 3","dynamic","parish hall","site qa","deckwork","level 3"
,,"Parish Hall - Level 4","dynamic","level 4","parish hall","site qa","deckwork"
,,"RAC (Residential Aged Care) - Level 1","dynamic","site qa","deckwork","level 1","rac (residential aged care)"
,,"RAC (Residential Aged Care) - Level 2","dynamic","site qa","deckwork","level 2","rac (residential aged care)"
,,"RAC (Residential Aged Care) - Level 3","dynamic","site qa","deckwork","level 3","rac (residential aged care)"
,,"RAC (Residential Aged Care) - Level 4","dynamic","level 4","site qa","deckwork","rac (residential aged care)"
,,"RL (Retired Living) - Level 5","dynamic","level 5","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 6","dynamic","level 6","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 7","dynamic","level 7","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 8","dynamic","site qa","level 8","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 9","dynamic","site qa","rl (retired living)","deckwork","level 9"
,,"RL (Retired Living) - Level 10","dynamic","level 10","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 11","dynamic","site qa","rl (retired living)","deckwork","level 11"
,,"RL (Retired Living) - Level 12","dynamic","site qa","level 12","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 13","dynamic","site qa","rl (retired living)","deckwork","level 13"
,,"RL (Retired Living) - Level 14","dynamic","site qa","rl (retired living)","deckwork","level 14"
,,"RL (Retired Living) - Level 15","dynamic","level 15","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 16","dynamic","level 16","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 17","dynamic","level 17","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 18","dynamic","level 18","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 19","dynamic","site qa","rl (retired living)","deckwork","level 19"
,,"RL (Retired Living) - Level 20","dynamic","level 20","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 21","dynamic","level 21","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 22","dynamic","site qa","rl (retired living)","deckwork","level 22"
,,"RL (Retired Living) - Level 23","dynamic","site qa","level 23","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 24","dynamic","site qa","rl (retired living)","deckwork","level 24"
,,"RL (Retired Living) - Level 25","dynamic","site qa","rl (retired living)","deckwork","level 25"
,,"RL (Retired Living) - Level 26","dynamic","level 26","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 27","dynamic","level 27","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 28","dynamic","level 28","site qa","rl (retired living)","deckwork"
,,"RL (Retired Living) - Level 29","dynamic","level 29","site qa","rl (retired living)","deckwork"
,"Columns"
,,"Correct drawing used/issued for construction",,"the correct drawing has been used. is it issued for construction and which issue is it"
,,"Workers inducted & read appropriate SWMS for tasks/prestart signed",,"all workers been inducted and read appropriate swms for tasks and prestart signed"
,,"Appropriate materials used for application/sizing is correct",,"appropriate materials have been used for application, also sizing is correct"
,,"Invert levels checked, pipework has correct fall as per drawing",,"invert levels been checked, pipework has correct fall as per drawing"
,,"Fire Collars secured properly",,"fire collars are secured properly"
,,"Q/A done to ensure all collars & pipework in place & in correct postion",,"q/a been done to ensure all collars and pipework is in place and in correct postion (plan attached)"
,,"Fire collars approved for application",,"fire collars are approved for there application"

