Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,CRL-ITR-006 - Chilled Water Pipe Systems,,,,,Yes,CRL-ITR-006 - Chilled Water Pipe Systems,479364f1-e9dc-4a4f-8c20-dd82f195c496
checkpoint-status,,,checkpoint,Pre-check equipment for damage prior to installation,,,,,,,
checkpoint-status,,,checkpoint,Pipework installed as per Drawing,,,,,,,
text,5e85c378-0867-5644-a008-0258270e5bfa,,textbox,Installation done by,,,,,,,
checkpoint-status,,,checkpoint,Valve arrangement installed as per schematic,,,,,,,
checkpoint-status,,,checkpoint,Insulation blocks installed where required,,,,,,,
checkpoint-status,,,checkpoint,Correct hanger spacing,,,,,,,
checkpoint-status,,,checkpoint,Drains installed at low points,,,,,,,
text,c5594e36-fcf2-56b0-bbbd-7bd1de1674e2,,textbox,Air vents installed at all high points,,,,,,,
checkpoint-status,,,checkpoint,The pipe OD and groove dimensions are within tolerance range as per victaulic specification,,,,,,,
checkpoint-status,,,checkpoint,The correct coupling has been used for the correct joint i.e flexible or rigid,,,,,,,
checkpoint-status,,,checkpoint,Visual indicators verified - Positive overlap - Joint Square,,,,,,,
checkpoint-status,,,checkpoint,Steel is primed (two coats) and weld painted after works are completed (PA10),,,,,,,
checkpoint-status,,,checkpoint,Confirm all bolts in the system are Galvanised,,,,,,,
checkpoint-status,,,checkpoint,Pipework Seismic to be installed,,,,,,,
text,128b14fc-7503-54e8-bded-04a9227c092f,,textbox,Drawing Reference Number,,,,,,,
