Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Rough In,,,,,,
,Scope,,,ROUGH IN,,
,Rows,,,,,
,,BUILDING A,dynamic,ROUGH IN,BUILDING A,Site QA
,,BUILDING B,dynamic,ROUGH IN,BUILDING B,Site QA
,,BUILDING C,dynamic,ROUGH IN,BUILDING C,Site QA
,,BUILDING E,dynamic,ROUGH IN,BUILDING E,Site QA
,,BUILDING G,dynamic,ROUGH IN,BUILDING G,Site QA
,,BUILDING H,dynamic,ROUGH IN,BUILDING H,Site QA
,Columns,,,,,
,,Check Materials,,Check Materials,,
,,Install FCUs,,Install FCUs,,
,,Install Fans,,Install Fans,,
,,Install Pipework,,Install Pipework,,
,,"Install Cabling, Controls, etc.",,"Install Cabling, Controls, etc.",,
,,Install Flexible Ducts,,Install Flexible Ducts,,
,,Install Drains & test,,Install Drains and test,,
,,Fire Boxes/Collars/Dampers Installed,,Fire Boxes/Collars/Dampers Installed. Attach photos,,
,,Install Rigid Duct & seal,,Install Rigid Duct and seal,,
,,Install Louvre Box,,Install Louvre Box,,
,,Access Panels Marked,,Access Panels Marked,,
,,Pressure Testing,,Pressure Testing,,
,,Confirm Model No.,,Confirm Model No,,
,,Confirm Serial No.,,Confirm Serial No.,,
,,,,,,
Fit Off,,,,,,
,Scope,,,FIT OFF,,
,Rows,,,,,
,,BUILDING A,dynamic,FIT OFF,BUILDING A,Site QA
,,BUILDING B,dynamic,FIT OFF,BUILDING B,Site QA
,,BUILDING C,dynamic,FIT OFF,BUILDING C,Site QA
,,BUILDING E,dynamic,FIT OFF,BUILDING E,Site QA
,,BUILDING G,dynamic,FIT OFF,BUILDING G,Site QA
,,BUILDING H,dynamic,FIT OFF,BUILDING H,Site QA
,Columns,,,,,
,,Check Pressure,,Check Pressure,,
,,Install Condensers,,Install Condensers,,
,,Terminate Drain,,Terminate Drain,,
,,Terminate Power & Controller,,Terminate Power and Controller,,
,,Install Grilles,,Install Grilles,,
,,Pressure test,,Pressure test,,
,,Vacuum system,,Vacuum system,,
,,Access To Equipment Checked,,Access To Equipment Checked,,
,,Commission,,Commission,,
,,Confirm Model No.,,Confirm Model No,,
,,Confirm Serial No.,,Confirm Serial No.,,
