"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c1c5e793-757f-5880-a852-a8f9e0eae756","","checklist-flat","no-status-not-started","0cf04e6c756f37a201c6f5eae2c46b46dec2e750a569888c5a58be2e010803e9","checklist-flat","FALSE","FALSE","Job Details"
"149208f0-d8dc-4d2a-8073-feedb637a356","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"60f93354-8a20-496a-baa1-2bbb686ef22e","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 1"
"73534c06-71a1-4cd7-89a9-d4b9d76e5fb5","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 1","B01"
"7317c6d4-9453-4715-b2fe-ede2fae1cfc5","","checklist-flat","pass","0d253509d430f673a50088a66451e1dbc9c1729c88f9c10f06562a0298fa562b","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Pre-Commencement Checks"
"e36e49ac-5681-4617-bf6c-c2eb42b2f449","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite"
"8ff6eb56-b4ac-4ad2-9b34-71de64fa274d","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite","Basement"
"107d9e60-b550-4d8d-a168-5bb2e40f5a12","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 1"
"d7da70eb-d103-4ffc-b725-5aed01747365","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 1","Footings for Pour 1/2"
"064cb81b-369d-4386-813d-7f50e864c6ab","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 1","Floor Slab Pour 1/2"
"059451b1-4f32-469b-9bd3-f56213c63887","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 1","Lift footing Pour 2"
"d3eadf0a-50ca-40a6-9aab-4a0422e48195","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 1","Precast Panels Pour 1/2"
"f3f46a6d-cde6-4b46-aea4-7cdddeb42614","","checklist-flat","pass","5c8b7b4ede85d3a7b9fa3b629f095c9dcf01e11f55cb346a9a890de54e867a3b","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 1","Waterbar gridline A5"
"79817abc-0c59-5afc-b9d0-d9ebefa4cfdf","","checklist-flat","pass","Add Sealant QA ","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 1","Sealant QA  Pour 1/2"
"553031ce-5f9f-5757-b035-804da4597de8","","checklist-flat","pass","AR250 Waterbar","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 1","Waterbar gridline AI"
"6169fdc4-66e0-4ed6-acee-942563d359d9","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 2 "
"6923038b-a788-4337-9e94-cba20c7f744d","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 2 ","Footings for Pour 3/2"
"c301fd5d-a9ed-48d8-8bc5-efb201e9023d","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 2 ","Floor Slab Pour 3/2"
"163c0e15-9251-4eb1-b37e-398383fe369a","","checklist-flat","not-applicable","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 2 ","Lift footing"
"dcf12ca6-f750-4f66-900c-52fb4d1108ef","","checklist-flat","not-applicable","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 2 ","Lift walls"
"7eff264d-54e0-4eb5-93a2-2bd031858aef","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 2 ","Precast Panels Pour 3/2"
"9deddc3d-f9f3-42eb-b058-874773b02aa1","","checklist-flat","not-applicable","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 2 ","Manhole"
"0545f26d-9f0e-4342-8b49-28da9c3b7424","","checklist-flat","pass","5c8b7b4ede85d3a7b9fa3b629f095c9dcf01e11f55cb346a9a890de54e867a3b","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 2 ","Waterbar gridlines  A11"
"6ea8ce3d-e5d6-5d1d-ba1a-63c4b49076c2","","checklist-flat","pass","Add Sealant QA ","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 2 ","Sealant QA Pour 3/2"
"2904fcae-6fbc-45a6-8d9a-402584926dab","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 3"
"395df1e3-db00-43ee-b23b-1128565ad0d1","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 3","Footings for Pour 4/5"
"b036dcb8-00e0-4508-9a0e-882415105e8a","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 3","Floor Slab Pour 4/5"
"b8a160f7-0a1d-404d-b9d8-8f8a7a0b118e","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 3","Lift footing"
"b87216b6-b17a-4d8d-9c85-4a0c92ca9314","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 3","Precast Panels Pour 4/5"
"9c910dbb-666e-4dd2-8df5-632cff94527d","","checklist-flat","pass","5c8b7b4ede85d3a7b9fa3b629f095c9dcf01e11f55cb346a9a890de54e867a3b","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 3","Waterbar Gridline BE"
"df43796d-e317-5e40-9548-59be4d37f171","","checklist-flat","pass","Add Sealant QA ","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 3","Sealant QA Pour 4/5"
"b9a4822a-a7a8-4023-8ee2-599813db0a6b","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 "
"5200fb5e-f574-4d1f-aa02-74f51bd641ab","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Footings for  Pour 6"
"4a82788a-1fee-4bca-9484-47d9bf7afd6b","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Pour 9A Floor Slab"
"c0bd31d8-bc23-47fb-8ee2-049d004bbd9b","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Lift footing"
"d475d2b2-2733-4319-9cce-b19c9d10f165","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Precast Panels Pour 9B"
