resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,step,,,Site QA,,,,,,,,,,,
,step,,,,Earthworks ,,,,,,,,,,
,step,,,,,Anchors,,,,,,,,,
,step,,,,,Basement 1,,,,,,,,,
,step,,,,,,Shoring Piles,,,,,,,,
Excavation & Shoring,checklist,,,,,,,Shoring Wall 1,,,,,,,
Excavation & Shoring,checklist,,,,,,,Shoring Wall 2,,,,,,,
Excavation & Shoring,checklist,,,,,,,Shoring Wall 3,,,,,,,
Excavation & Shoring,checklist,,,,,,,Shoring Wall 4,,,,,,,
,step,,,,,,Sheet Piles,,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Sheet Pile Wall 1,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Sheet Pile Wall 2,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Sheet Pile Wall 3,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Sheet Pile Wall 4,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Sheet Pile Wall 5,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Sheet Pile Wall 6,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Sheet Pile Wall 7,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Sheet Pile Wall 8,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Sheet Pile Wall 9,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Crane Base 1,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Crane Base 2,,,,,,,
Sheet Pile ITP,checklist,,,,,,,Lift Pit,,,,,,,
,step,,,,,,Shotcrete,,,,,,,,
Shotcrete ,checklist,,,,,,,Shoring Wall 1,,,,,,,
Shotcrete ,checklist,,,,,,,Shoring Wall 2,,,,,,,
Shotcrete ,checklist,,,,, ,,Shoring Wall 3,,,,,,,
Shotcrete ,checklist,,,,,,,Shoring Wall 4,,,,,,,
Shotcrete ,checklist,,,,,,,Sheet Pile Wall 1,,,,,,,
Shotcrete ,checklist,,,,,,,Sheet Pile Wall 2,,,,,,,
Shotcrete ,checklist,,,,,,,Sheet Pile Wall 3,,,,,,,
Shotcrete ,checklist,,,,,,,Sheet Pile Wall 4,,,,,,,
Shotcrete ,checklist,,,,,,,Sheet Pile Wall 5,,,,,,,
Shotcrete ,checklist,,,,,,,Sheet Pile Wall 6,,,,,,,
Shotcrete ,checklist,,,,,,,Sheet Pile Wall 7,,,,,,,
Shotcrete ,checklist,,,,,,,Sheet Pile Wall 8,,,,,,,
