"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"355ef459-b353-4bd8-8662-10c122f66761","","folder-normal","fail","","step","TRUE","FALSE","QA"
"be662c48-8e32-49c7-a243-9edd3ffb8210","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Foundations"
"d2e622a3-4b9c-49f0-83b2-1afef7b2e0a6","","folder-normal","not-started","","step","TRUE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)"
"d4272bb5-d005-42b1-a428-f277e51cf633","","checklist-sectioned","not-started","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)"
"91558a18-b950-4297-9166-aa9a4f74d7b4","","checkpoint-group","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Pipe Laying"
"592fa1c2-d177-4c60-bfce-0e9cadcc3922","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:c555e057-3f00-4ce6-8a24-1d790ebc2029","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Pipe Laying","Latest construction drawings referenced and followed"
"adf358d6-1a6d-42f9-96c4-741a5fc237f4","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:69f5badd-d755-4822-a31b-f0d8149116d5","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Pipe Laying","Setout & Excavation completed checked and accurate"
"dc17b3e5-fca1-4822-9f83-00a210823e59","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:72639b77-ae08-411e-976d-a964ecfaf0bb","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Pipe Laying","Ground conditions checked & acceptable"
"c2999e9b-e0c3-43de-ae43-c7192735a084","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:8313c17a-bf79-487a-bce6-e2759f3d0348","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Pipe Laying","Bedding depth and material correct (photos & any relevant testing attached)"
"15538726-ea57-4e3a-93bd-bcd8e7a06ba0","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:0680da1f-bb61-421a-a31a-54ff28cab98f","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Pipe Laying","Correct pipe (size, material & class) laid to specified level, grade and jointed as specified"
"6bfa5d47-ebaa-46a7-acf0-de2fd0dccacf","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:5d53e5c0-d037-4295-af6e-a790fe189546","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Pipe Laying","Connections to manholes complete, correct and approved"
"5de4acff-571b-4eff-be0a-95c68180744e","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:58b0a68c-cb45-4a8c-b14c-eacd041ec188","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Pipe Laying","Relevant tests, photos & as-built information provided"
"ee651629-5778-46f6-b613-8be26e71b883","","checkpoint-group","not-started","Add Stormwater Mainline:c84db9ef-b5d1-464d-8e46-98480c033f75","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Backfill"
"de2a53ca-8fd0-4061-b6d0-c8fb1a800255","","checkpoint-status","not-started","Add Stormwater Mainline:c84db9ef-b5d1-464d-8e46-98480c033f75:1df7dbfd-de63-45d5-a509-6f073adcbb64","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Backfill","Backfill completed & compacted as specified"
"ca0e94dd-04a4-5c28-9ff1-85daae83785f","","checklist-sectioned","not-started","Add Waster Water Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)"
