type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Deck Handover,,,,,,Deck Handover
checkpoint,Communication between all trades,,,,,,
checkpoint,Signage and barricades in place,,,,,,
checkpoint,Deck clean and clear of materials,,,,,,
checkpoint,Loose materials are stacked and secure,,,,,,
checkpoint,Any backpropping required to handle loads of reo and other equipment,,,,,,
checkpoint,Designated walkways established,,,,,,
checkpoint,All loose materials removed from edge,,,,,,
checkpoint,Are all penetrations covered and secured,,,,,,
checkpoint,Rubbish bin on Deck,,,,,,
checkpoint,Perimeter Screens / Edge protection installed,,,,,,
