"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6290af21-5663-4d5a-be00-a8657aef119e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"996a56de-d4c9-452e-9aa4-76d767c22ec2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 1"
"4b213afc-b104-4e58-83b5-546a14d0c082","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 1","Ground"
"83c1068b-c27b-4a2c-afe7-9455513f633f","","checklist-flat","not-started","Suspended Slab Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 1","Ground","Suspended Slab"
"bbe94718-f519-5b81-be2d-1de581730440","","checkpoint-status","not-started","Suspended Slab Checklist :3947ea2b-facd-4749-ac73-1c80ddbaac9d","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Area accessible & ready"
"3d983f32-011f-573c-9340-2a7d89817a9d","","checkpoint-status","not-started","Suspended Slab Checklist :e7f07020-a12a-4b8a-bca0-9f83c12e46f0","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Drawing references entered "
"5688fbd3-69d6-5b11-8688-6e914d22ae35","","checkpoint-status","not-started","Suspended Slab Checklist :b967e09c-be6e-4b2b-9f7a-4e367aadfec9","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Materials used complies with design documentation"
"4784e3dc-1de3-56bf-8c09-3b2fafc4e880","","checkpoint-status","not-started","Suspended Slab Checklist :81aeb2ee-272a-4735-9f61-77de7e9f474f","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Datum point used & soffit RLs checked"
"8ccb6c4b-1a37-5719-b258-5491f756d34c","","checkpoint-status","not-started","Suspended Slab Checklist :8cc2a0d9-4bd6-4f28-88a1-119bab08e03c","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Grids marked by builder"
"7e9d348b-170f-58a3-bde4-e209f1debd95","","checkpoint-status","not-started","Suspended Slab Checklist :bf5033ed-1002-49c4-9424-be8f10284c18","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Surveyor points given for outside of building"
"44c32620-7417-55c3-be9d-60bdd342acd1","","checkpoint-status","not-started","Suspended Slab Checklist :04454014-f553-4f6c-a114-a01aa90ee809","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Fillet & drip mould installed"
"18563e6a-5687-56f1-b5fd-bf59a032704f","","checkpoint-status","not-started","Suspended Slab Checklist :06a6ddd3-37c2-4f93-9de2-20d0b86dbe4a","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Check set down position & RL"
"e659d722-3554-544f-9b6c-24d03856ebbe","","checkpoint-status","not-started","Suspended Slab Checklist :68612817-3815-4447-a061-ba05d79ebaa4","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Check penetrations installed "
"172c826d-38b3-52f1-88a6-959c8602c923","","checkpoint-status","not-started","Suspended Slab Checklist :55c4297c-810d-4caa-adb1-a007c3ec8f0e","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Prop drop head wedges are secure "
"23c2d99f-dc22-5d8b-8082-502dafcbf1d6","","checkpoint-status","not-started","Suspended Slab Checklist :43fee141-a2dc-42ac-85df-fe121c3b2805","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Column blockouts installed"
"26f8304c-e864-573c-bd72-deb8f2b2b1f3","","checkpoint-status","not-started","Suspended Slab Checklist :206fc3d6-048b-4f82-be19-a0c03967ad6a","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","check back propping as per design"
"cfd3ea0b-16e0-5872-b76c-426d1c778147","","checkpoint-status","not-started","Suspended Slab Checklist :837ad028-b375-4a8e-a566-4bf65bea430a","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Blow off deck"
"b4f60838-0146-57e7-85d3-2977dfeec927","","checkpoint-status","not-started","Suspended Slab Checklist :fb4c163e-1b65-4191-95d4-328e02cda023","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Engage external consultant (engineer inspection)"
"8a9b9771-cad2-50d4-b685-680fa210aafa","","checkpoint-status","not-started","Suspended Slab Checklist :f053e458-da43-4b02-a1b4-80772da5dc79","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Correct Class of Finish"
"55805e9b-0b59-5fd7-93a6-aa33968965a7","","checkpoint-status","not-started","Suspended Slab Checklist :231bb06c-baf8-470a-8f07-3ad1c530eeb3","","TRUE","TRUE","Site QA","Building 1","Ground","Suspended Slab","Stripping, cleaning & materials removed"
"c9ad5629-b7fd-4e4f-a7f1-cce6145aaf17","","checklist-flat","not-started","S.O.G Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 1","Ground","Ground Works"
"98fed14a-d95f-5977-b23b-07aeda9f74f5","","checkpoint-status","not-started","S.O.G Checklist:d0518f06-35f3-4b26-85e4-2b1491df7256","","TRUE","TRUE","Site QA","Building 1","Ground","Ground Works","Area accessible & ready"
"1095bb94-21f2-5828-b5d9-e83241e32c1f","","checkpoint-status","not-started","S.O.G Checklist:85463739-8cc6-42f3-94a9-4d0391813b1e","","TRUE","TRUE","Site QA","Building 1","Ground","Ground Works","Drawing references entered"
"62ad86e9-fa95-55b7-8016-a991ff51bf03","","checkpoint-status","not-started","S.O.G Checklist:8c5c96d8-88be-43f9-873b-6e5a6070ffb0","","TRUE","TRUE","Site QA","Building 1","Ground","Ground Works","Current plans in use"
"06df3665-5fdd-5dbf-a2d7-b4b2c014fe4b","","checkpoint-status","not-started","S.O.G Checklist:55ea7ab3-0abc-48c3-9c70-16d955069e1b","","TRUE","TRUE","Site QA","Building 1","Ground","Ground Works","Survey points give for grids"
"b2be6b5d-a654-5a32-b024-c4ed1a9c74bb","","checkpoint-status","not-started","S.O.G Checklist:7c96e20b-5bfa-449f-9310-3d8e9340ae3f","","TRUE","TRUE","Site QA","Building 1","Ground","Ground Works","Surveyors points given for edge boards"
"1462fea7-6580-5bb4-b642-2f5b67298a24","","checkpoint-status","not-started","S.O.G Checklist:8ffede05-cc84-40f9-b2c8-dba4de8ff388","","TRUE","TRUE","Site QA","Building 1","Ground","Ground Works","Datum RL supplied by surveyor"
"87ffce18-a8a1-562e-ae91-ac103ed0ef0e","","checkpoint-status","not-started","S.O.G Checklist:c9ff96de-612b-4144-a751-a4d6de1f4ccd","","TRUE","TRUE","Site QA","Building 1","Ground","Ground Works","Edge boards plumb & straight"
"87e8a77f-2f25-538b-a0db-897cd720e319","","checkpoint-status","not-started","S.O.G Checklist:69dde4a3-3b36-495b-bf53-25f3c8721ef1","","TRUE","TRUE","Site QA","Building 1","Ground","Ground Works","Step downs secure & correct RL"
"e36d3bae-41cc-5ef7-a6d0-4bb7903cc98f","","checkpoint-status","not-started","S.O.G Checklist:2f997927-2ffe-4578-b0ea-161a95c6212b","","TRUE","TRUE","Site QA","Building 1","Ground","Ground Works","Dowels installed on pour joins"
"7c7291be-5b7e-51b2-8454-6e26a19567b9","","checkpoint-status","not-started","S.O.G Checklist:4117ccc6-faf3-4a0e-b196-361aa466f4b6","","TRUE","TRUE","Site QA","Building 1","Ground","Ground Works","Column blockouts installed"
"10e6520f-336a-5264-9d37-c9c578c9da5b","","checkpoint-status","not-started","S.O.G Checklist:2f627d55-e3c5-428d-abb4-22e771bddd74","","TRUE","TRUE","Site QA","Building 1","Ground","Ground Works","Correct Class of Finish"
"7679295a-e15b-4a2a-ad3a-32d2fc48d60f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building 3"
"d30d5a0a-efc0-4f35-8e03-0cdc9e98104f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building 3","Ground"
"913738e3-c080-4694-a74c-f9c67a545392","","checklist-flat","pass","Suspended Slab Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 3","Ground","Suspended Slab"
"d5733e08-be47-50d7-8ff8-60fd02a74969","","checkpoint-status","pass","Suspended Slab Checklist :3947ea2b-facd-4749-ac73-1c80ddbaac9d","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Area accessible & ready"
"8a637af0-7820-5c5f-8932-520c9998a8a8","","checkpoint-status","pass","Suspended Slab Checklist :e7f07020-a12a-4b8a-bca0-9f83c12e46f0","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Drawing references entered "
"c0ec1274-0d01-574d-b622-501787f8e463","","checkpoint-status","pass","Suspended Slab Checklist :b967e09c-be6e-4b2b-9f7a-4e367aadfec9","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Materials used complies with design documentation"
"fc40ce34-d3f5-5518-a87f-a4d1271ecd06","","checkpoint-status","not-applicable","Suspended Slab Checklist :81aeb2ee-272a-4735-9f61-77de7e9f474f","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Datum point used & soffit RLs checked"
"a15405b3-b2cd-58a1-be2b-ae8a98fa69ac","","checkpoint-status","pass","Suspended Slab Checklist :8cc2a0d9-4bd6-4f28-88a1-119bab08e03c","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Grids marked by builder"
