Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Overall Progress,,,,,,,,,,
,Scope,,,,,,,,,
,Rows,,,,,,,,,
,,Ground Floor,dynamic,Ground Floor,,,,,,
,,Level 1,dynamic,Level 1,,,,,,
,,Level 2,dynamic,Level 2,,,,,,
,,Level 3,dynamic,Level 3,,,,,,
,,Level 4,dynamic,Level 4,,,,,,
,,Level 5,dynamic,Level 5,,,,,,
,Columns,,,,,,,,,
,,Client Opening Handover,,Client Opening Handover,,,,,,
,,Pre-Start Checks,,Pre-Start Checks,,,,,,
,,Installation Checks,,Installation Checks,,,,,,
,,Final Checks,,Final Checks,,,,,,
,,Final Inspection & Handover,,Final Inspection & Handover,,,,,,
,,,,,,,,,,
Detailed Progress,,,,,,,,,,
,Scope,,,,,,,,,
,Rows,,,,,,,,,
,,Ground Floor,dynamic,Ground Floor,,,,,,
,,Level 1,dynamic,Level 1,,,,,,
,,Level 2,dynamic,Level 2,,,,,,
,,Level 3,dynamic,Level 3,,,,,,
,,Level 4,dynamic,Level 4,,,,,,
,,Level 5,dynamic,Level 5,,,,,,
,Columns,,,,,,,,,
,,Client Opening Handover - Date,,Date,Client Opening Handover,,,,,
,,Client Opening Handover - QA Handover Received,QA Handover Received,Date,Client Opening Handover,,,,,
,,Client Opening Handover - Pre-Start Checks,,Pre-Start Checks,Client Opening Handover,,,,,
,,Client Opening Handover - Area Clear For Install,,Area Clear For Install,Client Opening Handover,,,,,
,,Client Opening Handover - Opening Correct,,Opening Correct,Client Opening Handover,,,,,
,,Client Opening Handover - Waterproofing/Flashing Tape Installed,,Waterproofing / Flashing Tape Installed,Client Opening Handover,,,,,
,,Pre-Start Checks - Area Clear/Tidy,,Area Clear / Tidy,Pre-Start Checks,,,,,
,,Pre-Start Checks - Opening Correct,,Opening Correct,Pre-Start Checks,,,,,
,,Pre-Start Checks - Waterproofing/Flashing Tape Installed,,Waterproofing / Flashing Tape Installed,Pre-Start Checks,,,,,
,,Installation Checks - External Sill Flashings Installed,,External Sill Flashings Installed,Installation Checks,,,,,
,,Installation Checks - Subframe Assembled & Corners Oversealed,,Subframe Assembled and Corners Oversealed,Installation Checks,,,,,
,,Installation Checks - Subframe Installed as per SD's - RL/GL,,Subframe Installed as per SD's - RL/GL,Installation Checks,,,,,
,,Installation Checks - Correct Packing - Sill/Jambs/Head,,Correct Packing - Sill/Jambs/Head,Installation Checks,,,,,
,,Installation Checks - Subframe Critical Seals Complete,,Subframe Critical Seals Complete,Installation Checks,,,,,
,,Installation Checks - Module/s Installed & Rubbered Off,,Module/s Installed & Rubbered Off,Installation Checks,,,,,
,,Installation Checks - Fixings as per SD's/Overseals Complete,,Fixings as per SD's / Overseals Complete,Installation Checks,,,,,
,,Installation Checks - Locator Screws Completed,,Locator Screws Completed,Installation Checks,,,,,
,,Installation Checks - PEF Backing Rod Installed - Continous,,PEF Backing Rod Installed - Continous,Installation Checks,,,,,
,,"Installation Checks - Airseals Complete - 6mm & 18mm Wide, 2:1 Ratio",,"Airseals Complete - 6mm & 18mm Wide, 2:1 Ratio",Installation Checks,,,,,
,,Installation Checks - Head Flashings Installed,,Head Flashings Installed,Installation Checks,,,,,
,,Installation Checks - Sliding Panel Adjustment,,Sliding Panel Adjustment (If Applicable),Installation Checks,,,,,
,,Installation Checks - Sill Flashing/Sill Pan/Support Bar Installed Correctly,,Sill Flashing / Sill Pan / Support Bar Installed Correctly,Installation Checks,,,,,
,,Installation Checks - Correct Packing,,Correct Packing,Installation Checks,,,,,
,,Installation Checks - Frame Installed As Per SD's - RL/GL,,Frame Installed As Per SD's - RL / GL,Installation Checks,,,,,
,,Installation Checks - Fixings as per SD's/Overseal Complete,,Fixings as per SD's / Overseal Complete,Installation Checks,,,,,
,,Installation Checks - Cavity Prepped/Cleaned for Airseals (Primer/Cleaner),,Cavity Prepped / Cleaned for Airseals (Primer/Cleaner),Installation Checks,,,,,
,,Installation Checks - PEF Backing Rod Installed,,PEF Backing Rod Installed,Installation Checks,,,,,
