type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,
checklist-flat,CHK-010-CIV-CPD-Wire faced wall Installation,itp,,,,,CHK-010-CIV-CPD-Wire faced wall Installation Rev 0,,,,,,,,,,,,,,,,
checkpoint-no-status,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: CHK-010-CIV-CPD-Wire faced wall Installation,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: CPD - Wire Faced Wall Installation,,,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 1/12/2023,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Matthew Dib,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1 - Wire Facing Units-survey set out-Tolerance,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - IFC Drawings MRP-DPK-080-00-CSW-0033-0-1201, MRP-DPK-080-00-CSW-0033-0-1206 VR 682.20",,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Plan position shown on the drawings at the base of the wall shall not exceed ±15mm (refer to drawings for WP locations),,,,,,,,,,,,,,,,,,,,,,
label,Method - Measure,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Base course units,,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Surveyor/PE,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2 - Wire facing installation,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria Wire facing units are to be installed as per IFC Drawings and specified schedule.,,,,,,,,,,,,,,,,,,,,,,
label,– Connect adjacent wire facing units with stainless steel zip ties,,,,,,,,,,,,,,,,,,,,,,
label,– Attach grid-strips at locations shown in Drawing 1957 for appropriate quantity given in elevations. Bottom layer of grid-strips to be attached with stainless steel zip tie shown in Drawing 1955,,,,,,,,,,,,,,,,,,,,,,
label,– Cut the half-height panels at top of wall to correct height (refer Drawing MRP-DPK-080-00-CSW-0033-0-1953) ,,,,,,,,,,,,,,,,,,,,,,
label,"Method - Visual, Measure",,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each wire facing unit,,,,,,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - SE,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,3 - Wire facing installation-Abutment interfaces,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings MRP-DPK-080-00-CSW-0033-0-1106,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Cut any transverse wires as required for bends at abutments and wingwalls (refer Drawing 1955). ,,,,,,,,,,,,,,,,,,,,,,
label,– Wire facing unit to be in contact with rear of panel (RW01) and side of wingwall (RW06). ,,,,,,,,,,,,,,,,,,,,,,
