Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Unit / Mark Progress,,,,,,,,
,Scope,,,Manufacturing QA,,,,
,Rows,,,,,,,
,,L1 - Panels,dynamic,Manufacturing QA,L1,Panels,,
,,L1 - Precast - Beams,dynamic,Manufacturing QA,L1,Precast,Beams,
,,L1 - Precast - Treads,dynamic,Manufacturing QA,L1,Precast,Treads,
,,L1 - Precast - Balconies,dynamic,Manufacturing QA,L1,Precast,Balconies,
,,L1 - Precast - Deadmen,dynamic,Manufacturing QA,L1,Precast,Deadmen,
,,L1 - Precast - Panels,dynamic,Manufacturing QA,L1,Precast,Panels,
,,L1 - Precast - Other,dynamic,Manufacturing QA,L1,Precast,Other,
,,TUPARA STREET,dynamic,Manufacturing QA,TUPARA STREET,,,
,,TUPARA STREET BALCONIES,dynamic,Manufacturing QA,TUPARA STREET BALCONIES,,,
,,14 Nuku Place - 2.4 flat slabs - TU,dynamic,Manufacturing QA,14 Nuku Place,2.4 flat slabs,TU,
,Columns,,,,,,,
,,Photo taken of prepour sheet,,Photo taken of prepour sheet,,,,
,,Photo taken of reo,,Photo taken of reo,,,,
,,Photo taken of post pour sheet,,Photo taken of post pour sheet,,,,
,,Photo taken of product,,Photo taken of product,,,,
,,,,,,,,
Production Sheet Progress,,,,,,,,
,Scope,,,Manufacturing QA,,,,
,Rows,,,,,,,
,,L1 - Flooring - Double T emould,dynamic,Manufacturing QA,L1,Flooring,Double T emould,
,Columns,,,,,,,
,,Photo taken of production sheet,,Photo taken of production sheet,,,,
,,Photo taken of prepour sheet,,Photo taken of prepour sheet,,,,
,,Photo taken of elongation / strand,,Photo taken of elongation / strand,,,,
,,Photo taken of post pour sheet,,Photo taken of post pour sheet,,,,
,,Photo taken of stack / tags,,Photo taken of stack / tags,,,,
,,,,,,,,
Dispatch Progress,,,,,,,,
,Scope,,,Manufacturing QA,,,,
,Rows,,,,,,,
,,L1,dynamic,Manufacturing QA,L1,Dispatch,,
,,D042,grouping,D042,,,,
,,D042,,Manufacturing QA,D042,,,
,,DO43,grouping,DO43,,,,
,,DO43,,Manufacturing QA,DO43,,,
,,DO44,grouping,DO44,,,,
,,DO44,,Manufacturing QA,DO43,DO44,,
,,D138,grouping,D138,,,,
,,D138,,Manufacturing QA,DO43,DO44,D138,D138
,Columns,,,,,,,
,,Add # of items on truck on dispatch docket,,Add # of items on truck on dispatch docket,,,,
,,Photo taken of completed docket,,Photo taken of completed docket,,,,
,,Photo taken of truck,,Photo taken of truck,,,,
