Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Ground Floor,grouping,Ground Floor,
,,Commercial 1 Accessible WC,,Commercial 1 Accessible WC,Ground Floor
,,Commercial 2 Accessible WC,,Commercial 2 Accessible WC,Ground Floor
,,Ambulant Sanitary Facilities,,Ambulant Sanitary Facilities,Ground Floor
,,Unit 1,grouping,Unit 1,
,,Bathroom,,Bathroom,Unit 1
,,Laundry,,Laundry,Unit 1
,,Balcony,,Balcony,Unit 1
,,Unit 2,grouping,Unit 2,
,,Bathroom,,Bathroom,Unit 2
,,Laundry,,Laundry,Unit 2
,,Balcony,,Balcony,Unit 2
,,Unit 3,grouping,Unit 3,
,,Bathroom,,Bathroom,Unit 3
,,Laundry,,Laundry,Unit 3
,,Balcony East,,Balcony East,Unit 3
,,Unit 4,grouping,Unit 4,
,,Bathroom,,Bathroom,Unit 4
,,Laundry,,Laundry,Unit 4
,,Balcony,,Balcony,Unit 4
,,Unit 5,grouping,Unit 5,
,,Bathroom ,,Bathroom ,Unit 5
,,Laundry,,Laundry,Unit 5
,,Balcony,,Balcony,Unit 5
,,Unit 6,grouping,Unit 6,
,,Bathroom,,Bathroom,Unit 6
,,Ensuite ,,Ensuite ,Unit 6
,,Laundry,,Laundry,Unit 6
,,Balcony,,Balcony,Unit 6
,,Unit 7,grouping,Unit 7,
,,Bathroom,,Bathroom,Unit 7
,,Laundry,,Laundry,Unit 7
,,Balcony,,Balcony,Unit 7
,,Unit 8,grouping,Unit 8,
,,Bathroom,,Bathroom,Unit 8
,,Laundry,,Laundry,Unit 8
,,Balcony,,Balcony,Unit 8
,,Unit 9,grouping,Unit 9,
,,Bathroom,,Bathroom,Unit 9
,,Laundry,,Laundry,Unit 9
,,Balcony,,Balcony,Unit 9
,,Unit 10,grouping,Unit 10,
,,Bathroom,,Bathroom,Unit 10
,,Laundry,,Laundry,Unit 10
,,Balcony,,Balcony,Unit 10
,,Unit 11,grouping,Unit 11,
,,Bathroom,,Bathroom,Unit 11
,,Laundry,,Laundry,Unit 11
,,Balcony,,Balcony,Unit 11
,,Unit 12,grouping,Unit 12,
,,Bathroom,,Bathroom,Unit 12
,,Ensuite ,,Ensuite ,Unit 12
,,Laundry,,Laundry,Unit 12
,,Balcony,,Balcony,Unit 12
,,Unit 13,grouping,Unit 13,
,,Bathroom,,Bathroom,Unit 13
,,Laundry,,Laundry,Unit 13
,,Balcony,,Balcony,Unit 13
,,Unit 14,grouping,Unit 14,
,,Bathroom,,Bathroom,Unit 14
,,Laundry,,Laundry,Unit 14
,,Balcony,,Balcony,Unit 14
,,Unit 15,grouping,Unit 15,
,,Bathroom,,Bathroom,Unit 15
,,Laundry,,Laundry,Unit 15
,,Balcony,,Balcony,Unit 15
,,Unit 16,grouping,Unit 16,
,,Bathroom,,Bathroom,Unit 16
,,Laundry,,Laundry,Unit 16
,,Balcony,,Balcony,Unit 16
,,Unit 17,grouping,Unit 17,
,,Bathroom,,Bathroom,Unit 17
,,Laundry,,Laundry,Unit 17
,,Balcony,,Balcony,Unit 17
,,Unit 18,grouping,Unit 18,
,,Bathroom,,Bathroom,Unit 18
,,Ensuite ,,Ensuite ,Unit 18
,,Laundry,,Laundry,Unit 18
,,Balcony,,Balcony,Unit 18
,,Unit 19,grouping,Unit 19,
,,Bathroom,,Bathroom,Unit 19
,,Ensuite ,,Ensuite ,Unit 19
,,Laundry,,Laundry,Unit 19
,,Balcony 1,,Balcony 1,Unit 19
,,Balcony 2,,Balcony 2,Unit 19
,,Unit 20,grouping,Unit 20,
,,Bathroom,,Bathroom,Unit 20
,,Ensuite ,,Ensuite ,Unit 20
,,Laundry,,Laundry,Unit 20
,,Balcony 1,,Balcony 1,Unit 20
,,Balcony 2,,Balcony 2,Unit 20
,Columns,,,,
,,Wet Area Floor,,Wet Area Floor,
,,Wet Area Wall,,Wet Area Wall,
