"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3823fc75-579c-4b1e-b5e7-b506afdbaa74","","pass","","folder","TRUE","FALSE","Networks Building "
"c3d62adf-985c-4ad3-86f6-d263ec1bf691","","pass","","folder","TRUE","FALSE","Networks Building ","Drainage"
"4630a180-88b0-40cd-b6ab-44f28bf837d3","","pass","QA Sheet - Sanitary drainage below slab - water and waste pipe work","checklist","TRUE","TRUE","Networks Building ","Drainage","Sanitary drainage below slab - water and waste pipe work"
"fa155ae7-9b61-4adc-b417-d0cb4ef1a654","","no-status-not-started","","folder","TRUE","FALSE","Networks Building ","Hydraulics"
"59d40fbc-95e9-43e3-abe1-8efdd749f5c0","","pass","QA Sheet - 1st Fix - RO Water pipe work","checklist","TRUE","TRUE","Networks Building ","1st Fix - Water pipe work"
"6532d475-a632-4e6e-82c0-d975dea4c6ca","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","Networks Building ","Network Building KiwiRail"
"04adb1b0-501a-42a8-b60f-d7da6d5ec566","","pass","Checklist - Hot Water Return Pumps","checklist","FALSE","FALSE","Networks Building ","Hot Water Return Pumps"
"0e95296c-ba67-499b-b3a4-276c5fa3b920","","pass","Checklist - Thermal Mixing Valves","checklist","FALSE","FALSE","Networks Building ","Tempering Valves"
"3b379fd1-9be4-4eec-8013-1600470d3015","","pass","Checklist - Thermal Mixing Valves","checklist","FALSE","FALSE","Networks Building ","Tempering valve 2"
"7008ee4b-3378-478f-9e4b-8a00c299d549","","pass","Checklist - Thermal Mixing Valves","checklist","FALSE","FALSE","Networks Building ","Tempering Valve 3"
"7fee8440-846e-4b0d-85e4-9ebb6b26bf5e","","pass","Checklist - Thermal Mixing Valves","checklist","FALSE","FALSE","Networks Building ","Tempering valve 4"
"caa79ae3-0f64-4d99-a183-485c30ef636e","","pass","Checklist - Thermal Mixing Valves","checklist","FALSE","FALSE","Networks Building ","Tempering Valve Amenities "
"cc4d8096-2e16-420f-818e-8ab3806f919d","","work-in-progress","","folder","TRUE","FALSE","P2.1 Civil"
"80a92bd0-2c71-440e-a63e-a2dd33471a08","","not-started","QA Sheet - 1st Fix - RO Water pipe work","checklist","TRUE","TRUE","P2.1 Civil","1st Fix - Water pipe work"
"085ab539-e4ff-4cc7-8aa7-e04def7717da","","not-started","Checklist - Sanitary Drainage","checklist","FALSE","FALSE","P2.1 Civil","Storm water "
"a49c9ad9-cf6f-4c48-8b13-cfb9eee9c0ff","","not-started","QA Sheet - Sanitary drainage below slab - water and waste pipe work","checklist","TRUE","TRUE","P2.1 Civil","Sanitary drainage - waste pipe work"
"4986ed34-179a-4cad-83b8-f2db88c96f14","","work-in-progress","Civil Drainage - Stormwater & Foul","checklist","FALSE","FALSE","P2.1 Civil","Civil Drainage - Stormwater & Foul"
"ec5b7050-0502-42a2-9cb0-0f6af20b3243","","work-in-progress","","folder","TRUE","FALSE","Mechanical Building"
"b161928e-af16-4897-8b13-1ad872e3dd91","","not-started","Checklist - Second Fit QA","checklist","FALSE","FALSE","Mechanical Building","Amenties Block"
"eaaab518-dada-4752-8cf0-4cbceae11a23","","pass","Safety Shower Operation & Flow test","checklist","FALSE","FALSE","Mechanical Building","Safety Shower Operation & Flow test"
"0bab5175-4277-48e5-9a77-a324498e8617","","pass","Checklist - Backflow Preventer","checklist","FALSE","FALSE","Mechanical Building","Backflow Preventer"
"d77ccc1e-c8fa-4e29-bbdd-d90b19604716","","pass","Checklist - Thermal Mixing Valves","checklist","FALSE","FALSE","Mechanical Building","Thermal Mixing Valves"
"abbc047e-44f6-484b-9d1b-caec3e3fa56b","","work-in-progress","Checklist - Sanitary Drainage","checklist","FALSE","FALSE","Mechanical Building","Sanitary Drainage Below Slab:"
"dd9746ad-b945-46ef-938d-277efe283671","","work-in-progress","QA Sheet - 1st Fix - RO Water pipe work","checklist","TRUE","TRUE","Mechanical Building","1st Fix - Water pipe work"
"d300448b-5157-455f-b6fc-676179f15d2e","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","Mechanical Building","Amenity block"
"24550e3b-408e-4255-abe6-d96ae7f09ea2","","pass","Pump Station","checklist","FALSE","FALSE","Mechanical Building","Pump Station - Depot Pit"
"427540eb-0baf-43a7-84e5-7721dd6cce4c","","pass","Test Sheet - Pipework Pressure - Water","checklist","TRUE","TRUE","Mechanical Building","Pipework Pressure Test Sheet - Water: "
"26be6585-732a-4ba4-9327-a90276cbbbcc","","pass","Test Sheet - Pipework Pressure - Water","checklist","TRUE","TRUE","Mechanical Building","Pipework Pressure Test Sheet - Water: Office Building to Mechanical building"
