"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"64dae870-498b-4a2d-932f-06e4d9d11578","","pass","","folder","TRUE","FALSE","2nd Fix"
"715bcdb6-b494-45b0-989d-4fb6e4058c27","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","2nd Fix","Male Toilet"
"97270322-ad3d-4f90-9425-31b1359bb604","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","2nd Fix","Female Toilet"
"e17e1207-0911-45f3-93e1-e4a665297e36","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","2nd Fix","Unisex Toilet"
"2db47b2c-0c93-4219-a737-95e0420134aa","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","2nd Fix","Accessible Toilet"
"cb832892-73e0-402d-a4f3-d05632813ca9","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","2nd Fix","Training Space 3"
"72eb8b4c-9769-4f33-99d8-1535049c5bfc","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","2nd Fix","clyinder cupboard"
"88cb4bf2-4628-4309-a854-b2297b396795","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","2nd Fix","storage"
"ba9fd8e6-4204-4a35-97a3-13e6a3c42710","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","2nd Fix","student common space"
"895e94d5-280f-4b82-9411-1a94192b12fd","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","2nd Fix","1st Floor - WCs"
"bbab58d7-629f-41fa-8987-20d7be8a2753","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","2nd Fix","staff room"
