"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a118eae3-1960-4eec-b138-8fc6643979b7","","work-in-progress","","folder","TRUE","FALSE","17C Melbourne Street"
"e024ef24-a00c-44d4-8547-613a8617cc09","","work-in-progress","QA Sheet - 1st Fix - RO Water pipe work","checklist","TRUE","TRUE","17C Melbourne Street","1st Fix - Water pipe work"
"0ab5bf5b-288c-402a-ac97-77b550eef811","","work-in-progress","Checklist - Second Fit QA","checklist","FALSE","FALSE","17C Melbourne Street","Second Fix Check"
"65182b3d-a9d7-47a0-9c1f-b79316d65365","","work-in-progress","","folder","TRUE","FALSE","59A Richardson Street"
"0f0b59cc-814b-4ad9-83c6-d204578eed02","","work-in-progress","QA Sheet - 1st Fix - RO Water pipe work","checklist","TRUE","TRUE","59A Richardson Street","1st Fix - Water pipe work"
"ea9efcc2-97f4-4e9c-ab60-e98c5eb1c141","","work-in-progress","Checklist - Second Fit QA","checklist","FALSE","FALSE","59A Richardson Street","Second Fix"
"11a8d488-a56e-4a06-bc82-ad5b6ed230e2","","work-in-progress","","folder","TRUE","FALSE","Loyalty street"
"4112ecff-ac83-485b-9237-815caedda377","","work-in-progress","QA Sheet - 1st Fix - RO Water pipe work","checklist","TRUE","TRUE","Loyalty street","1st Fix - pipe work"
"2f91d0cf-7943-417a-a98d-63456d1f66e1","","not-started","Checklist - Second Fit QA","checklist","FALSE","FALSE","Loyalty street","2nd Fix Questions"
"d06603af-59f4-430f-91a4-2aed1391928d","","work-in-progress","","folder","TRUE","FALSE","33 New Street"
"7e4b69a9-fe7e-4626-acc9-50d16b64de81","","work-in-progress","QA Sheet - 1st Fix - RO Water pipe work","checklist","TRUE","TRUE","33 New Street","1st Fix - pipe work"
"38c50e12-d336-4a74-8bcf-1c24c68c9b15","","not-started","Checklist - Second Fit QA","checklist","FALSE","FALSE","33 New Street","2nd Fiz Questions"
"6cb8ac8c-7919-4ea2-86fa-59324208d71e","","work-in-progress","","folder","TRUE","FALSE","314 Main South Road"
"02447796-1519-4cc3-a420-fb094689b0cd","","pass","QA Sheet - 1st Fix - water pipe work","checklist","TRUE","TRUE","314 Main South Road","1st Fix - Pipe work"
"985455c8-80a2-410e-b183-fde7a978f27d","","not-started","Checklist - Second Fit QA","checklist","FALSE","FALSE","314 Main South Road","2nd Fix"
"10bcbd61-d843-4309-81c8-b648d06b8802","","work-in-progress","","folder","TRUE","FALSE","26 Perth Street"
"cd72f4d5-b3ec-4550-ac9f-d08cc38e5192","","pass","QA Sheet - 1st Fix - water pipe work","checklist","TRUE","TRUE","26 Perth Street","1st Fix -"
"30bec1c1-fcb2-48e0-9346-7ed38e8173ca","","not-started","Checklist - Second Fit QA","checklist","FALSE","FALSE","26 Perth Street","Basin Sensor Taps"
"293b4fd4-5d69-40c5-8e03-161d626b9f7c","","pass","Checklist - Second Fit QA","checklist","FALSE","FALSE","26 Perth Street","2nd Fix"
