type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,
checklist,CHK-002-CIV-CAMMS-Stormwater Drainage Pit Installation Rev 1,itp,,,,Yes,CHK-002-CIV-CAMMS-Stormwater Drainage Pit Installation Rev 1,1cd84ae7-48dd-4ca8-b587-550af6137787,,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,
label,Document Title: CHK-CIV-CAMMS-Stormwater Drainage Pipes Installation,,,,,,,,,,,,,,,,
label,ITP Description: CAMMS-Stormwater Drainage Pipes Installation,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,
label,Revision Number: 1,,,,,,,,,,,,,,,,
label,Revision Date: 7/08/2023,,,,,,,,,,,,,,,,
label,ITP created by: Victor Mira,,,,,,,,,,,,,,,,
label,ITP approved for use by: Aldrin Guinchoma,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,
label,Reference: VR 701,,,,,,,,,,,,,,,,
label,1.2 Main ITP,,,,,,,,,,,,,,,,
label,Reference: ITP-CIV-CAMMS-Stormwater Drainage Rev 0,,,,,,,,,,,,,,,,
label,Acceptance Criteria: This ITP Should be used in Conjunction with ITP-CIV-CAMMS-Stormwater Drainage Rev 0,,,,,,,,,,,,,,,,
textbox,Enter: Main ITP Lot Number,,,,,,,,,,,,,,,,
section,Preliminaries - Materials,,,,,,,,,,,,,,,,
checkpoint,2.1 Bedding,,,,,,,,,,,,,,,,
note,REFERENCE: VR 701,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: Materials used for bedding and selected backfill shall be free from perishable matter and lumps and Shall conform with the Material Approval in the Main ITP.,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: HP*,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: Material Delivery Docket,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
checkpoint,2.2 Backfill Material,,,,,,,,,,,,,,,,
note,REFERENCE: VR 701,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
