"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,,"site qa"
,"Rows"
,,"Lift Cores - Tower","dynamic","lift cores","site qa","tower"
,,"Lift Cores - School","dynamic","lift cores","school","site qa"
,,"Lift Cores - Parish","dynamic","lift cores","parish","site qa"
,,"Stairs - Stair Core (Tower)","dynamic","stair core (tower)","site qa","stairs"
,,"Stairs - Stair 04 (South West Stair)","dynamic","stair 04 (south west stair)","site qa","stairs"
,,"Stairs - Stair 05 (RAC Western Egress)","dynamic","site qa","stairs","stair 05 (rac western egress)"
,,"Stairs - Stair 06","dynamic","stair 06","site qa","stairs"
,,"Stairs - Stair 07 (Parish Core)","dynamic","stair 07 (parish core)","site qa","stairs"
,,"Stairs - Stair 08 (School Core)","dynamic","site qa","stairs","stair 08 (school core)"
,,"Stairs - External Stair 01","dynamic","external stair 01","site qa","stairs"
,,"Stairs - External Stair 02","dynamic","external stair 02","site qa","stairs"
,,"Stairs - External Stair 03","dynamic","site qa","stairs","external stair 03"
,,"Stairs - Miscellaneous Stairs","dynamic","miscellaneous stairs","site qa","stairs"
,,"Basement 2","dynamic","basement 2","site qa"
,,"Basement 1 - Pour 1","dynamic","pour 1","basement 1","site qa"
,,"Basement 1 - Pour 2","dynamic","pour 2","basement 1","site qa"
,,"Basement 1 - Pour 3","dynamic","pour 3","basement 1","site qa"
,,"Basement 1 - Pour 4","dynamic","pour 4","basement 1","site qa"
,,"Lower Ground - Pour 1","dynamic","pour 1","site qa","lower ground"
,,"Lower Ground - Pour 2","dynamic","site qa","lower ground","pour 2"
,,"Lower Ground - Pour 3","dynamic","pour 3","site qa","lower ground"
,,"Lower Ground - Pour 4","dynamic","pour 4","site qa","lower ground"
,,"Upper Ground - Pour 1","dynamic","pour 1","upper ground","site qa"
,,"Upper Ground - Pour 2","dynamic","upper ground","site qa","pour 2"
,,"Upper Ground - Pour 3","dynamic","upper ground","pour 3","site qa"
,,"Upper Ground - Pour 4","dynamic","pour 4","upper ground","site qa"
,,"School - Level 1","dynamic","school","level 1","site qa"
,,"School - Level 2","dynamic","school","level 2","site qa"
,,"School - Level 3","dynamic","school","site qa","level 3"
,,"School - Level 4","dynamic","level 4","school","site qa"
,,"Parish Hall - Level 1","dynamic","level 1","site qa","parish hall"
,,"Parish Hall - Level 2","dynamic","level 2","site qa","parish hall"
,,"Parish Hall - Level 3","dynamic","site qa","parish hall","level 3"
,,"Parish Hall - Level 4","dynamic","level 4","site qa","parish hall"
,,"RAC (Residential Aged Care) - Level 1","dynamic","level 1","site qa","rac (residential aged care)"
,,"RAC (Residential Aged Care) - Level 2","dynamic","level 2","site qa","rac (residential aged care)"
,,"RAC (Residential Aged Care) - Level 3","dynamic","site qa","rac (residential aged care)","level 3"
,,"RAC (Residential Aged Care) - Level 4","dynamic","level 4","site qa","rac (residential aged care)"
,,"RL (Retired Living) - Level 5","dynamic","rl (retired living)","level 5","site qa"
,,"RL (Retired Living) - Level 6","dynamic","rl (retired living)","level 6","site qa"
,,"RL (Retired Living) - Level 7","dynamic","rl (retired living)","site qa","level 7"
,,"RL (Retired Living) - Level 8","dynamic","rl (retired living)","level 8","site qa"
,,"RL (Retired Living) - Level 9","dynamic","rl (retired living)","level 9","site qa"
,,"RL (Retired Living) - Level 10","dynamic","rl (retired living)","level 10","site qa"
,,"RL (Retired Living) - Level 11","dynamic","rl (retired living)","level 11","site qa"
,,"RL (Retired Living) - Level 12","dynamic","rl (retired living)","level 12","site qa"
,,"RL (Retired Living) - Level 13","dynamic","rl (retired living)","site qa","level 13"
,,"RL (Retired Living) - Level 14","dynamic","rl (retired living)","level 14","site qa"
,,"RL (Retired Living) - Level 15","dynamic","rl (retired living)","level 15","site qa"
,,"RL (Retired Living) - Level 16","dynamic","rl (retired living)","level 16","site qa"
,,"RL (Retired Living) - Level 17","dynamic","rl (retired living)","site qa","level 17"
,,"RL (Retired Living) - Level 18","dynamic","rl (retired living)","level 18","site qa"
,,"RL (Retired Living) - Level 19","dynamic","rl (retired living)","level 19","site qa"
,,"RL (Retired Living) - Level 20","dynamic","rl (retired living)","site qa","level 20"
,,"RL (Retired Living) - Level 21","dynamic","rl (retired living)","level 21","site qa"
,,"RL (Retired Living) - Level 22","dynamic","rl (retired living)","level 22","site qa"
,,"RL (Retired Living) - Level 23","dynamic","rl (retired living)","level 23","site qa"
,,"RL (Retired Living) - Level 24","dynamic","rl (retired living)","site qa","level 24"
,,"RL (Retired Living) - Level 25","dynamic","rl (retired living)","level 25","site qa"
,,"RL (Retired Living) - Level 26","dynamic","rl (retired living)","level 26","site qa"
,,"RL (Retired Living) - Level 27","dynamic","rl (retired living)","level 27","site qa"
,,"RL (Retired Living) - Level 28","dynamic","rl (retired living)","site qa","level 28"
,,"RL (Retired Living) - Level 29","dynamic","rl (retired living)","level 29","site qa"
,"Columns"
,,"Park concrete pump in location & setup within designated area",,"park concrete pump in location and setup within designated area. line set-up not to disturb formwork, reinforcement and starter bars. communication between operator and formwork in place","pump set up items"
,,"All pipelines/rubbers, safety chains, locking pins securely fitted",,"has all pipelines/rubbers, safety chains, and locking pins been adequately and securely fitted","pump set up items"
,,"Placing boom movement coordinated with crane crew",,"has the placing boom movement been coordinated with the crane crew (if applicable)","pump set up items"
,,"OHS&R and Environmental Measures",,"ohs&r and environmental measures: all safety, ppe requirements in place. msds sheets supplied. all documentation is current as per project ohs&r plan and emp plan. all site personnel have been inducted. environment controls in place.","pre pour"
,,"Sand & plastic membrane in place where required",,"is there sand and plastic membrane in place where required in accordance with structural specification and as 3600?","pre pour"
,,"Formwork cleaned sufficiently to take concrete placement",,"pre pour","has the formwork been cleaned sufficiently to take concrete placement? ensure the formwork and other trades have cleaned areas in accordance with structural specification and as 3600."
,,"All movement joints are placed in accordance",,"are all movement joints are placed in accordance structural specification","pre pour"
,,"Has the laser been calibrated to the required level",,"pre pour","has the laser been calibrated to the required level"
,,"Percentage of the element is ready for GB",,"pre pour","what percentage of the element is ready for gb prior of the commencement of the pour"
,,"All trades completed works in the designated pour area",,"has all trades completed works in the designated pour area? if not who?","pre pour"
,,"All barriers in place to prevent falling from heights",,"pre pour","are all barriers in place to prevent falling from heights? has all inserts, blockouts, penetrations, rebates, hobs been securely fixed? if no, who has been notified?"
,,"Adequate access ways to work areas & in deep sections",,"is there adequate access ways to work areas and in deep sections of casting elements?","pre pour"
,,"Latest construction drawings checked prior to pour",,"latest construction drawings checked prior to pour? please attach if applicable","pre pour"
,,"Sufficient cover between the reinforcement & formwork",,"pre pour","is there sufficient cover between the reinforcement and formwork for concrete to be placed? if no, who has been notified?"
,,"Enough access in tight areas to sufficiently finish the concrete",,"is there enough access in tight areas i.e. near hobs, penetrations for concrete hand-equipment (trowels, etc.) to sufficiently finish the concrete?","pre pour"
,,"Concrete testing booked for this pour element",,"pre pour","has concrete testing been booked for this pour element?"
,,"Concrete placed at the correct RL/datum point checked & verified",,"has the concrete been placed at the correct rl, datum point checked and verified and in layers as per as 3600?","post pour"
,,"Vibration of concrete been undertaken",,"has all vibration of concrete been undertaken as per structural engineer's requirement and as 3600?","post pour"
,,"All curing & concrete protection undertaken",,"has all curing and concrete protection been undertaken?","post pour"
,,"All cleaning in regards to pump hoppers & excess concrete",,"has all cleaning in regards to pump hoppers and excess concrete from the pour location been cleared?","post pour"
,,"An as-built issued",,"post pour","has an as-built been issued? if no, who is to issue this?"
,,"Required floor level finish achieved",,"post pour","has the required floor level finish been achieved?"
,,"All areas checked for non-conformance elements",,"has all areas been checked for non-conformance elements?","post pour"
,,"Attach Post-Pour 3m straight-edge check annotated drawing",,"post pour","attach post-pour 3m straight-edge check annotated drawing (only applicable for slabs)."

