"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fe662a26-083b-4221-bb1a-177ed932b7e8","","pass","","folder","TRUE","FALSE","ITP-000 - Client Pre-Construction Checklist"
"76aff0eb-54dc-4371-9567-d6f5f5189be0","","pass","ITP-000 - Client Pre-Construction Checklist","checklist","FALSE","FALSE","ITP-000 - Client Pre-Construction Checklist","ITP-000 - Client Pre-Construction Checklist - Lot 0"
"52e08abb-7a85-496f-91a8-d6949ac334a6","","pass","","folder","TRUE","FALSE","ITP-001 - Subgrade Preparation"
"a6b24f33-de3a-4ceb-97a4-48c262912aa2","","pass","ITP-001 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-001 - Subgrade Preparation","ITP-001 - Subgrade Preparation - William Platforms - Lot 01 - 14/07"
"dbda3fb3-f26c-43bb-a1d2-55278ade9fde","","pass","ITP-001 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-001 - Subgrade Preparation","ITP-001 - Subgrade Preparation - Spencer Platforms - Lot 02 - 15/07"
"2e66d405-f73c-405a-9d97-eb9931885cc0","","pass","ITP-001 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-001 - Subgrade Preparation","ITP-001 - Subgrade Preparation - Stadium Platforms & Track - Lot 03 - 13/07"
"4e15acab-1f70-4c42-8c26-151d87c1f8f3","","pass","ITP-001 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-001 - Subgrade Preparation","ITP-001 - Subgrade Preparation - Elizabeth Platforms - Lot 04 - 17/08"
"25e58d30-1308-488b-9ac1-6a3b5816df43","","pass","ITP-001 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-001 - Subgrade Preparation","ITP-001 - Subgrade Preparation - Swanston Platforms - Lot 05 - 18/08"
"a064b0ca-e610-4af4-b489-21e69a10631f","","pass","ITP-001 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-001 - Subgrade Preparation","ITP-001 - Subgrade Preparation - Exhibition Platforms - Lot 06 - 19/08"
"54e46360-d6aa-4050-8525-f4806fe84a52","","pass","","folder","TRUE","FALSE","ITP-002 - Platform Track Crossings"
"85cf3529-2c41-42ee-a171-c48eb2b4d0dc","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002 - Platform Track Crossings","ITP-002 - Track Crossing Conduits and Pits - William Platform - Lot 01 - 15/07"
"496a3ab4-5125-458b-af4c-9a35b9d99fad","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002 - Platform Track Crossings","ITP-002 - Track Crossing Conduits and Pits - Spencer Platform - Lot 02 - 16/07"
"cc39eca4-f020-4079-ac29-c36807577347","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002 - Platform Track Crossings","ITP-002 - Track Crossing Conduits and Pits - Stadium Platform - Lot 03 - 14/07"
"505b2e2e-8c09-45bd-a24d-9e377c040538","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002 - Platform Track Crossings","ITP-002 - Track Crossing Conduits and Pits - Elizabeth Platform - Lot 04 - 17/08"
"430d1e97-a67a-4314-9a21-03a00314cb28","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002 - Platform Track Crossings","ITP-002 - Track Crossing Conduits and Pits - Swanston Platform - Lot 05 - 18/08"
"2f89ea50-9b2a-4c71-a4a1-7e99cab548b1","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002 - Platform Track Crossings","ITP-002 - Track Crossing Conduits and Pits - Exhibition Platform - Lot 06 - 19/08"
"53ee4da0-dfb8-4b82-8ffe-07f701a88121","","pass","","folder","TRUE","FALSE","ITP-002  - Point of Supply Rd Crossings"
"2bd79a0e-6ae3-476c-8e07-f4a79d153599","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002  - Point of Supply Rd Crossings","ITP-002 - Lot 01 - Point Of Supply - William"
"a47b823f-0c14-49fa-8b7c-10a48ef7bb54","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002  - Point of Supply Rd Crossings","ITP-002 - Lot 02 - Point Of Supply - Spencer"
"3a3720a7-25f9-43da-a92d-f75a8841b398","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002  - Point of Supply Rd Crossings","ITP-002 - Lot 03 - Point Of Supply - Stadium"
"e54efba5-0e90-4261-9d13-2eb9e4d434a0","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002  - Point of Supply Rd Crossings","ITP-002 - Lot 04 - Point Of Supply - Elizabeth"
"033c4a98-567e-4b25-a6c4-5318928573f3","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002  - Point of Supply Rd Crossings","ITP-002 - Lot 05 - Point Of Supply - Swanston"
"6460cb5d-f96b-46c7-a6a9-7aaba7afd386","","pass","ITP-002 - Feeder Conduits and Pits","checklist","FALSE","FALSE","ITP-002  - Point of Supply Rd Crossings","ITP-002 - Lot 06 - Point Of Supply - Exhibition"
"78b329c2-e52f-45c2-87b4-82748474e172","","pass","","folder","TRUE","FALSE","ITP-003 - Electrical and Communication Conduit"
"0b91b326-dc70-4330-b6ec-4f3952944012","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - William Westbound - Electrical + Comms - Lot 01 - 14/07"
"f110dd73-90e2-48a6-9e0c-24e68f8b916a","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - William Eastbound - Electrical + Comms - Lot 02 - 15/07"
"b2a6d00f-a8d3-4a91-b893-f9cbd437dcc6","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - Spencer Westbound - Electrical + Comms - Lot 03 - 15/07"
"f9a5476c-95a4-49c9-a726-f297a4d05d0e","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - Spencer Eastbound - Electrical + Comms - Lot 04 - 16/07"
"a2fbb08c-916b-42f3-bad0-6a4f71393d14","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - Stadium Eastbound - Electrical + Comms - Lot 05 - 16/07"
"71aab46d-154f-4994-9f95-21633462ce24","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - Stadium Westbound - Electrical + Comms - Lot 06 - 17/07"
"7206cc43-4dcb-4f0a-8405-c72eef43122e","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - Elizabeth Eastbound - Electrical + Comms - Lot 07 - 18/08"
"85ca2801-7837-4abb-b456-3f2adc9bdb65","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - Elizabeth Westbound - Electrical + Comms - Lot 08 - 18/08"
"4c224e56-f814-4461-beef-b0034c75a1c5","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - Swanston Eastbound - Electrical + Comms - Lot 09 - 19/08"
"e9c8af54-1192-4ffd-9f19-f6a0ab465fed","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - Swanston Westbound - Electrical + Comms - Lot 10 - 19/08"
"f3d7b30a-d579-40d2-91ec-d3da88e0fee1","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - Exhibition Eastbound - Electrical + Comms - Lot 11 - 20/08"
"66428ab6-4c72-40cc-9234-d64faa35b6a4","","pass","ITP-003 - Electrical and Communication Conduit","checklist","FALSE","FALSE","ITP-003 - Electrical and Communication Conduit","ITP-003 - Exhibition Westbound - Electrical + Comms - Lot 12 - 20/08"
"51115783-351e-4399-934a-bdc80fddc327","","pass","","folder","TRUE","FALSE","ITP-004a - Class 2 Base Course Placement "
"0d48eb2a-03d8-42fe-8767-0170bbd36a39","","pass","","folder","TRUE","FALSE","ITP-004a - Class 2 Base Course Placement ","Drainage"
"55013e97-88df-472e-b3df-aec8c2efd45a","","pass","ITP-004a - Class 2 Base Course Placement","checklist","FALSE","FALSE","ITP-004a - Class 2 Base Course Placement ","Drainage","ITP-004a - Lot 01 - Class 2 Base Course Placement - D101-1 to D101-2"
"24081a2a-a868-4f85-a818-e069e340afe1","","pass","ITP-004a - Class 2 Base Course Placement","checklist","FALSE","FALSE","ITP-004a - Class 2 Base Course Placement ","Drainage","ITP-004a - Lot 02 - Class 2 Base Course Placement - D102-1 to D102-2"
"483ac009-5c18-4ac4-8d00-995fe5c74eba","","pass","ITP-004a - Class 2 Base Course Placement","checklist","FALSE","FALSE","ITP-004a - Class 2 Base Course Placement ","Drainage","ITP-004a - Lot 03 -  Class 2 Base Course Placement - D303-3 to D303-4"
"c4478c95-09b4-4c2a-8550-09dc7a887b62","","pass","ITP-004a - Class 2 Base Course Placement","checklist","FALSE","FALSE","ITP-004a - Class 2 Base Course Placement ","Drainage","ITP-004a - Lot 04 -  Class 2 Base Course Placement - D505-1 to D503-2"
"8f1b3c69-406a-4937-8ec2-1562f04e576f","","pass","ITP-004a - Class 2 Base Course Placement","checklist","FALSE","FALSE","ITP-004a - Class 2 Base Course Placement ","Drainage","ITP-004a - Lot 05 - Class 2 Base Course Placement - D502-2 to D502-1"
