"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4de711c8-d90b-4183-8456-111a5cf20486","","folder-normal","pass","","step","TRUE","FALSE","1. Material Inspections"
"2538d6b7-2225-4072-9d10-583ec3377032","","folder-normal","pass","","step","TRUE","FALSE","1. Material Inspections","1. Structure"
"a2e3655c-7dfd-4d67-bc95-2be275089e9f","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","1.  SHS 200x200x16mm"
"de66d9ea-985f-4eb3-be71-e857d1c1b4c7","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","2. Solid steel round bar D40"
"2a30556e-a813-467e-9b51-b2007a3815b4","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","3. Steel plate 3mm"
"4bfd01db-ba93-465b-a66d-00d5cc3b4d76","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","4. Steel plate 5mm"
"8764f6c3-1126-459f-9d59-0854a6bd9758","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","5. Galv. Coil size 1.5mm"
"426ef807-dbc5-435d-986c-2e20fcb1a1f7","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","6. Galv. Coil size 2.0mm"
"d343b0d4-e085-474b-a65e-404595bb86eb","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","7. Steel plate 16mm"
"cbb1fe75-c091-409f-98ed-a1c3f4122528","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","8. Steel plate 20mm"
"37a7dd3a-c379-4ae2-8508-1ebca258127e","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","9. RHS 100x50x3mm"
"92733b13-7a76-4a74-b64b-34108d228c0c","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","10. Angle bar V50x50x4mm"
"b05ac9d1-056b-4e80-bef6-154671f69d5b","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","11. SHS 50x50x3mm"
"9b936b7c-f350-4903-9a9d-87127bf499e0","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","12. SHS 100x100x6mm"
"d229f64f-7dd6-4f94-b8ec-6755d0272b31","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","13.  RHS 150x100x6mm"
"2f9545e0-4e32-4e4a-acda-63fbcbfb246e","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","14. Gudong M40x420 8.8, 2 nut + 1 Plain washer"
"f2ff9d27-0cdf-4e65-9ff4-a9abe58bd8c0","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","15. Hempaprime Multi 500"
"855a3302-38e4-4799-8957-d3b81bc05fa9","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","16. Thinner 08450"
"6f1367f4-1dd5-43a8-a131-7d3c966bf012","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","17. Thinner 08080"
"f6648b11-5565-4401-95a6-a5425439d788","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","18. Galv. RHS 50x25x1.2mm"
"c4e57a7c-cbeb-43c4-acd6-7af39aec6d01","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","19. Galv. Flat bar 50x2.4mm "
"cab3d45d-b94e-4689-aba7-8320fcb7b2ed","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","20. Galv. Coil size 1.15mm"
"52441c6e-3e7c-49af-bbff-7e786e97c708","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","21. Bolts, nuts & washers"
"b37efbd6-05a9-4890-9e29-799d349ffa1f","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","22. Head screw painted"
"f9f18ef7-7d34-4e5d-80fb-fb6d527e67c7","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","23. Steel plate 6mm"
"fec45108-be0b-4ce4-8ea9-1b959b1de49c","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","24. Steel plate 10mm"
"e8a46a20-77dd-47ff-ae60-b5669d60cdb5","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","25. RHS 40x20x1.2mm"
"03a7be45-91ae-4380-acfc-ffd080cf5432","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","26. Gal Flat bar 100x1.95mm"
"3f12e14f-5903-47bd-87b1-5def4a21a0e0","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","27. Galv. Flat bar 70x1.2mm"
"3a2b8de0-b598-4720-808f-366d4ae85e74","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","1. Structure","28. SHS 40x40x2mm"
"ed4b6ce2-a475-493b-bf74-dd9217201caf","","folder-normal","pass","","step","TRUE","FALSE","1. Material Inspections","2. Architecture"
"9b827c0f-0992-4aff-9740-f0e0f7e9fbe1","","checklist-flat","pass","Add Document Upload Checklist","checklist-flat","FALSE","FALSE","1. Material Inspections","2. Architecture","1. Shera CFC Boards"
