"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4bf01d52-2549-49a3-a8bf-bad0681c0354","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"fe22c2fd-941d-4e65-bb78-43c812765efc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building 6"
"ae2370c6-3bf9-409c-8231-8ad1f557938a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building 6","Basement"
"c0491013-079d-4653-9998-9583cf77f323","","checklist-sectioned","pass","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC01"
"ff175408-21c3-5951-bfa4-0b204a4b7268","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC01","Drawing"
"e2cad025-1de5-5026-a778-22a6107e6d55","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Drawing","Revision No - Attach photo of drawing below &/Or input details"
"f28dd7fb-c818-551e-9a21-ac2fe5b0d0b8","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC01","Panel Properties"
"ce19c9e1-5839-51a2-8acf-09bc560dbdf5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Panel Properties","Properties - Pass once entered"
"caec23b6-5244-5e09-9276-b8ebc11d8eb8","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC01","Formwork"
"704412f0-6364-58fe-88c8-fc8de5712dff","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Formwork","Correct Dimensions & Square"
"a8b17209-ed9f-572b-a405-33d01aa1162d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Formwork","Grout tube set out"
"fd50c9b8-8826-5f82-a20a-b667e7c5291a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Formwork","Magnets Locked Down"
"2d3dad03-fe2d-52d1-9d7a-f01a37b70be7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Formwork","Fillet Installed"
"9fd27f97-ae7b-59d2-9abb-260cb07b4e6d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Formwork","ID TAG Installed (photo required)"
"ed4c79a4-8d46-5a86-9571-66d907f04af4","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Formwork","Starter bars & couplers (photo required)"
"2d6d7a50-38d5-5c40-b534-7db49803951f","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Building 6","Basement","P 6BC01","Reinforcement"
"0b61d6ac-3e03-5723-b970-243377638296","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Reinforcement","Correct Mesh/Cage (photo required)"
"7f3809f0-272f-51ae-abc0-098dbe5d951e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Reinforcement","Correct Lig Spacing/Mesh Centers"
"ff3cc784-d25d-5bea-9664-856e1c913a39","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Reinforcement","Correct Cover"
"275276bf-572d-5f95-a545-b5a13e8d5cf8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Reinforcement","Lifter location & Type Correct (photo required)"
"eae3f23d-8122-5002-93b9-371d45fa2dab","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Reinforcement","Starter bars & couplers (photo required)"
"5eec2fe3-3955-56a3-839a-6fabcdce9237","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Reinforcement","Strongbacks installed - If required"
"009aff77-87fc-5720-980b-2b14a453443f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Reinforcement","Engineer Shop Drawings attached - (photo required)"
"7315ff39-0702-530c-b577-0bdb8ee0af55","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Building 6","Basement","P 6BC01","Reinforcement","Ferrues Installed - (photo required)"
