"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cd597728-a43e-4088-b0c0-e383610c6d63","","checklist-sectioned","work-in-progress","3f05f0cde938f93c83214a38393dcf7768317bbfc05b3d716d80494ba1803b1a","checklist","FALSE","FALSE","Kaiteriteri Checklist"
"4f5a21bd-1efa-5110-9ecd-2468fab5b584","","checkpoint-group","pass","","","FALSE","FALSE","Kaiteriteri Checklist","1. Consent Conditions"
"0c938cfa-a9c3-55a5-87c2-2b6d95a94ecb","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.1 - Appoint contact person for Councils monitoring officer."
"1d48f1c8-b899-5d87-bfdf-dbc7b9fef10b","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"33e603da-30d2-5356-91af-66761e663835","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.2 - Appoint ecologist"
"3aa44229-44cb-533b-8a8b-033e5242cea3","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"2da8bd7d-4ac3-5cc3-a4b6-68a1b2313a2e","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.3 - Advise council montoring officer of contact people (Rep, Principal Contractor, Ecologist)"
"ad2f0f7f-bcb5-53b7-9cb7-b76827335289","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"7f3bc05e-a401-52d5-95c1-b2e601d960e6","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.4 - Advise monitoring officer of works commencing"
"5721e4d1-937c-5c6b-adbb-f926448ea38e","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"92bd65b1-28f9-5da8-8c34-5b8561388dcf","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.5 - Site meeting between principal contractor, ecologist, monotoring officer, iwi officer"
"410380d8-36b8-5de1-9646-dd0d3c48fbcd","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"9518d26d-7a6c-5b25-9c4c-c2bd9f4594ef","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.6 - Iwi monitor to be appointed, and forward evidence of this to monitoring officer"
"d7e7b7ec-ae91-515d-841d-5a8cf6f53bea","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"5544a929-d855-5710-99db-80e0c9686b05","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.7 - Prepare construction management plan, traffic management plan and spill management plan - see conditions for requirements"
"9807870a-19bd-5fbe-8109-96e3b746756d","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"fb6e5fda-75a8-5816-824f-8641bd686a67","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.8 - Penguin management plan submitted to council"
"5ea1f2eb-e870-582b-9923-b06fc6dfb44c","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"d65bb205-a29a-5f90-b5f0-f174d5b44df4","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.9 - Lizard management by Ecologist 2-10 days prior to vegetation removal in specific areas"
"a9050aa3-aa3d-5d77-85b0-d160af5405d7","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"ccee438b-4565-5f82-82e6-7572bbc2fc4c","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.10 - Clean machinery prior to arrival on site"
"49ca6a7e-4bc3-5374-a903-16d90af38572","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"6d105b8c-fff1-577b-a225-22b1288fe605","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.11 - Access routes (on foot) identified to works areas to avoid vegetation"
"e2df3826-08ba-579b-a398-8b1eefb7d3e3","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"51bff1c4-4038-52b7-88e7-c6bc235a1e9c","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.12 - Erect notices at each end of works site prior to works commencing"
"ec553947-8a08-530b-89c3-06af2e212018","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"9d708592-fff6-5178-9ede-84c0a768d914","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","1.13 - Provide written notice to neighbours prior to works commencing"
"2779a2e9-998f-5b38-a476-812570de0842","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","1. Consent Conditions","AUTHORITY HOLDPOINT"
"85f074be-1538-50cd-90bb-982b91b7eb41","","checkpoint-group","pass","","","FALSE","FALSE","Kaiteriteri Checklist","2. Safety"
"7e20f4f8-0198-503a-814c-0fd6728a23f4","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","2. Safety","2.1 - Traffic Management"
"9985cfc4-9441-5ba1-b93b-5bf5bd112846","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","2. Safety","AUTHORITY HOLDPOINT"
"16da9adc-85ba-58f8-b1c5-6fc4e1d83d8b","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","2. Safety","2.2 - Service Locates"
"83e5c554-be8c-52f3-98fc-32ada2e649f5","","checkpoint-group","pass","","","FALSE","FALSE","Kaiteriteri Checklist","3. Basecourse"
"0b9202d3-34b4-59d0-8692-fec0f7553539","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","3. Basecourse","3.1 - Sand Equivalent"
"d455a9cd-1db8-5107-9dfd-ff1d849e174c","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","3. Basecourse","AUTHORITY HOLDPOINT"
"8ba792bd-d40b-532d-85ab-b3b6c9daeb85","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","3. Basecourse","3.2 - Clay Index"
"8282a68e-a47b-5dcc-820a-8ccb7510904f","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","3. Basecourse","AUTHORITY HOLDPOINT"
"6edc58ea-0fcf-56ce-b255-bf85031ca910","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","3. Basecourse","3.3 - Broken Face Content"
"c342ddc7-115d-5b93-b8db-55f436edac1d","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","3. Basecourse","AUTHORITY HOLDPOINT"
"5510648f-54fd-509b-9480-8050d9cbff79","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","3. Basecourse","3.4 - Particle Size Distribution"
"3241df76-44e7-5f3a-ae23-039128d1d730","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","3. Basecourse","AUTHORITY HOLDPOINT"
"03a44ee0-243e-556a-9c9a-30dcfc6a2df3","","checkpoint-group","pass","","","FALSE","FALSE","Kaiteriteri Checklist","4. Road Widening"
"8970bfef-09d6-5860-bcfc-7512e3cf0c6c","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","4. Road Widening","4.1 - Compaction of basecourse (Field Dry Density)"
"c8f0e5a5-ff7c-5dad-bc2f-edbf52fea7a8","","holdpoint","pass","","","TRUE","TRUE","Kaiteriteri Checklist","4. Road Widening","AUTHORITY HOLDPOINT"
"698ded55-c191-537e-938a-a1a878198817","","checkpoint-status","pass","","","TRUE","TRUE","Kaiteriteri Checklist","4. Road Widening","4.2 - Saturation"
