Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,
Overall Progress,,,,,,,,,,,
,Scope,,,QA,,,,,,,
,Rows,,,,,,,,,,
,,Civil,dynamic,QA,Civil,,,,,,
,,Hydraulics - New,dynamic,QA,Hydraulics,New,,,,,
,,Hydraulics - Thermostatic Mixing Valves,dynamic,QA,Hydraulics,Thermostatic Mixing Valves,,,,,
,,Decommissioning / Demolition,dynamic,QA,Decommissioning / Demolition,,,,,,
,,Misc Issues,dynamic,QA,Misc Issues,,,,,,
,,Variations,dynamic,QA,Variations,,,,,,
,,Haz Mat,dynamic,QA,Haz Mat,,,,,,
,Columns,,,,,,,,,,
,,QA,,QA,,,,,,,
,,,,,,,,,,,
CCTV Checksheet,,,,,,,,,,,
,Scope,,,QA,,,,,,,
,Rows,,,,,,,,,,
,,Hydraulics - Investigation,grouping,Hydraulics - Investigation,,,,,,,
,,CCTV Joel 07/08/24 2x sewers,,QA,Hydraulics,Investigation,CCTV Joel 07/08/24 2x sewers,,,,
,,CCTV BG sewer delapidation ,,QA,Hydraulics,Investigation,CCTV BG sewer delapidation ,,,,
,,CCTV BG sewer dilapidation,,QA,Hydraulics,Investigation,CCTV BG sewer dilapidation,,,,
,Columns,,,,,,,,,,
,,Employee trained for task & reviewed installation instructions,,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,
,,CCTV Completed & Attached,,CCTV Completed & Attached,,,,,,,
,,"Drains clear, free of obstructions & in acceptable condition","Drains clear, free of obstructions & in acceptable condition",CCTV Completed & Attached,,,,,,,
,,"If No, explain why",If No the above explain why,CCTV Completed & Attached,,,,,,,
,,Final sign off - CCTV completed,,"Final sign off - CCTV completed, Pass when satisfied to proceed (Any issues please comment & Add photos below)",,,,,,,
,,,,,,,,,,,
Cold Water BG,,,,,,,,,,,
,Scope,,,QA,,,,,,,
,Rows,,,,,,,,,,
,,Hydraulics - New,grouping,Hydraulics - New,,,,,,,
,,Level 01 - Zone 5 - Pump Line BG (PL) - Pump Line from Sump Pit 1,,QA,Hydraulics,New,Level 01,Zone 5,Pump Line BG (PL),Pump Line from Sump Pit 1,
,,Level 01 - Zone 5 - Pump Line BG (PL) - Pump Line from Sump Pit 2,,QA,Hydraulics,New,Level 01,Zone 5,Pump Line BG (PL),Pump Line from Sump Pit 2,
,,Level 01 - Zone 5 - Pump Line BG (PL) - Pump Line from Sump Pit 3,,QA,Hydraulics,New,Level 01,Zone 5,Pump Line BG (PL),Pump Line from Sump Pit 3,
,,Level 01 - Zone 5 - Cold Water BG (CW),,QA,Hydraulics,New,Level 01,Zone 5,Cold Water BG (CW),,
,,"Level 05 - Zone 4 - Cold Water BG (CW) - Grid (ZB-ZC, Z3-Z6)",,QA,Hydraulics,New,Level 05,Zone 4,Cold Water BG (CW),"Grid (ZB-ZC, Z3-Z6)",
,,"Level 05 - Zone 4 - Cold Water BG (CW) - Grid (AB-ZB, Z3-Z6)",,QA,Hydraulics,New,Level 05,Zone 4,Cold Water BG (CW),"Grid (AB-ZB, Z3-Z6)",
