resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,,Tier 7,Tier 8,Tier 9,,,,
,step,,,Below Slab ,,,,,,,,,,,,,
,step,,,,BCA-DWD-112-MG-10001,,,,,,,,,,,,
,step,,,,,Zone 1 (A-D),,,,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,Oxygen 25mm Copper Line,,,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,Oxygen 40mm Copper Line ,,,,,,,,,,
PVC Pipework Underground,checklist,,,,,,Oxygen Pipe Sleeve,,,,,,,,,,
,step,,,,,Zone 2 (E-H),,,,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,Oxygen 25mm Copper Line ,,,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,Oxygen 40mm Copper Line ,,,,,,,,,,
PVC Pipework Underground,checklist,,,,,,Oxygen Pipe Sleeve,,,,,,,,,,
,step,,,,,Zone 3 (I-L),,,,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,Oxygen 40mm Copper Line ,,,,,,,,,,
PVC Pipework Underground,checklist,,,,,,Oxygen pipe Sleeve,,,,,,,,,,
,step,,,Interior Fitout (TBC),,,,,,,,,,,,,
,step,,,,Level 0,,,,,,,,,,,,
,step,,,,,Zone 1,,,,,,,,,,,
,step,,,,,,BCA-DWD-112-ME-20050 / BCA-DWD-112-ME-30050,,,,,,,,,,
,step,,,,,,,00FHO005,,,,,,,,,
,step,,,,,,,,Airlock - Entry,,,,,,,,
Air Curtain Checklist,checklist,,,,,,,,,112-0A-FHO-AC-001 - Avon Electric Frico ARFEC3520E18 2000mm - Electric Air Curtain ,,,,,,,
,step,,,,,,,00FHO011,,,,,,,,,
,step,,,,,,,,Reception - Greet ,,,,,,,,
FCU Install QA Checklist ,checklist,,,,,,,,,112-0A-MEP5-AHU004-FCU-004 - Temperzone IMD280Y - Fan Coil Unit 150L/S OA,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R07 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R07 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
FCU Install QA Checklist ,checklist,,,,,,,,,112-0A-MEP5-AHU004-FCU-003 - Temperzone IMD95Y - FCU 60L/S OA,,,,,,,
,step,,,,,,,00FHO006,,,,,,,,,
,step,,,,,,,,Interview Room - Mana Whenua ,,,,,,,,
FCU Install QA Checklist ,checklist,,,,,,,,,112-0A-MEP5-AHU004-FCU-002 - Temperzone IMD95Y - FCU 65L/S OA ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R03 - Holyoake EC-125 600x300 - Return Grille ,,,,,,,
,step,,,,,,,00FHO012,,,,,,,,,
,step,,,,,,,,Meeting 12 ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 450/24 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R03 - Holyoake EC-125 600x300 - Return Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
,step,,,,,,,00FHO014,,,,,,,,,
,step,,,,,,,,Whanau Lounge ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R06 - Holyoake EC-125 600x600 - Return Grille ,,,,,,,
FCU Install QA Checklist ,checklist,,,,,,,,,112-0A-MEP5-AHU004-FCU-001 - Temperzone IMD135Y - FCU 150L/S OA,,,,,,,
,step,,,,,,,00FHO027,,,,,,,,,
,step,,,,,,,,Corridor,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T08 - Holyoake EC-125 600x600 - Extract/Trasfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R04 - Holyoake EC-125 600x600 - Return Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E01 - Holyoake EC-125 200x200 - Extract/Trasfer Grille ,,,,,,,
,step,,,,,,,00FHO015,,,,,,,,,
,step,,,,,,,,Personal Care ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S02 - Holyoake CFPP 450/24 450x450 - Supply Grille ,,,,,,,
,step,,,,,,,00FHO020,,,,,,,,,
,step,,,,,,,,Parenting ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake CFPP 450/24 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,SO4 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Heating Coils Template ,checklist,,,,,,,,,112-0A-AHU004-HC-002 - Temperzone 250x200 - 1.1 kW Heating Coil ,,,,,,,
,step,,,,,,,00FHO016,,,,,,,,,
,step,,,,,,,,Toilet - Public,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E01 - Holyoake EC-125 200x200 - Extract/Transfer Grille ,,,,,,,
,step,,,,,,,00FHO017,,,,,,,,,
,step,,,,,,,,Disposal ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E05 - Holyoake EC-125 450x450 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille ,,,,,,,
,step,,,,,,,00FHO049,,,,,,,,,
,step,,,,,,,,Corridor,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T05 - Holyoake EC-125 450x450 - Extract/Tranfer Grille ,,,,,,,
