type,name,values
checklist-flat,Toolbox Minutes,
checkpoint,Record of attendance and discussions,
textbox,Date:,
textbox,Location:,
textbox,Attendees: ,
note,(separate attendees with a comma),
checkpoint,Matters arising from previous minutes,
textbox,,
checkpoint,Safe work practices/incidents,
textbox,,
checkpoint,New hazards discussed/reviewed ,
textbox,,
checkpoint,Training/employee concerns,
textbox,,
checkpoint,Description of today's work,
textbox,,
checkpoint,Other items,
textbox,,
