"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2969c12f-b90a-5eec-a836-5d63a70f9d3b","","","Project Details","checklist","FALSE","FALSE","Project Details"
"6d506d64-3a3f-499a-b827-4fc9eba80496","","","","folder-progress","TRUE","FALSE","QA - Mechanical  Inspections"
"9289291a-5185-4ed8-85ea-9b8ee94eab72","","","","folder-progress","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers"
"a8dd1cac-fb8f-44ce-aaa0-c726288bef89","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS"
"8f27f4d4-05c5-4183-975a-d1e8a9af8f1e","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Electrical and Communications Conduit Trench Riser Installation checklist."
"5d5e1d39-7936-5e9b-b0b2-53d5932f805f","","","2a164f4f09f3e5169373a491850aafbb52393c27d16ffe28178756250017fe59","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Electrical and Communications Conduit Trench Riser Installation checklist.","Electrical and Communications Conduit Trench Riser Installation checklist"
"f66d30d5-fbbe-499e-aea7-0a85ebdba44b","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Fire Trench Pipe Riser Installation Checklist"
"7e1b9683-3ec6-5ff7-bdf5-71a0a3e6ef3c","","","Trench Pipe Riser Installation Checklist","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"6648a345-896c-4c7b-abc1-cfa729432b58","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Fire Pressure Test Report QCC-01.01"
"433bb3c5-c7e3-579f-a92b-7272b801b2e1","","","Pressure Test Report QCC-01.01","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","FM STORE 1, BULK STORE & TRADES PARKING FIRE TRENCH RISERS","FM1 Fire Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"57c6d9b5-fb48-4fa1-86f2-42fd203277f9","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","CENTRAL LAUNDRY FACILITY"
"697dcc90-07ec-45f5-b296-99b2faa1228b","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","CENTRAL LAUNDRY FACILITY","LAU HHW & CHHW Trench Pipe Riser Installation"
"17bcdf21-9b71-5e35-8c00-1905552f8900","","","Trench Pipe Riser Installation Checklist","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","CENTRAL LAUNDRY FACILITY","LAU HHW & CHHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"e398c9a0-3739-4ddb-97f1-f5b1f93157f5","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","CENTRAL LAUNDRY FACILITY","LAU HHW & CHHW Pressure Test Report QCC-01.01"
"ce094cc1-229d-5766-ac98-27eb1faf1d0a","","","Pressure Test Report QCC-01.01","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","CENTRAL LAUNDRY FACILITY","LAU HHW & CHHW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"c9debd08-218f-4160-a2d7-f1b70ee97539","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1"
"caac188b-41fe-4aaf-adb2-c0a0d76d40b3","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 Fire Trench Pipe Riser Installation Checklist"
"b86500a5-88e5-5643-8956-535f19e7eb44","","","Trench Pipe Riser Installation Checklist","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"34d6971d-a397-46c9-b168-f1dca02d512e","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 HHW & CHHW Trench Pipe Riser Installation"
"84c2dbcb-7eae-5a93-859f-9c956a132aba","","","Trench Pipe Riser Installation Checklist","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 HHW & CHHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"fea236d1-6e41-4b74-8679-9a4d67528ee2","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 Fire Pressure Test Report QCC-01.01"
"807f874c-373c-54d1-b80c-bed3f3bf99cb","","","Pressure Test Report QCC-01.01","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 Fire Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"72537727-9b7a-4a62-8954-86047e354835","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 HHW & CHHW Pressure Test Report QCC-01.01"
"45025cf6-1857-5316-ab4f-7b7668c8ca9d","","","Pressure Test Report QCC-01.01","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 HHW & CHHW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"538a6a81-65a9-4325-a63b-761f4e17424e","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 2"
"b155e823-4a0a-454b-bb29-9dadfb249a92","","","","folder-progress","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 2","MH2 Fire Trench Pipe Riser Installation Checklist"
