Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Precast Panel QA,,,,,Yes,Precast Panel QA (V1),e6bb37e7-fda9-4337-aa66-fdeb62373b02
checkpoint-group,,,section,Precast Element Details,,,,,,,
checkpoint-status,,,checkpoint,Concrete Details Complete,,,,,,,
text,1e686c64-6cd8-53e7-935f-87ea53a25d04,,textbox,Concrete Volume,,,,,,,
text,65ed450a-b4ca-5f23-8d64-be2235f03f37,,textbox,Concrete Strength,,,,,,,
text,a8f4d790-b8f8-5972-88ac-ea1ef58d2ce2,,textbox,Enter Drawing Revision Number,,,,,,,
text,545b9746-b62c-5ba4-9b20-fbb8291c14a9,,textbox,Cast Date,,,,,,,
text,a57e571b-98f9-5080-b861-c27e580d3ecc,,textbox,Admixture Required,,,,,,,
checkpoint-group,,,section,Formwork Set Up Checks,,,,,,,
checkpoint-status,,,checkpoint,Length/Width/Thickness/Cutouts/Diagonals,,,,,,,
checkpoint-status,,,checkpoint,Edge Details & Rebates,,,,,,,
checkpoint-status,,,checkpoint,"Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)",,,,,,,
checkpoint-status,,,checkpoint,MF roughening's,,,,,,,
checkpoint-status,,,checkpoint,Sides Straight & Magnets Fastened,,,,,,,
checkpoint-status,,,checkpoint,Mould Face Clean,,,,,,,
checkpoint-group,,,section,Prepour Checks,,,,,,,
checkpoint-status,,,checkpoint,Mould Cleaned & Oiled,,,,,,,
checkpoint-status,,,checkpoint,"Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)",,,,,,,
checkpoint-status,,,checkpoint,"Check covers on all sides, MF and TF",,,,,,,
checkpoint-status,,,checkpoint,There is sufficient cover to rebates around openings or weatherproofing details,,,,,,,
checkpoint-status,,,checkpoint,"Starters (Size, Grade, Setout and Length)",,,,,,,
checkpoint-status,,,checkpoint,"Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)",,,,,,,
checkpoint-status,,,checkpoint,Lifters,,,,,,,
checkpoint-status,,,checkpoint,Tie wire Trimmed,,,,,,,
checkpoint-status,,,checkpoint,Panel fully clean,,,,,,,
checkpoint-status,,,checkpoint,General Photos Attached,,,,,,,
checkpoint-status,,,checkpoint,Shop Drawing Checked Off (attach photo),,,,,,,
checkpoint-status,,,checkpoint,Off Site Claim Photos Taken (attach photo with principles details),,,,,,,
checkpoint-group,,,section,Demould Inspection,,,,,,,
checkpoint-status,,,checkpoint,Demould Inspection complete,,,,,,,
checkpoint-group,,,section,Loading Out,,,,,,,
checkpoint-status,,,checkpoint,Photo take of Panel on Truck,,,,,,,
checkpoint-status,,,checkpoint,No remedial work required on site,,,,,,,
checkpoint-group,,,section,"Test Results, Certificates and Documentation",,,,,,,
checkpoint-status,,,checkpoint,Upload reinforcing detail sheets,,,,,,,
checkpoint-status,,,checkpoint,Concrete Docket Attached,,,,,,,
checkpoint-status,,,checkpoint,Upload Concrete test results,,,,,,,
checkpoint-status,,,checkpoint,Upload Photo of Reinforcing Cast # Tracking,,,,,,,
checkpoint-status,,,checkpoint,Upload Lift Designs,,,,,,,
