resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Pre-Con Inspection,,checklist,,,Pre-Con Inspection,,,,,,,,
,,step,,,Site QA,,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,CU-1,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,FUC-1.1,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,FUC-1.2,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,FUC-1.3,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,CU-2,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,FCU-2.1,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,FCU-3.2,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,CU-3,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,FCU-3.1,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,FCU-3.2,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,CU.4,,,,,,,
ITP-115 - Mechanical - Rough-In,ITP-115 - Mechanical - Fit-Off,folder-with-checklists,,,,FCU-4.1,,,,,,,
,,step,,,,FCU-4.2,,,,,,,
ITP-115 - Mechanical - Final Sign Off,,checklist,,,,Final Sign Off,,,,,,,
