type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,
checklist,ITP007 - Unbound Pavements,,,,,,ITP007 - Unbound Pavements,,,,,,,
section,"1.0 Preliminary Activities – Permits, Documentation, Approvals, Survey Documentation",,,,,,,,,,,,,
checkpoint,1.1 - The current revision drawings are being used including subcontractors copy.,,,,,,,,,,,,,
label,Frequency: Prior to works,,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,,
label,• Current revision drawing is being used including the subcontractors copy.,,,,,,,,,,,,,
label,• Current Revision to be obtained via  Principal’s Representative,,,,,,,,,,,,,
label,Reference Documents: ACONEX,,,,,,,,,,,,,
label,Inspection/ Test Method: Visual Inspection,,,,,,,,,,,,,
label,Record of conformity: Current drawings,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,Responsibility: Fulton Hogan,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,1.2 - ITP and Construction procedure documentation,,,,,,,,,,,,,
label,Frequency: Prior to works,,,,,,,,,,,,,
label,Acceptance Criteria: ITP and Construction procedure for unbound pavement material placement to be provided to Principal’s Representative for review. ,,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,,
label,Record of conformity: Approved Work procedure report,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,
label,Responsibility: ,,,,,,,,,,,,,
label,• Fulton Hogan,,,,,,,,,,,,,
label,• Principal’s Representative,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,
checkpoint,1.3 - Material classification.,,,,,,,,,,,,,
label,Frequency: Prior to works,,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,,
label,• Proposed material source information and samples to be submitted to Principal’s Representative. ,,,,,,,,,,,,,
label,Reference Documents: VicRoads section 812,,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,,
label,Record of conformity: Approved rock mix design report,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,
label,Responsibility: ,,,,,,,,,,,,,
label,• Fulton Hogan,,,,,,,,,,,,,
label,• Principal’s Representative,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,
checkpoint,1.4 - Production testing,,,,,,,,,,,,,
label,Frequency: Prior to works,,,,,,,,,,,,,
label,Acceptance Criteria: Supply of information with respect to production testing. ,,,,,,,,,,,,,
label,Reference Documents: VicRoads section 812,,,,,,,,,,,,,
label,Inspection/ Test Method: Verify,,,,,,,,,,,,,
label,Record of conformity: Approved production testing results,,,,,,,,,,,,,
label,TP,,,,,,,,,,,,,
label,Responsibility: ,,,,,,,,,,,,,
label,• Fulton Hogan,,,,,,,,,,,,,
label,• Principal’s Representative,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,1.5 - Implementation of all measures and controls.,,,,,,,,,,,,,
label,Frequency: Prior to works,,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,,
label,• All necessary measures and controls are being implemented including: ,,,,,,,,,,,,,
label,"○ PSP, EMP, TMP, SWMS and WP. ",,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,,
label,• PSP,,,,,,,,,,,,,
label,• EMP,,,,,,,,,,,,,
label,• TMP,,,,,,,,,,,,,
label,• SWMS,,,,,,,,,,,,,
label,• WP,,,,,,,,,,,,,
label,Inspection/ Test Method: Visual inspection,,,,,,,,,,,,,
label,Record of conformity: Site inspection,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,Responsibility: Fulton Hogan,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,1.6 - Plant and Equipment,,,,,,,,,,,,,
label,Frequency: Prior to works,,,,,,,,,,,,,
label,Acceptance Criteria: Plant and Equipment used in the works are appropriate to achieve specification requirements.  ,,,,,,,,,,,,,
label,Inspection/ Test Method: Visual Inspection,,,,,,,,,,,,,
label,Record of conformity: Finalised ITP,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,Responsibility: Fulton Hogan,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,1.7 - Stockpile material on site,,,,,,,,,,,,,
label,Frequency: Prior to works,,,,,,,,,,,,,
label,Acceptance Criteria: Material stockpile locations approved by the Principal’s Representative. ,,,,,,,,,,,,,
label,Reference Documents: Stockpile Map,,,,,,,,,,,,,
label,Inspection/ Test Method: Visual Inspection,,,,,,,,,,,,,
label,Record of conformity: Material receivables checklist (Dockets) ,,,,,,,,,,,,,
label,AP,,,,,,,,,,,,,
label,Responsibility: Fulton Hogan,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
section,2.0 Placement of crushed rock base and sub-base ,,,,,,,,,,,,,
checkpoint,2.1 - Commencement of construction of the base (Class 3/4/profiling) and sub base (Class 3/4/profiling).,,,,,,,,,,,,,
label,Frequency: Each lot,,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,,
label,• The underlying layer shall be clean of all foreign matter.,,,,,,,,,,,,,
label,• All edges of previously placed material must be water conditioned prior to placement continuation.  ,,,,,,,,,,,,,
label,Reference Documents: VicRoads section 204,,,,,,,,,,,,,
label,Inspection/ Test Method: Visual inspection ,,,,,,,,,,,,,
label,Record of conformity: Site Inspection,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,Responsibility: Fulton Hogan,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,2.2 - Placing Crushed rock,,,,,,,,,,,,,
label,Frequency: Each lot,,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,,
label,• The maximum lot size for surface levelling is to be half the size of the working area. ,,,,,,,,,,,,,
label,• Surface tolerances per layer is as follows; ,,,,,,,,,,,,,
label,"○ Class 3/4 Crushed Rock/profiling: +0, -10mm",,,,,,,,,,,,,
