type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP017 - Mixing Plant Establishment and Trials,,,,,,ITP017 - Mixing Plant Establishment and Trials,,,,,,
section,1 Preliminary,,,,,,,,,,,,
checkpoint,1.01 - Bituminous material sources,,,,,,,,,,,,
label,Frequency: Not less than 5 days prior to the commencement of asphalt mix design.,,,,,,,,,,,,
label,"Acceptance Criteria: Submission of source, name and address of manufacturer(s), manufacture information and test certificates for bitumen.",,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5130(c) HP5130-2,,,,,,,,,,,,
label,Inspection/ Test Method: N/A,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
section,2 Mixing Plant Establishment,,,,,,,,,,,,
checkpoint,2.01 - Notification of calibration,,,,,,,,,,,,
label,Frequency: Not less than 48 hours prior to each calibration of mixing plant.,,,,,,,,,,,,
label,Acceptance Criteria: N/A,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5112(i) WP5112-1,,,,,,,,,,,,
label,Inspection/ Test Method: N/A,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,WP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,2.02 - Calibration of mixing plant,,,,,,,,,,,,
label,Frequency: ,,,,,,,,,,,,
label,• Not less than 48 hours prior to the commencement of production mix trial.,,,,,,,,,,,,
label,• Must include:,,,,,,,,,,,,
label,"– Establishment of cold feeder rates of flow, batch masses, mixing cycle times, plant production rates.",,,,,,,,,,,,
label,"– Adjustment of the aggregate, filler and bitumen feeder compensators to provide accurate readings for the actual materials used.",,,,,,,,,,,,
label,– Confirmation of the accuracy of the plant recorders by checking actual masses on an independent weighbridge.,,,,,,,,,,,,
label,Acceptance Criteria: Acceptance of calibration report by Contract Administrator,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5112(i) HP5112-3,,,,,,,,,,,,
label,Inspection/ Test Method: N/A,,,,,,,,,,,,
label,Record of conformity: Calibration report,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
section,3 Production Trial,,,,,,,,,,,,
checkpoint,3.01 - Assessment of mixing plant.,,,,,,,,,,,,
label,Frequency: Not less than 4 weeks prior to the commencement of a production mix trial.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,• Submission of production capacity and hot asphalt storage capacity for the primary mixing plant proposed for production of asphalt for the works.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5112(h) HP5112-2,,,,,,,,,,,,
label,Inspection/ Test Method: N/A,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,3.02 - Mixing plant calibration charts.,,,,,,,,,,,,
label,Frequency: Prior to each production mix trial.,,,,,,,,,,,,
label,Acceptance Criteria: Submission of mixing plant calibration charts to Contract Administrator.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5110(b) HP5110-1,,,,,,,,,,,,
label,Inspection/ Test Method: N/A,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,3.03 - Notification of production mix trial,,,,,,,,,,,,
label,Frequency: Not less than 48 hours prior to the commencement of a production mix trial.,,,,,,,,,,,,
label,Acceptance Criteria: N/A,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5110(c) WP5110-1,,,,,,,,,,,,
label,Inspection/ Test Method: N/A,,,,,,,,,,,,
