type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,
checklist,ITP003 - Asphalt Production of Surface Mixes,,,,,,ITP003 - Asphalt Production of Surface Mixes,,,,,,,
section,1 Mix Production,,,,,,,,,,,,,
checkpoint,1.01 - Asphalt production plan,,,,,,,,,,,,,
label,Frequency: Not less than 48 hours prior to the commencement of a work period.,,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,,
label,• Plan demonstrates that the hot storage capacity and production capacity of the mixing plant is capable of supplying asphalt to complete the work proposed to be undertaken within that work period on time and to make the runway suitable for aircraft operation in the event of an asphalt plant breakdown.,,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-002 5116(e) HP5116-1,,,,,,,,,,,,,
label,Inspection/ Test Method: N/A,,,,,,,,,,,,,
label,Record of conformity: Production plan,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,
label,Responsibility: Production Supervisor,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,
checkpoint,1.02 - Temperature of bitumen,,,,,,,,,,,,,
label,Frequency: Not less than once per work period. To be recorded at the time of taking bitumen volumetric readings.,,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,,
label,• Temperature to be within the below range for the relevant bitumen type when introduced into the mixer:,,,,,,,,,,,,,
label,– Residual bitumen C320: 140-165°C,,,,,,,,,,,,,
label,– Polymer modified bitumen: 160-175°C,,,,,,,,,,,,,
label,– Polymer modified bitumen with warm mix additives: 140-175°C,,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5116(f),,,,,,,,,,,,,
label,Inspection/ Test Method: Asphalt plant temperature probe,,,,,,,,,,,,,
label,Record of conformity: Production records,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,
label,Responsibility: Plant Operator,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,1.03 - Temperature of aggregates,,,,,,,,,,,,,
label,Frequency: Not less than once per work period.,,,,,,,,,,,,,
