type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP011 - Reclaimed Asphalt Pavement (RAP),,,,,,ITP011 - Reclaimed Asphalt Pavement (RAP),,,,,,
section,1 Material properties,,,,,,,,,,,,
checkpoint,1.01 - Material composition.,,,,,,,,,,,,
label,"Frequency: Each 1,000 t stockpile.",,,,,,,,,,,,
label,"Acceptance Criteria: The RAP is free from foreign material such as unbound granular base, broken concrete, or other contaminants.",,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5105,,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Laboratory Technician,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.02 - Binder content.,,,,,,,,,,,,
label,"Frequency: Each 1,000 t stockpile.",,,,,,,,,,,,
label,Acceptance Criteria: To be reported.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5105,,,,,,,,,,,,
label,Inspection/ Test Method: AS 2891.3.3,,,,,,,,,,,,
label,Record of conformity: NATA accredited test certificate,,,,,,,,,,,,
label,TP,,,,,,,,,,,,
label,Responsibility: Laboratory Technician,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.03 - Particle size distribution.,,,,,,,,,,,,
label,"Frequency: Each 1,000 t stockpile.",,,,,,,,,,,,
label,Acceptance Criteria: 100% passing on 13.2 mm sieve,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5105,,,,,,,,,,,,
label,Inspection/ Test Method: AS 2891.3.3,,,,,,,,,,,,
label,Record of conformity: NATA accredited test certificate,,,,,,,,,,,,
label,TP,,,,,,,,,,,,
label,Responsibility: Laboratory Technician,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.04 - Moisture content.,,,,,,,,,,,,
label,"Frequency: Each 1,000 t stockpile.",,,,,,,,,,,,
label,Acceptance Criteria: To be reported.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5105,,,,,,,,,,,,
label,Inspection/ Test Method: AS 2891.10,,,,,,,,,,,,
label,Record of conformity: NATA accredited test certificate,,,,,,,,,,,,
label,TP,,,,,,,,,,,,
label,Responsibility: Laboratory Technician,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
section,2 Binder blend viscosity,,,,,,,,,,,,
checkpoint,2.01 - Binder blend viscosity (for asphalt mixes containing >15% RAP content only),,,,,,,,,,,,
label,Frequency: Each 1.000 t stockpile.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,• The blended binder viscosity is within the range of:,,,,,,,,,,,,
label,"– 320-500 Pas for a target binder class of C320, ",,,,,,,,,,,,
label,"– 450-680 Pas for a target binder class of C450, or",,,,,,,,,,,,
label,– 600-880 Pas for a target binder class of C600,,,,,,,,,,,,
label,Reference Documents: AfPA RAP Management Plan Section 8.5.2,,,,,,,,,,,,
label,"Inspection/ Test Method: AGPT/T191, AGPT/T192, AGPT/T193",,,,,,,,,,,,
label,Record of conformity: NATA accredited test certificate,,,,,,,,,,,,
label,TP,,,,,,,,,,,,
label,Responsibility: Laboratory Technician,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,
label,The signature below verifies that this ITP has been completed in accordance with the FH’s Quality system Procedures and verifies lot compliance with specifications.,,,,,,,,,,,,
text,Print Name:,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,
text,Date:,,,,,,,,,,,,
