"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ef7512c8-0e2b-40c8-bf62-7b3f2576bed9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"648580ea-4a0c-4a7f-b099-63256b5dc447","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 1"
"64ccaac1-f150-43cb-ac4c-ef0cdfd67543","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8"
"8c609bc7-4957-4dae-b5b4-583addc8cd93","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire"
"3be5062d-8020-4902-a4bf-10924993b45b","","checklist-sectioned","not-started","EFPQF04 - Pre Action - Sprinkler","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler"
"b7369518-674e-5b7b-b467-09f213a88ff7","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Documentation"
"8c2518a3-5de8-5ca7-b116-302909f5b881","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Documentation","Confirm correct construction drawings approved for use."
"2a625127-e122-5f8c-adbf-637262f0a921","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Incoming Inspection"
"fe6cf39c-d920-55f0-b108-3e8ce5b25bfb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Incoming Inspection","Incoming Inspection - PASS if received in good condition - If not FAIL & Attach Photos/Comments below"
"19c07bd9-9c1d-529b-8d7f-5b20324ad23c","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off"
"e93ad534-07f2-5232-956f-fcb38fc0596a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm hanger spacing"
"0b666a59-35bf-5776-b076-335e260fcbc1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm support at change of direction at 1m max."
"2a61ef62-865f-5352-b8cc-032463941d8a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm support of pipework no more than 1m from end."
"c0a16f22-c306-5619-9beb-dc11d2033e44","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm support of armpiece exceeding 500mm."
"811f9c12-783f-529e-8e9f-a62650127abd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm first support of range pipe within 2m of mains."
"45d79988-82b5-5e9d-b09a-2b4487f6639c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler","Installation Rough In / Fit Off","Confirm pipework installed as per drawing."
