"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"630a461f-c42c-4b34-b537-674db6123918","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package"
"861d6f86-b5a1-466a-9afa-dbd0288ffda8","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA"
"de50e605-3478-4190-812f-c0727b859c15","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Ground Floor"
"d4608f3c-6b99-455c-8d0d-80e38c88323a","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.1-Angiography"
"a0a6405f-ff45-4709-a443-ef646218577a","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.1-Angiography","Mechanical Duct"
"0bab887e-3165-4a79-9654-fd87f12197e7","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.1-Angiography","Fire Dampers"
"c917bd50-ffe8-4393-92d9-5ff3d9a41399","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.1-Angiography","Condensate Pipe Work"
"7566f4fd-ae7b-4a92-a2ca-eb7f1333cf54","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.1-Angiography","External Duct Work Insulation QA"
"2318d5ce-77aa-478e-ac67-8e22feb2f6ae","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.2 - Café & Entry lobby"
"80fb415d-d421-4e7c-83c4-4eec74e53a06","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.2 - Café & Entry lobby","Mechanical Duct"
"0fbb05b4-1c1b-463e-bf3f-02c353fe5399","","checklist-sectioned","not-started","Fan Coil Units","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.2 - Café & Entry lobby","Fan Coil Units"
"e6a05def-3f25-4f64-94e6-0d60333ce640","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.2 - Café & Entry lobby","Fire Dampers"
"3daa55d1-f90f-4760-8df4-2e70a7420ff1","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.2 - Café & Entry lobby","Condensate Pipe Work"
"0bc6e89a-ad4c-4d48-b7b5-a5479d2c07ee","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.2 - Café & Entry lobby","External Duct Work Insulation QA"
"c502a3fd-6e34-46cb-993c-1ea534d76923","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.3 - Lifts, Stairs and corridors"
"62ac7c09-d1b4-4c3a-b2bd-e4063bad2401","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.3 - Lifts, Stairs and corridors","Mechanical Duct"
"52d0f39f-9d95-42ca-8578-49c48bc85069","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.3 - Lifts, Stairs and corridors","Fire Dampers"
"96565e1b-96dc-4385-99ce-3d127aef8598","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.3 - Lifts, Stairs and corridors","Condensate Pipe Work"
"72dd7221-cdbe-4477-be10-d6084b41a178","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.3 - Lifts, Stairs and corridors","External Duct Work Insulation QA"
"30065db9-8324-4d6e-9ba6-e76cab10da8d","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.4 - Store, Offices, Link 2"
"c46db705-435d-477b-8a8d-8bdb443789a6","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.4 - Store, Offices, Link 2","Mechanical Duct"
"9cc3695c-cea9-41ad-96f2-d9d9db218108","","checklist-sectioned","not-started","Fan Coil Units","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.4 - Store, Offices, Link 2","Fan Coil Units"
"34a81e82-4b13-486b-bf82-78b9477c9e25","","checklist-sectioned","not-started","Fire Dampers","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.4 - Store, Offices, Link 2","Fire Dampers"
"c0aa96ff-39fd-42b4-bd4e-03efd404c9a5","","checklist-sectioned","not-started","Condensate Pipe Work","checklist","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.4 - Store, Offices, Link 2","Condensate Pipe Work"
"bfd68e18-64b4-4bf5-be39-930042d19feb","","checklist-flat","not-started","External Duct Work Insulation QA","checklist-flat","FALSE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.4 - Store, Offices, Link 2","External Duct Work Insulation QA"
"ea3bf7e4-82e5-482e-b227-92d283ecf299","","folder-normal","not-started","","step","TRUE","FALSE","Mechanical Package","Mechanical QA","Ground Floor","G.5 - UPS Room"
