"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"90927323-c4dd-4ade-bed8-0d286c0e7718","","folder-normal","","","step","TRUE","FALSE","Site QA"
"7cd73ef0-15e5-4041-bc09-0a85d6a27029","","folder-normal","","","step","TRUE","FALSE","Site QA","BASEMENT"
"b6b4ef86-4a65-415b-90bb-77e11a0cd068","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","BASEMENT","Ductwork Installation"
"b5da3377-d365-4748-97a3-b742c03861a4","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","BASEMENT","Ductwork insulation"
"6e7932cc-bd71-4960-94f5-f76f6480ff7e","","checklist-sectioned","","ITC-003 Floor Fit Off","checklist","FALSE","FALSE","Site QA","BASEMENT","Grille Installation"
"68746878-6b36-426a-a95c-d0f19ea52264","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","BASEMENT","CHW Pipe work installation"
"aa918d97-eb02-4f1b-87dc-f9c6f63b9365","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","BASEMENT","HHW Pipe work installation"
"8faba995-e9e1-4106-8f49-c186ea19713f","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","BASEMENT","Refrigeration Pipe Work"
"e81d9321-e8bf-4af6-91e3-1c0a8353bde6","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","BASEMENT","Pipe Insulation/Cladding"
"720264a6-d5b2-4aba-8dd8-b3bb86689766","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","BASEMENT","Mech elec installation"
"1ef2a90a-7d4e-4a7d-8450-581dff27cd93","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","BASEMENT","Controls Installation"
"7964ed67-65d1-425f-a587-7ea431148c40","","checklist-sectioned","","ITC-07 Fire/smoke damper checklist","checklist","FALSE","FALSE","Site QA","BASEMENT","Fire Dampers & Fire Penetrations Register"
"6af23822-0c84-47f6-b22a-20c646d8caae","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","BASEMENT","FCU Installation"
"d1cb7a36-6151-4f74-9ccc-e6b09700443a","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","BASEMENT","Fan coil splits installation"
"5ea99df9-a893-421e-9e82-0807205ce36e","","checklist-sectioned","","ITC-004 Penetration Treatment (sign off by relevant sub contractor)","checklist","FALSE","FALSE","Site QA","BASEMENT","Penetration Treatments"
"f7e22051-db32-41f8-a741-8d8258679255","","folder-normal","","","step","TRUE","FALSE","Site QA","GROUND"
"5e527cee-945f-4c33-92d4-823bf58740df","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","GROUND","Ductwork Installation"
"41c86169-0e2f-4284-850e-58032bb000ad","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","GROUND","Ductwork insulation"
"20161c88-f852-4285-880c-7b00504097e2","","checklist-sectioned","","ITC-003 Floor Fit Off","checklist","FALSE","FALSE","Site QA","GROUND","Grille Installation"
"6a7845c4-4544-455d-a960-aafbae0a8e6e","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","GROUND","CHW Pipe work installation"
"c2a787d1-ba72-49fd-89f2-752dec1b1317","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","GROUND","HHW Pipe work installation"
"3b3661c3-d25b-4e8a-ad14-e0e01068d661","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","GROUND","Refrigeration Pipe Work"
"71afc84e-b808-47a0-a742-e29d84c6a092","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","GROUND","Pipe Insulation/Cladding"
"0195bfca-11b2-45cb-a7de-c32260d1edbe","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","GROUND","Mech elec installation"
"03c98d71-6f9f-42cf-a727-af7d03ed540b","","checklist-sectioned","","ITC-006 Subcontractor Rough In (sign off by relevant contractor)","checklist","FALSE","FALSE","Site QA","GROUND","Controls Installation"
"9288d3b4-3845-405c-91ce-f1a50c20ae1f","","checklist-sectioned","","ITC-07 Fire/smoke damper checklist","checklist","FALSE","FALSE","Site QA","GROUND","Fire Dampers & Fire Penetrations Register"
"3874fb69-2e76-46ca-854b-3658163b29e4","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","GROUND","FCU Installation"
"05425e57-2a9e-44ed-8310-bef00772548c","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","GROUND","Fan coil splits installation"
"cd65b51f-6c8a-4773-b679-220fa8b54d74","","checklist-sectioned","","ITC-004 Penetration Treatment (sign off by relevant sub contractor)","checklist","FALSE","FALSE","Site QA","GROUND","Penetration Treatments"
"0729d471-c5c1-4614-8d8a-7666075a4fc4","","folder-normal","","","step","TRUE","FALSE","Site QA","LEVEL 1"
"0efd7915-348e-4413-bdf2-b17d2034b43a","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 1","Ductwork Installation"
"cb368306-cbfd-4ef6-aefd-b3bf6fe7cf2a","","checklist-flat","","ITC-001 DUCT ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 1","Ductwork insulation"
"a330c612-70e0-4512-b6ed-0acce414dfd6","","checklist-sectioned","","ITC-003 Floor Fit Off","checklist","FALSE","FALSE","Site QA","LEVEL 1","Grille Installation"
"f151d4a9-4d97-4a68-8eca-c22c28e799a0","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 1","CHW Pipe work installation"
"af11738c-9dc9-42b0-a0e5-ae77d971c843","","checklist-flat","","ITC-002 PIPE ROUGH IN","checklist-flat","FALSE","FALSE","Site QA","LEVEL 1","HHW Pipe work installation"
