type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Rough In,,,,,,
section,Details,,,,,,
checkpoint,Plans,,,,,,
checkpoint,Rough In,,,,,,
checkpoint,Set Out,,,,,,
checkpoint,Pressure Tested,,,,,,
checkpoint,Cross Connection Checked,,,,,,
checkpoint,Meter mark provided by MLP,,,,,,
signoff,Signed off by Commodore Plumbing & RCC,,,,,,
,,,,,,,
checklist,Fit Off,,,,,,
section,Details,,,,,,
checkpoint,Pipe Work,,,,,,
checkpoint,Installation,,,,,,
checkpoint,Test,,,,,,
checkpoint,Commission,,,,,,
checkpoint,Final inspection,,,,,,
signoff,Signed off by Commodore Plumbing & RCC,,,,,,
