resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,
,step,,,Fit Off,,,,,,,,,,,,,
,step,,,,Basement 2,,,,,,,,,,,,
Fit Off,checklist,,,,,Cooling Pit,,,,,,,,,,,
Fit Off,checklist,,,,,Grease Arrestor,,,,,,,,,,,
Fit Off,checklist,,,,,RL Parking,,,,,,,,,,,
Fit Off,checklist,,,,,RL Waste Room,,,,,,,,,,,
,step,,,,Basement 1,,,,,,,,,,,,
Fit Off,checklist,,,,,ACC WC C0306,,,,,,,,,,,
Fit Off,checklist,,,,,Chute Room C0305,,,,,,,,,,,
Fit Off,checklist,,,,,Cleaner C0391,,,,,,,,,,,
Fit Off,checklist,,,,,Clean Laundry C0303,,,,,,,,,,,
Fit Off,checklist,,,,,Consumables Store 2 C0394,,,,,,,,,,,
Fit Off,checklist,,,,,Consumable Store 1 C0393,,,,,,,,,,,
Fit Off,checklist,,,,,Continence Pad Store C0392,,,,,,,,,,,
Fit Off,checklist,,,,,Corridor C0340,,,,,,,,,,,
Fit Off,checklist,,,,,Corridor (plant) C0341,,,,,,,,,,,
Fit Off,checklist,,,,,Dirty Laundry C0305,,,,,,,,,,,
Fit Off,checklist,,,,,Dry Store C0302,,,,,,,,,,,
Fit Off,checklist,,,,,Female Locker C0309,,,,,,,,,,,
Fit Off,checklist,,,,,Female WCs C0310,,,,,,,,,,,
Fit Off,checklist,,,,,Kitchen C0301,,,,,,,,,,,
Fit Off,checklist,,,,,Male Locker C0307,,,,,,,,,,,
Fit Off,checklist,,,,,Male WCs C0308,,,,,,,,,,,
Fit Off,checklist,,,,,Medical C0395,,,,,,,,,,,
Fit Off,checklist,,,,,Plenum C0381,,,,,,,,,,,
Fit Off,checklist,,,,,RL Parking,,,,,,,,,,,
Fit Off,checklist,,,,,Small Bulk Waste C0396,,,,,,,,,,,
Fit Off,checklist,,,,,Staff Lobby C0397,,,,,,,,,,,
,step,,,,Lower Ground,,,,,,,,,,,,
Fit Off,checklist,,,,,Parish Waste Room,,,,,,,,,,,
Fit Off,checklist,,,,,School Waste Room,,,,,,,,,,,
Fit Off,checklist,,,,,ACC WC C0508,,,,,,,,,,,
Fit Off,checklist,,,,,ACC WC C05212,,,,,,,,,,,
Fit Off,checklist,,,,,Admin C05214,,,,,,,,,,,
Fit Off,checklist,,,,,Admin & CSM Office C0507,,,,,,,,,,,
Fit Off,checklist,,,,,Air Lock C0501,,,,,,,,,,,
Fit Off,checklist,,,,,Bike Room C0594,,,,,,,,,,,
Fit Off,checklist,,,,,Bin Holding Room C0590,,,,,,,,,,,
Fit Off,checklist,,,,,Booster C0581,,,,,,,,,,,
Fit Off,checklist,,,,,Building Manager C0509,,,,,,,,,,,
Fit Off,checklist,,,,,Bulky Waste C0595,,,,,,,,,,,
Fit Off,checklist,,,,,Cafe BOH C0515,,,,,,,,,,,
